# registration_from_features.py FastGlobal FastGlobal_config.json euclidean True --input_txt=/neural_comparison/point_clouds_registration_benchmark//eth/hauptgebaude_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//eth/hauptgebaude/ --input_features_dir=/neural_comparison/experiments/3DFeatNet/feature_extraction_voxelgrid_0.1_npz//eth/hauptgebaude/ --output_dir=/root/neural_registration_comparison/results/3DFeatNet/FastGlobal_mutual_on/
id;initial_error;final_error;transformation
3394309160030;3.936759879304484;1.69917018424125;-0.22979995418738194  -0.9572591068495137  -0.17563309314918116  12.79030680396858  0.9717835140827041  -0.21582722317438516  -0.09515992588218795  -5.05428221983823  0.0531863028659327  -0.19254509105792686  0.9798457047397553  1.8017692740458275  -0.0  0.0  -0.0  1.0
3394309160061;3.7772892530728184;4.589074891221059;1.0  -0.0  -0.0  -5.956125631241296  -0.0  1.0  0.0  4.864175640148438  -0.0  -0.0  1.0  -8.740816397414541  -0.0  0.0  -0.0  1.0
3394309160092;3.061336083217481;2.06905407066521;0.04473281666842386  -0.9816631262221486  -0.18530105700904298  -2.3504323515414947  0.9944512241409419  0.061435115013958784  -0.0853960739601243  -11.725593953643774  0.09521416868035182  -0.18045285605659234  0.9789642633025628  3.459110340211892  -0.0  0.0  -0.0  1.0
3394309160123;1.9832381539954238;2.660331233587567;0.7520593546459026  0.418122336434906  0.5094903717086356  0.6038143889340758  -0.1761675677254921  -0.617368090096909  0.7666952650250156  -1.370756892185654  0.6351155132503642  -0.6663560257882498  -0.39063785239581733  -5.628321258134202  0.0  0.0  0.0  1.0
3394309160154;1.9207102010338835;5.730857489012988;1.0  -0.0  0.0  11.264331731193083  -0.0  1.0  -0.0  4.95505985636059  -0.0  -0.0  1.0  6.212021298124788  -0.0  0.0  -0.0  1.0
3394309160185;2.640555800877831;1.0125058585907518;0.21754725657341775  0.7584430077893015  0.6143593371089073  13.854850706450412  -0.9746238090290639  0.20281054929015388  0.09474340066889034  15.656542504620926  -0.05274108484909206  -0.6193804041396068  0.7833174917852899  6.252438445237986  0.0  0.0  0.0  1.0
3394309160216;2.7201455624554285;2.1551830022689424;-0.06202941088785885  0.8608252866488559  0.5051061057350436  14.58561968659355  -0.9879268215952692  0.019026795016779542  -0.15374841867172845  8.42767346191025  -0.14196107691044285  -0.5085447934423333  0.8492521685018669  -2.925061378249761  0.0  -0.0  -0.0  1.0
3394309160247;2.5310221937667676;4.049414637257134;1.0  -0.0  0.0  5.030513452522607  -0.0  1.0  -0.0  4.289015980232783  -0.0  -0.0  1.0  0.4712048039118173  -0.0  0.0  -0.0  1.0
3394309160278;1.96744994252244;6.297137524031436;1.0  -0.0  -0.0  -3.2045607239222225  -0.0  1.0  0.0  9.422730584868379  -0.0  -0.0  1.0  10.459393772170165  -0.0  0.0  -0.0  1.0
3394309160309;1.4697744642858348;2.425144078905615;0.61625672353275  0.4109094255123222  -0.6718490118514823  10.83377383502214  0.5569148206422376  0.37581187788798  0.7406830057368229  -16.340585642275286  0.5568424671751472  -0.830613554225697  0.002755047522537858  -4.990050753158039  -0.0  -0.0  -0.0  1.0
3394309160340;3.1108095863624285;1.3477992464417632;0.4591576434894916  0.3324037226286231  0.823821596953982  -3.6634598039582356  -0.48068863214077295  -0.6869033822764116  0.5450708048940605  6.85816650622237  0.7470694059830114  -0.6462751028779139  -0.15561424756214512  -7.484700666303334  -0.0  0.0  -0.0  1.0
3394309160371;4.078910422747308;0.6975160347450836;-0.5690277097665991  0.5990368760336476  -0.5633491694052889  30.06452356788812  -0.8206575105807007  -0.4572030196776613  0.3427632552143175  13.728057952284729  -0.05223711176229272  0.6573585170585969  0.7517652986173655  -4.619464861621008  0.0  0.0  0.0  1.0
3394309160402;3.021814741136945;4.0032660239685;1.0  0.0  0.0  -8.342563141263149  0.0  1.0  0.0  2.9758942504084254  0.0  0.0  1.0  -3.39580009654399  0.0  0.0  0.0  1.0
3394309160433;1.3594709122664788;0.08894955817344043;0.2229622039960862  -0.9462731607037093  -0.23421135950465213  11.496546797236437  0.9678748850713  0.2435307371414622  -0.06253788384294681  -13.699552288363103  0.11621558603485856  -0.21274370824808325  0.9701721765560114  -3.7865460804179563  -0.0  0.0  -0.0  1.0
3394309160464;1.5447184908495197;1.807316229705751;0.45478401182115685  -0.866639603588505  -0.2052006337315132  0.5619843681989809  0.8903840526355897  0.44753387799860567  0.08324462058146165  -5.418009044728025  0.01969115040004248  -0.22056569437582374  0.9751733348797195  -2.9776052429280253  -0.0  -0.0  -0.0  1.0
