# registration_from_features.py RANSAC RANSAC_config.json euclidean True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/neural_comparison/point_clouds_registration_benchmark//kaist/urban05_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//kaist/urban05/ --input_features_dir=/neural_comparison/experiments/3DFeatNet/feature_extraction_voxelgrid_0.1_npz/kaist/urban05/ --output_dir=/root/neural_registration_comparison/results/3DFeateNet/RANSAC_mutual_on
id;initial_error;final_error;transformation
34562489690030;3.026378295279987;7.02633889902663;0.6394246673907102  -0.548358749751781  -0.5389237203008818  4665143.392449275  0.5275217622126896  0.8228335681355698  -0.21134263540825107  1054930.5625836505  0.5593361110497854  -0.1491562962799428  0.8154112546168049  807181.9469570665  0.0  0.0  0.0  1.0
34562489690061;2.3389289960652655;2.3389289960652655;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690092;2.8315574878443655;2.8315574878443655;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690123;1.8101091339027975;0.15300623044521344;-0.04962433237632356  -0.9973873340963915  0.05249696581990909  8761944.923415504  0.9885808520516987  -0.04156225689707681  0.14484639366708096  7685508.549200481  -0.14228606605336225  0.0590854007832215  0.9880605198171538  -375430.0910803712  0.0  0.0  0.0  1.0
34562489690154;2.62470578061902;2.62470578061902;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690185;5.512606798611554;4.473842757369787;0.5616175310797724  0.6876949360127803  -0.46006676011883174  -5224923.270013254  -0.7745321275851688  0.6325345708642267  0.0  3500662.3259945754  0.29100813068066045  0.3563364865460543  0.8878843259308958  -3071413.0114792148  0.0  0.0  0.0  1.0
34562489690216;1.5460191220852306;1.5460191220852306;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690247;5.3501947700473025;3.2351046055757298;0.9518122671973357  0.06596125839728467  -0.2995037902987437  -496813.05388180795  0.18784577060611518  -0.8973532298274329  0.39933838706499153  15133466.225012027  -0.242419831032987  -0.43635569585937667  -0.866502355572688  3681344.039727407  0.0  0.0  0.0  1.0
34562489690278;1.7336325432466153;7.306303864207223;-0.2527407400393559  0.7221164001604828  -0.6439487735399644  -4929795.11856677  -0.9438583563728696  -0.3303504247085285  3.574633775315996e-17  11366264.758214736  -0.21272875082946321  0.607796430981756  0.7650686093785157  -4740547.314249345  0.0  0.0  0.0  1.0
34562489690309;1.8806280573322476;1.8806280573322476;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690340;1.342499596526476;1.342499596526476;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690371;2.166541248145545;1.9320418203500762;-0.9410384990333867  0.3380683018780517  -0.012504663221422636  -1357516.7776094181  -0.3382979534535576  -0.9405024712600353  0.031774144251277156  15849660.998167802  -0.0010188356713649379  0.034130994990725416  0.999416848544599  -273874.2262957366  0.0  0.0  0.0  1.0
34562489690402;1.8237522520831808;1.8237522520831808;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690433;1.485279001754726;1.485279001754726;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690464;3.2048953782106575;3.2048953782106575;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690495;1.6045786219463427;8.419653967732765;0.7000880548007579  -0.7139222077610117  0.013849071843765826  5954487.96318943  -0.712781677740801  -0.6998651330241071  -0.04616357280538713  14176908.001748597  0.04264968232355576  0.02244720122402441  -0.9988378886260315  -210258.92256563375  0.0  0.0  0.0  1.0
34562489690526;5.298220209160753;5.240464582058518;0.57731622892326  0.8160681861170582  -0.02717880478315187  -6268859.865831083  0.8162723387158788  -0.5776416895880454  -0.005435760956630377  12119725.40293587  -0.02013556229996678  -0.01904715352703555  -0.999615808735227  167660.648731909  0.0  0.0  0.0  1.0
34562489690557;4.725165945981713;2.2344713702461605;0.7146654681649031  0.6800921224696737  0.1634869217012005  -5271361.259871433  -0.6908652164694802  0.7228671372318483  0.012975152515872376  2715084.262876709  -0.10935502405110678  -0.1222203209982958  0.9864601724600216  1060180.6730393725  0.0  0.0  0.0  1.0
34562489690588;1.3460500527468555;1.3460500527468555;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690619;1.8205673160604245;3.7155231317447504;0.8157692565413784  -0.5038843295021191  -0.2839385542051773  4183515.0676423116  -0.15427531312141116  0.28356498246208395  -0.9464618473465098  5872715.069921933  0.5574223244930339  0.8158991869118865  0.1535866822133516  -6955892.317565099  0.0  0.0  0.0  1.0
34562489690650;2.1392684506950816;2.1392684506950816;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690681;1.8732202401465774;1.8732202401465774;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690712;2.5869430889270166;4.155325500370307;0.48221396926380683  0.8509658281359097  -0.20815102015558617  -6482786.716385316  -0.8700221858544052  0.4930125719706584  0.0  4690217.3225485785  0.10262106980522186  0.18109600554358735  0.978096699109137  -1529114.2781761922  0.0  0.0  0.0  1.0
34562489690743;3.8819775247609996;3.8819775247609996;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690774;1.586561897713293;1.586561897713293;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690805;1.205521164189387;1.205521164189387;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690836;2.065099418152508;2.065099418152508;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690867;2.727894652051314;2.727894652051314;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690898;2.29580039724926;3.980659551637343;-0.6763184554110065  0.6621874412591418  -0.32264708197834413  -4150318.84988321  0.6444351770228275  0.7440676761329057  0.1762571869449121  1606502.2596101062  0.3567865601252754  -0.08871914096094095  -0.9299635823735929  463487.44947664783  0.0  0.0  0.0  1.0
34562489690929;2.300657442855721;2.300657442855721;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690960;1.3464116655749152;1.3464116655749152;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489690991;1.2386766652537227;0.06539380558493398;0.28789132087024405  -0.9521177377971938  -0.1029096727209861  8160561.617454111  0.9424287640375053  0.3007621237097098  -0.14618539481208886  4963846.121550459  0.17013703912531064  -0.05489952926555271  0.9838899479129228  322198.58186473267  0.0  0.0  0.0  1.0
34562489691022;4.77837015482652;6.304506464573304;-0.03579160736274739  -0.6840463093599616  0.7285599546320173  6231037.67561007  -0.9120140727906911  0.3204248596213206  0.2560434345348328  6108193.161962898  -0.40859428761808114  -0.6552927254194671  -0.6353283813416493  5559465.966508015  0.0  0.0  0.0  1.0
34562489691053;2.167491542430286;0.5373968265048479;-0.9635450013049578  -0.2624173762797731  0.0521358905809442  3490412.2414934696  0.24731915255717898  -0.9479518065209744  -0.20055076487518064  15498523.26977367  0.10205031719023233  -0.1803454827270734  0.9782950677690813  1379294.5953497966  0.0  0.0  0.0  1.0
34562489691084;2.4865787628779126;2.4865787628779126;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489691115;1.9042244213164048;1.9042244213164048;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489691146;2.204368269441607;2.204368269441607;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489691177;3.9205161639220982;20.025190667167593;-0.2041989077957442  -0.7313154825495132  0.6507537714361692  6729533.765619123  -0.5542550044891691  0.634318214578947  0.5389265187871981  3331391.9267047187  -0.8069102775734958  -0.2506353279901891  -0.5348623526754468  2583513.8053418696  0.0  0.0  0.0  1.0
34562489691208;2.3565380774100433;2.3565380774100433;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489691239;2.888227844794611;0.05077548274231235;-0.9889045207874096  -0.055983622399595256  -0.1375997194373676  1847395.9747785898  0.029751568811853688  -0.9821420361861471  0.18577369272682667  15926359.654395185  -0.1455427528922556  0.17961863705959752  0.9729103002339914  -1342880.4411995544  0.0  0.0  0.0  1.0
34562489691270;2.5432202258587244;2.5432202258587244;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489691301;2.1034157138496146;1.9917725248347502;-0.23384760048959147  -0.8107896578252278  0.5365961521562654  7390141.253349091  -0.7515654826947389  0.5008698929823205  0.42927692172501236  4543804.038941373  -0.6168181457829237  -0.302901768016511  -0.7264887431787141  2870641.1975389333  0.0  0.0  0.0  1.0
34562489691332;1.5400005703685937;1.5400005703685937;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489691363;3.2280224062918226;3.2280224062918226;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489691394;2.3976719802288198;2.3976719802288198;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489691425;1.0094624480211292;0.030994486328250474;0.2121220103868861  0.9771783468326811  -0.011257494871152893  -7308508.107369444  -0.9512942285218492  0.2091127870543109  0.22651960858035855  7031482.371198522  0.22370414276549708  -0.03734060486557402  0.9739415463660168  143275.85120267965  0.0  0.0  0.0  1.0
34562489691456;2.09075176249572;1.9486349091530517;-0.6750732745138255  0.7373539869104005  -0.02419032915275673  -4755820.030155512  0.7290893488978013  0.6717986866742967  0.1308252494989811  2128409.881578142  0.11271555066166247  0.07067971823675845  -0.9911102774510062  -647525.5096064172  0.0  0.0  0.0  1.0
34562489691487;4.819526363868169;1.4994758699718675;-0.18470778085662848  0.981102975100405  0.057619336512619954  -7061313.699518249  0.9826643670566665  0.1834155178263146  0.02700906399019235  5879598.9154985845  0.01593039259218406  0.06160925311704184  -0.9979732073168194  -506607.87529616593  0.0  0.0  0.0  1.0
34562489691518;0.9081270063423241;0.9081270063423241;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489691549;2.7018815013951687;2.7018815013951687;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
34562489691580;4.668438872941319;2.077610585517901;-0.08002591017375515  0.8574929257213523  -0.5082339382987893  -6140247.615434529  0.13337651696143427  0.5144957554128463  0.8470565638641854  3812373.9365467196  0.9878292152108574  0.0  -0.1555424108592306  -693825.8435901323  0.0  0.0  0.0  1.0
34562489691611;3.9959073484826004;0.018858011900456894;-0.704125303525568  -0.6988886523336459  -0.12554763468217034  6819862.095975366  0.7079445381039344  -0.7046403173257139  -0.04792237648452244  13217419.91215111  -0.05497352002404393  -0.12262412013294138  0.9909294814757448  1025176.5386264784  0.0  0.0  0.0  1.0
