# registration_from_features.py TEASER TEASER_config.json euclidean False --input_txt=/neural_comparison/point_clouds_registration_benchmark//eth/stairs_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//eth/stairs/ --input_features_dir=/neural_comparison/experiments/3DFeatNet/feature_extraction_voxelgrid_0.1_npz//eth/stairs/ --output_dir=/root/neural_registration_comparison/results/3DFeatNet/TEASER/
id;initial_error;final_error;transformation
5494384560030;1.9653997219596564;2.6085154157806785;0.891983112416794  0.44856139444385906  0.05620322568883257  2.7954788151267778  0.4398748212969605  -0.8898703437361452  0.12099964019732659  -5.964016458889024  0.10428935109691964  -0.08320725180833562  -0.991060182074877  7.7852191297304945  0.0  0.0  0.0  1.0
5494384560061;3.2470421696666185;3.306267548806904;0.901223311644794  0.3815835781360201  -0.20540329949857705  -3.2317744696995714  0.3822202829998031  -0.4765575052166361  0.791707395118453  -2.6299416076234  0.20421605669373974  -0.7920144677457651  -0.5753337162637452  -3.685550320006727  0.0  0.0  0.0  1.0
5494384560092;2.297685819693392;3.7408534655248005;-0.21039232310606593  -0.5637515551705595  -0.7986984752838886  16.025937361340407  -0.706359761070526  -0.4771512879796267  0.5228599586120276  4.231795636995806  -0.6758631209930168  0.6741741855204477  -0.2978224458623282  10.3555258055654  0.0  0.0  0.0  1.0
5494384560123;8.759025089926762;1.455376109323273;-0.15941023712604288  0.8403675859939574  0.5180450720836048  13.718942929732227  0.9804206690282655  0.0733166357962344  0.18275662137851661  -3.4290686640894967  0.11560141885628802  0.5370353725093078  -0.8356011731874257  5.252067355824513  0.0  0.0  0.0  1.0
5494384560154;2.6625673868786452;12.069200695655852;0.3501464225308476  0.8718709800718752  -0.3424010468695407  -0.5928278977851672  0.8442299363057304  -0.13538040788913688  0.5186019280768187  1.7176999739916887  0.4057995779126341  -0.47065182382338566  -0.7834625474760419  -1.353819943750038  0.0  0.0  0.0  1.0
5494384560185;6.621620892396294;0.34093019599517044;0.6605737507505335  0.7506488793169962  -0.01298382838418792  -3.073542088672449  -0.7391914787985385  0.647272193194132  -0.18610391073077542  5.399766859396636  -0.13129462095227767  0.13253289364454515  0.9824442755755673  8.405565399065672  0.0  0.0  0.0  1.0
5494384560216;5.2200031515621825;2.833841108000058;0.238136844044832  0.6103768194692961  -0.7554673929183933  -0.1189055411400961  -0.2909994934106171  0.7869502877453743  0.5440850479954742  1.8160233756701432  0.9266121833556539  0.09027393240586909  0.3650212031990045  -1.1006549276615492  0.0  0.0  0.0  1.0
5494384560247;8.503686109037535;4.043216439724548;-0.27679902986455873  0.9375478109646982  0.21068079936563228  8.233070947050466  0.8930316039153496  0.17003249649955487  0.4166335374672888  0.7647030678151656  0.35479127874627475  0.30346837115164327  -0.8843246554496552  -7.004637019740199  0.0  0.0  0.0  1.0
5494384560278;5.489767218869771;2.7033395405438334;-0.5125752594210482  -0.8567490890053471  0.05698773480278496  4.101385970260129  0.7887692311907221  -0.4436007776571795  0.42551316077031454  -0.5059571899849921  -0.33927820937431613  0.2630576905366084  0.9031561039451068  -0.6076498272125511  0.0  0.0  0.0  1.0
5494384560309;6.344090179496548;3.34606148549782;-0.3813543208868862  -0.5271809276031383  -0.7593741841229515  0.6394479523312092  -0.7820766054041703  -0.2539821006915957  0.569077565721735  -4.188464893660429  -0.4928742894698336  0.8109089727582129  -0.3154386987670161  9.073476492663477  0.0  0.0  0.0  1.0
5494384560340;11.288142510784303;3.3312875064430503;-0.8901786563691073  0.4119787561755732  -0.19456480721065367  13.178786879195673  -0.3852587090639352  -0.9086072574735654  -0.16127175436745372  -7.625575664406419  -0.24322353265110108  -0.06860288715785903  0.9675411913910051  -0.9728892034549113  0.0  0.0  0.0  1.0
5494384560371;4.893298023722126;8.100180669847047;-0.07681501905741298  0.9639205223835662  0.2548660027838204  3.083088462068314  -0.659310110068234  -0.24086258986470113  0.7122467209931421  -2.1445193549906647  0.7479369168646669  -0.11332448690138325  0.6540244101404131  -2.675128716563491  0.0  0.0  0.0  1.0
5494384560402;1.640061358821845;2.5242695303430467;-0.13977185747534368  0.48693823776466133  -0.8621803642281225  6.206490177724498  -0.9801505438553496  -0.19167767277107203  0.05064169370319914  2.6633740479495196  -0.14060134863490825  0.8521448364941913  0.504063922928762  4.099503050758449  0.0  0.0  0.0  1.0
5494384560433;4.064579359510598;0.13684565701122758;0.15506941998404827  0.9283277036824173  -0.3378774179514518  9.240871939235795  -0.9570455095254337  0.22598046391883958  0.1816500003419451  9.246864993894139  0.24498442334771717  0.2951957054273579  0.923494519644936  4.826502326067676  0.0  0.0  0.0  1.0
