# registration_from_features.py TEASER TEASER_config.json euclidean True --input_txt=/neural_comparison/point_clouds_registration_benchmark//eth/apartment_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//eth/apartment/ --input_features_dir=/neural_comparison/experiments/3DFeatNet/feature_extraction_voxelgrid_0.1_npz//eth/apartment/ --output_dir=/root/neural_registration_comparison/results/3DFeatNet/TEASER_mutual_on/
id;initial_error;final_error;transformation
13001298760030;4.310263072930483;1.6850676827850792;0.947917086646342  -0.23620612826671294  0.21368168338245624  -5.979532357894962  -0.27804102372092493  -0.9409134262306251  0.19332644275205987  -5.38582037911679  0.15539107430007415  -0.2426697123833021  -0.9575829074913955  0.7529351969714444  0.0  0.0  0.0  1.0
13001298760061;11.165739862422033;1.7661108163781878;-0.3781075496594422  -0.8912450924429695  0.2504333565778647  2.098732475223046  0.8555406906213584  -0.23305249192233152  0.4623166260258453  -13.820513066706004  -0.353673306289381  0.3890613334747042  0.8506153485643342  -2.074825029390024  0.0  0.0  0.0  1.0
13001298760092;4.041875262067823;1.07274345346383;0.033683397275374505  -0.9978597717393107  0.05604734331223559  0.6124644941801485  0.8147158739656031  -0.005066838029391535  -0.5798382290439698  -8.285982216899066  0.5788812256900827  0.065193581714416  0.8128015277094365  0.1346240444591944  0.0  0.0  0.0  1.0
13001298760123;2.6347404064812237;3.9141112130948645;0.9819553756710152  0.12313856317960359  -0.143528862772817  -2.393756828972067  -0.15853992553220686  0.9497724281234522  -0.2698099827447536  -1.130897975028854  0.10309574289483354  0.2876964181816393  0.9521565200965743  -0.6721035478491806  0.0  0.0  0.0  1.0
13001298760154;4.655949543134552;3.6364710937828355;0.544478168962792  -0.8068687492408989  -0.2291426303012003  -0.8087735451241045  -0.39890852552863915  -0.48941001172787935  0.7754674904089042  -6.453719189247045  -0.7378451814462789  -0.33081817047880574  -0.5883398901124786  -2.9302202058374176  0.0  0.0  0.0  1.0
13001298760185;11.526736439495075;4.8467155684093255;0.9996695883031931  0.022598744075751333  -0.01224789728579257  7.547129672288566  -0.024259692649523358  0.9869853073693717  -0.158970029721131  4.954255981820262  0.008495971649864051  0.15921463438762562  0.9872074344647832  4.681294813644715  0.0  0.0  0.0  1.0
13001298760216;5.6572197072150425;2.0121307528396626;0.24273067455704572  -0.7304131193735026  0.6384187455551025  5.853073122084491  -0.0031016089875721964  0.657512386093956  0.7534373511810523  -2.6894914365905995  -0.9700887586457072  -0.18486248180769882  0.15733296911050915  -0.9898412464030462  0.0  0.0  0.0  1.0
13001298760247;2.8755933061249292;2.4485424588701106;-0.16470658572798003  0.9832499615048498  -0.07804648498518604  4.269467193143297  0.9839031914159243  0.16934569474922992  0.05706615101318238  -4.21727331257972  0.06932712700949321  -0.06739101476170099  -0.9953151262740854  -0.4441658378190756  0.0  0.0  0.0  1.0
13001298760278;3.489631205271557;3.4386207186554167;0.11877060727879657  -0.9214329995200162  -0.3699388736564075  -1.3678907346948017  0.8484400856779675  0.2877234024294953  -0.44425743067410556  -5.163570295917662  0.5157935283244537  -0.26110624483137196  0.8159537762941418  1.6140892157409095  0.0  0.0  0.0  1.0
13001298760309;15.033436311598187;5.475428240092753;0.7114978208371143  0.6498592280463913  -0.2673085009254053  11.05295140206153  -0.672107935878804  0.7403718237937131  0.010976568730974079  6.841582172533  0.2050409068278145  0.1718503600674744  0.9635484836124791  2.88435687677123  0.0  0.0  0.0  1.0
13001298760340;6.506989460822594;2.382176415632531;-0.01612660532830959  -0.6493343291741683  -0.7603320732130912  -2.562097166153737  0.2374391600683526  -0.7411657341734347  0.6279299322003918  -2.7240935730464186  -0.9712685405523132  -0.1704062306463178  0.16612988500054357  7.2181537130628675  0.0  0.0  0.0  1.0
13001298760371;4.91629017563752;2.266288423463296;0.8083671307514224  -0.5720313473216878  -0.13900618548125382  3.396331709582441  0.5429183584773396  0.8157250091409973  -0.19958047371972792  -1.118493320367666  0.22755710920334726  0.08586528485514686  0.9699716052069566  5.663592279372556  0.0  0.0  0.0  1.0
13001298760402;8.540013131131722;4.583489415313723;-0.4520528535412147  0.3508414858154499  0.8200966220123423  3.0160439555090957  0.01674829078556473  -0.9158993831073554  0.40105836829485336  -3.324652608210686  0.8918339040208156  0.19503479652199374  0.4081589344662411  -4.605328985506976  0.0  0.0  0.0  1.0
