# registration_from_features.py TEASER TEASER_config.json euclidean True --input_txt=/neural_comparison/point_clouds_registration_benchmark//eth/gazebo_winter_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//eth/gazebo_winter/ --input_features_dir=/neural_comparison/experiments/3DFeatNet/feature_extraction_voxelgrid_0.1_npz//eth/gazebo_winter/ --output_dir=/root/neural_registration_comparison/results/3DFeatNet/TEASER_mutual_on/
id;initial_error;final_error;transformation
38591597440030;3.9584549028563556;3.7650656549901567;-0.10146708678526856  -0.5472473603336949  0.8307976630366232  13.059800177701769  0.7938873324668477  -0.5478185815800671  -0.26388956975272254  -4.199720163251502  0.599539267811529  0.6327836346520087  0.4900383026546079  8.873960499813647  0.0  0.0  0.0  1.0
38591597440061;2.893302858668122;11.28218082545663;0.5079100119955966  -0.20408371385579405  -0.8368854506164275  -2.230533508810843  -0.3015181363860585  0.8679496827764509  -0.39465194994898706  15.875630763513449  0.8069164970087748  0.4527838180711475  0.37930539272201724  0.17943213582136683  0.0  0.0  0.0  1.0
38591597440092;2.596560926939177;7.06810446630288;0.6542620308592008  0.6415297569145358  -0.4004756746285225  -7.1303222240706  0.32892039212143276  -0.7182184856734314  -0.6131668471824332  7.548313624708031  -0.680993811001742  0.26944717075920305  -0.6809153042392159  10.71199519855132  0.0  0.0  0.0  1.0
38591597440123;2.5491129024057546;6.991712796645815;-0.8811727147951718  -0.22612148271155416  0.4152152715843127  -4.259053993313733  -0.471416546823241  0.3532055418136828  -0.8080917550707678  3.8524732097450585  0.036070570854331324  -0.9078077551378547  -0.41783249470309475  1.4708824779857839  0.0  0.0  0.0  1.0
38591597440154;2.8903184466470044;2.8156681925791065;0.5474785431334176  0.17934562848269586  0.8173753056905112  2.8270924384510727  -0.26486257279050746  0.9636850489385524  -0.03404326639870697  5.70670010504992  -0.7937978724734052  -0.1978541685091494  0.5750988312109921  6.100342839461023  0.0  0.0  0.0  1.0
38591597440185;5.076548343189817;2.750989145349842;0.8863604651061623  0.43425609897248196  0.1605825843670145  11.266927431289512  -0.30457386905052064  0.8081061729275898  -0.5041816850778298  0.6603165229748553  -0.34871174942692074  0.3979774538608007  0.8485364235140942  3.679406267238374  0.0  0.0  0.0  1.0
38591597440216;1.6762692747156474;6.580794296809529;0.7492173712197974  0.6555826367381835  -0.0942588832413565  0.6520671906215971  0.601216370651735  -0.6134633109194821  0.5120562877419453  4.328987457556155  0.2778708446794153  -0.44031144950264195  -0.8537643826689132  6.697916731783474  0.0  0.0  0.0  1.0
38591597440247;4.93981129019194;2.2247369377751447;-0.8684103555795875  -0.4872778339189474  0.09178108134791801  4.565857375488603  -0.41077224169289084  0.8106566379610278  0.41725529449525267  0.42523525965079423  -0.27772219892679006  0.3246476981298061  -0.9041428273908312  8.558060236916342  0.0  0.0  0.0  1.0
38591597440278;3.836455877765292;1.2515563223373523;-0.8081272652563243  0.5058507027164768  0.3017372859137264  -1.6493705476825957  -0.554985950477866  -0.8255305167695873  -0.1024205089536198  -4.0496846686626515  0.1972838511422434  -0.25022876022429064  0.9478737519496464  8.743369367432265  0.0  0.0  0.0  1.0
38591597440309;3.8455601514228666;3.6852217211068896;0.4723618841272584  0.3835611088808843  -0.7935711223184801  0.7466618793885432  -0.2707363181957647  0.9199622049129551  0.2834984789050822  -1.015259568179197  0.8387944303782346  0.08093464824016972  0.5383990028600458  -0.5148198625183698  0.0  0.0  0.0  1.0
38591597440340;3.1249643016133017;2.671489720281458;0.3505555157345286  0.8710875223835164  0.3439729040721753  9.259105938010153  -0.835457525899337  0.4568383977081094  -0.3054658750133091  3.5215448854946287  -0.4232275425893937  -0.18029200405795998  0.8879038464082176  2.668543443006875  0.0  0.0  0.0  1.0
38591597440371;1.9082676334258446;6.71318032098849;0.2778013511743141  0.3543428624205309  0.8928983957524789  -7.636837861014419  -0.07401614805824347  -0.9188259614625256  0.3876602408928284  7.041083242693711  0.9577828663702156  -0.17378143857757142  -0.22902399982002802  -3.09727848688359  0.0  0.0  0.0  1.0
38591597440402;1.653095540299216;5.766593822621688;-0.0400595859611019  -0.8877165873053352  0.45864418692009234  1.195258463674349  -0.5414835984715827  -0.36648149015301984  -0.756628594464607  8.985498277231656  0.8397563588082494  -0.2786585329721475  -0.46600287535906865  0.5548367428911292  0.0  0.0  0.0  1.0
38591597440433;5.513897604577699;5.935021888901262;0.043386889630266545  0.9079539228368585  0.41681800802432983  2.0878523223402015  -0.9245448462510947  0.19459251559299556  -0.32764398383875276  8.711117253906062  -0.3785953051462077  -0.3711514877787088  0.8478868839891912  -0.8536679942995603  0.0  0.0  0.0  1.0
38591597440464;2.6229936829188185;1.3428536340054311;-0.6923687098174689  0.7021021923018365  -0.16636730817876566  3.043930787865986  -0.6460669695914545  -0.705906535670742  -0.29033331483012065  -1.7653286726587274  -0.3212834270058262  -0.09353327997181692  0.9423526330780349  -1.4978640627724227  0.0  0.0  0.0  1.0
38591597440495;7.040304842930483;0.10119609385227901;-0.948676046044159  -0.16288602475007577  -0.27107545555276147  11.549746995351212  0.28656810014486345  -0.8053097037271548  -0.5189942244979653  -11.58536120399641  -0.13376278870217578  -0.5700389671101428  0.8106559642256495  0.18920618296526767  0.0  0.0  0.0  1.0
38591597440526;4.4907205692444;4.3777989259511045;-0.20080390790036395  0.7755029516222545  -0.5985590719361902  9.532747809614763  0.8016533730065457  -0.2210995348980162  -0.5553979341113079  0.4265109367587231  -0.5630538696423015  -0.5913629745706541  -0.5772869063020378  6.66879786896156  0.0  0.0  0.0  1.0
38591597440557;2.48450718425269;2.0283196750339423;0.3594176760018105  0.27873013903593036  0.8905775899776889  -0.06415411514745414  -0.5109763207175708  0.8573478919875636  -0.06211112436927091  6.479459312419724  -0.7808470617498606  -0.4327402242656585  0.45057048778089814  -4.422576643506458  0.0  0.0  0.0  1.0
38591597440588;2.328820346378117;4.183013485045184;0.8703977016049231  0.4923080418305885  -0.0063744011326211675  -0.823497646935737  0.47781499875536315  -0.8415099114418071  0.25209898038194184  -1.0693400599688236  0.11874623364671513  -0.22247215757063632  -0.9676804591912486  5.855695766277548  0.0  0.0  0.0  1.0
38591597440619;6.320591373756098;0.42651191716184206;0.6105106092786621  -0.7680374207851238  -0.19337868608491862  -0.5530552306224963  0.7889932411876496  0.6110631915595244  0.06396437509500413  -5.390056865717989  0.06903956342853837  -0.19162540592212882  0.9790368953654277  8.272745951937948  0.0  0.0  0.0  1.0
38591597440650;2.279414240855783;4.110612170016839;0.5402465637825076  0.4819418205225955  -0.6898302196573873  -2.563329223917803  0.27326176703972127  0.6748577940170214  0.685488850769149  1.6990611203119195  0.7959030449718871  -0.5588372209202296  0.23289333077319405  2.5526255688851993  0.0  0.0  0.0  1.0
38591597440681;2.179632741963947;1.805569267555518;0.23704261036523472  0.2453269326341466  -0.9400135621338432  5.5664936134188014  -0.7049360096126531  0.7092329902375301  0.007334024142409426  -0.379864180775617  0.6684878631827401  0.660910933245209  0.34105822830467264  0.35864170386980426  0.0  0.0  0.0  1.0
38591597440712;3.8212360075464504;3.8517418895656546;0.423579510562808  0.9026735715471296  -0.07590007550537411  -3.745620284347368  0.8424707722743319  -0.3617620500307728  0.3992132475520124  -1.9073864369573261  0.3329014810643887  -0.23304214723496308  -0.9137110930251721  -8.126103480102856  0.0  0.0  0.0  1.0
38591597440743;5.199898909440479;4.897978319601029;-0.5139035390065078  -0.43252249103972207  0.7408288920806078  -5.978344198213383  0.4103395849303786  -0.8823251850202917  -0.23048577595607328  9.36889822159135  0.7533422712391438  0.18554396412630156  0.6309111345827921  -6.9449022640733435  0.0  0.0  0.0  1.0
