# registration_from_features.py TEASER TEASER_config.json euclidean True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/benchmark/point_clouds_registration_benchmark//tum/pioneer_slam3_global.txt --input_pcd_dir=/benchmark/point_clouds_registration_benchmark//tum/pioneer_slam3/ --input_features_dir=/benchmark/experiments/3DFeatNet/features/tum/pioneer_slam3/ --output_dir=/benchmark/experiments/3DFeatNet/results/TEASER
id;initial_error;final_error;transformation;status_code
39885980090030;15.205318337116758;6.412840979518792;0.8634447346872097  -0.5041188966082072  0.018092214443180876  10.205282577883283  -0.34392589585268163  -0.6145490101494462  -0.7099609089846186  4.819185373054141  0.36902326254975404  0.6067896276361845  -0.7040086501530188  -8.332121139550287  0.0  0.0  0.0  1.0;ok
39885980090061;13.318166755923231;1.0264238172932296;0.7916876406510056  -0.5390668780528408  -0.2874675296912824  4.037245073724773  0.5773648236541169  0.8140034685192464  0.06362557383228684  8.201167318908267  0.1997011268052718  -0.2163452200188411  0.9556747384584905  4.865352498288878  0.0  0.0  0.0  1.0;ok
39885980090092;16.131758473986306;11.017503575780092;0.9263703218422108  0.11661157145779633  -0.35810580588996616  -0.23264800044580092  -0.2587985266945859  0.8878963126209795  -0.38034650072635035  2.0017337691472203  0.27360802142969154  0.4450189652545284  0.8526996957740269  9.84933589337519  0.0  0.0  0.0  1.0;ok
39885980090123;12.985542941208589;12.697626498107645;-0.4815142158887352  0.3040628316359446  0.8220035610108923  21.54098293956251  0.8540213936910649  -0.047986392875017464  0.5180200432578029  -0.5876213211716634  0.1969556270204741  0.95144264173747  -0.23657003290483808  0.8827956589509718  0.0  0.0  0.0  1.0;ok
39885980090154;12.128119033469892;2.554712295887218;-0.5103539401369067  0.4581284728134623  -0.7277754861111636  15.68135871782419  -0.853754317355498  -0.16839609090826838  0.492692928875241  -1.006777437321769  0.10316211215162108  0.8727892408619735  0.47707077006666154  -6.771589097599889  0.0  0.0  0.0  1.0;ok
39885980090185;6.628057703543316;1.5225489483688057;-0.37438498679156607  -0.03297388434936349  -0.9266868967542345  3.574752611127986  -0.6243942622304359  0.7478064184221319  0.22564876658287786  6.890980363420638  0.6855418929276236  0.6630974917141361  -0.3005562002748104  -5.2043021755104695  0.0  0.0  0.0  1.0;ok
39885980090216;5.823010286342225;7.014036553196037;-0.37438498679156607  -0.03297388434936349  -0.9266868967542345  3.574752611127986  -0.6243942622304359  0.7478064184221319  0.22564876658287786  6.890980363420638  0.6855418929276236  0.6630974917141361  -0.3005562002748104  -5.2043021755104695  0.0  0.0  0.0  1.0;ok
39885980090247;5.3740242030998315;4.457015345585189;0.24214727887467677  0.5990805314839794  0.7631953957738892  7.778101860050813  0.845838788003962  -0.5156960948168066  0.13643416910248307  -5.349709102354192  0.4753119397212523  0.6125031057778964  -0.631599956753365  -4.027987814842506  0.0  0.0  0.0  1.0;ok
39885980090278;4.39500473301532;8.595716953901007;-0.9626558630020475  -0.22405483645538626  0.151964205287735  4.900410234176381  -0.20117767393673158  0.9676459937570923  0.1522786074117279  -2.029065295465025  -0.1811663129204458  0.11602008889325646  -0.9765849200330773  8.72777596481702  0.0  0.0  0.0  1.0;ok
39885980090309;6.062761454151005;1.9449753999584662;0.7518500975966879  -0.14789819472727136  -0.6425321429627193  7.426976743063543  -0.001795101593603833  0.9740540256136169  -0.22630849033161765  -0.723691416444603  0.6593316376104812  0.1713034710165599  0.7320771219369986  -5.286553027390561  0.0  0.0  0.0  1.0;ok
39885980090340;10.653667033347874;4.092857443244002;0.8563614407040877  -0.5156537115773797  0.02731908877857517  -1.3657207574456407  0.5118589646040226  0.8546631947085445  0.08689777882709765  -3.181807754423093  -0.06815778187204655  -0.06043238657423167  0.9958425796395862  9.807004190887707  0.0  0.0  0.0  1.0;ok
39885980090371;7.825764243118106;9.604011203220995;-0.8958457413347711  -0.433341488935013  0.09836443310434931  14.640316565470497  -0.42418214643758  0.8998970623761137  0.1012659062589597  4.457015228412346  -0.1324005829895067  0.048994194497176555  -0.9899846738862229  -1.5359495015710327  0.0  0.0  0.0  1.0;ok
39885980090402;6.3535513934385985;2.6590165098257135;-0.9533092030639819  -0.30189467114869584  -0.007821181850376694  1.7544551039241643  -0.2669277673075914  0.8544400245577444  -0.44573737948925224  -4.316220328388322  0.1412484704118957  -0.422837855407699  -0.8951296094088931  -1.3034916435044333  0.0  0.0  0.0  1.0;ok
39885980090433;6.8874917645610045;0.1431408799084879;-0.027786051120518657  -0.9840799189777367  -0.1755410163691099  8.267281885874997  0.9636886289914207  0.020284846530571884  -0.26625692733498446  -3.4082999847177264  0.2655789180559405  -0.17656510999063021  0.9477829921549727  5.084847887459434  0.0  0.0  0.0  1.0;ok
39885980090464;6.2677651862134764;3.382891585382044;0.9703334441192795  0.2127911457677607  -0.11477340940505923  -7.612815275648934  0.20773419521873449  -0.9766662104197117  -0.05449419750050928  1.2917239408655088  -0.12369119354441728  0.029035180509915083  -0.9918958851272217  1.3648231516908444  0.0  0.0  0.0  1.0;ok
39885980090495;9.69087354585672;1.4831023536345123;0.7862936588987908  -0.6175329893496108  0.019881877187178692  0.14518109542873345  0.617810021511354  0.7862112113807435  -0.013516967831752649  -4.281101110675607  -0.007284181195770189  0.022911529066343007  0.9997109594978688  -6.943045325548908  0.0  0.0  0.0  1.0;ok
