# fast_global_benchmark.py --distance_metric=euclidean --decrease_mu=True --division_factor=1.4 --iteration_number=150 --maximum_correspondence_distance=0.05 --maximum_tuple_count=1000 --tuple_scale=0.95 --tuple_test=True --use_absolute_scale=False --input_txt=/neural_comparison/point_clouds_registration_benchmark//eth/gazebo_winter_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//eth/gazebo_winter/ --input_features_dir=/neural_comparison/experiments/3DFeatNet/feature_extraction_voxelgrid_0.1//eth/gazebo_winter/ --output_dir=/root/neural_registration_comparison/results/3DFeatNet/results_fgr_voxelgrid_0.1/
id;initial_error;final_error;transformation
38591597440030;3.9584549028563556;5.603796431605114;0.7198045992799317  0.047469765167616286  0.6925517744186271  3.864788780273522  0.5916039352017262  0.4799802127070344  -0.6477837442106298  -6.98361437004201  -0.3631612902131646  0.8759940734985842  0.3174086647936191  14.24119670004749  -0.0  -0.0  -0.0  1.0
38591597440061;2.893302858668122;3.4990159218691974;1.0  -0.0  0.0  1.0862314693174269  -0.0  1.0  -0.0  4.258660274725031  -0.0  0.0  1.0  -0.17028297005930249  -0.0  0.0  -0.0  1.0
38591597440092;2.596560926939177;2.688057658594228;0.143520650983177  -0.97063240465392  -0.19306620050415746  -0.3946081432734697  0.9478004240783732  0.19094055501121207  -0.25537435378061585  -1.4546210949641523  0.28473879057519025  -0.14633673321403853  0.9473697175094946  -5.197965018717196  -0.0  0.0  -0.0  1.0
38591597440123;2.5491129024057546;4.808124148646079;1.0  -0.0  0.0  1.5898036801147035  -0.0  1.0  -0.0  5.799895154108744  -0.0  -0.0  1.0  3.084559834002229  -0.0  0.0  -0.0  1.0
38591597440154;2.8903184466470044;5.181859493806949;1.0  -0.0  -0.0  -4.6043797228482894  -0.0  1.0  0.0  5.625761624247313  -0.0  -0.0  1.0  3.4999729719090937  -0.0  0.0  -0.0  1.0
38591597440185;5.076548343189817;4.85759427176926;0.38374882564104895  0.29704760355915294  0.8743566549405796  6.049432210132777  -0.40615359752433683  0.9046424272604807  -0.12907878996297925  2.572190896366438  -0.829322671845619  -0.30558926685999943  0.46780242190780985  -3.03983357784156  0.0  -0.0  -0.0  1.0
38591597440216;1.6762692747156474;3.25006424164325;1.0  -0.0  -0.0  -0.36745637866276837  -0.0  1.0  0.0  5.261945680501644  -0.0  -0.0  1.0  1.5430933705179  -0.0  0.0  -0.0  1.0
38591597440247;4.93981129019194;4.002583387711005;0.17084450958183536  0.4980298835430924  -0.850163742254277  11.361205059376362  -0.9239650001352413  0.38065263564333224  0.03731285975196013  1.200805306184034  0.34219998841441823  0.7791468450015312  0.525194594272765  3.5746597397527937  -0.0  -0.0  -0.0  1.0
38591597440278;3.836455877765292;4.392657873758489;-0.8015756278398523  -0.5952052228496834  -0.05663263675307132  -7.709150717076813  -0.4842450294684549  0.7018496192204652  -0.5224115843233018  1.8865304173980069  0.3506896980070014  -0.3913283208413954  -0.8508107198544308  1.6918498914153595  0.0  0.0  0.0  1.0
38591597440309;3.8455601514228666;2.0909573208717105;-0.11977523559224788  0.6095639758324972  -0.7836361734287796  5.512962212856628  -0.987863979647642  0.005444981812559445  0.15522599617263153  -0.057988222742909566  0.09888706009153245  0.7927181791408223  0.6015141210363341  2.329951288452652  -0.0  -0.0  -0.0  1.0
38591597440340;3.1249643016133017;3.1282730018209173;1.0  -0.0  0.0  2.6744125671016725  -0.0  1.0  -0.0  4.418711688788946  -0.0  -0.0  1.0  1.7567114503605696  -0.0  0.0  -0.0  1.0
38591597440371;1.9082676334258446;5.01594771692068;1.0  -0.0  -0.0  -6.871676460319881  -0.0  1.0  0.0  1.228108884112154  -0.0  -0.0  1.0  3.5027403055082384  -0.0  0.0  -0.0  1.0
38591597440402;1.653095540299216;4.4829070604609225;1.0  -0.0  -0.0  -4.026094625867073  -0.0  1.0  0.0  4.793087012734597  -0.0  -0.0  1.0  3.9556017871406945  -0.0  0.0  -0.0  1.0
38591597440433;5.513897604577699;2.555916045112719;1.0  -0.0  -0.0  -0.8122775286996968  -0.0  1.0  0.0  2.3589160344814224  -0.0  -0.0  1.0  -2.024330000753726  -0.0  0.0  -0.0  1.0
38591597440464;2.6229936829188185;2.8299993002746304;-0.4765196621319633  0.8541282521547385  -0.20831212272148367  6.120786908467973  -0.725259783110934  -0.5158315680623101  -0.45597811393997517  -0.2576073681561258  -0.4969177583901759  -0.06620213184988497  0.86526875543672  -0.27433748445240436  0.0  -0.0  -0.0  1.0
38591597440495;7.040304842930483;7.255193518181594;1.0  -0.0  -0.0  -7.804453521606428  -0.0  1.0  0.0  3.9469803144453506  -0.0  -0.0  1.0  2.5852999455825785  -0.0  0.0  -0.0  1.0
38591597440526;4.4907205692444;6.587634504523053;0.46734254578705814  -0.4784519432683859  -0.7434209325005433  -3.883482572015902  0.41274465812692945  0.8617126819485961  -0.29511540277769843  9.413362210772966  0.7818137835091904  -0.16892303499423764  0.6001934822733254  -10.925929795731852  -0.0  0.0  -0.0  1.0
38591597440557;2.48450718425269;2.501074387863393;0.7881289854250829  0.5160086707555614  0.3355409871206629  5.769716763624125  -0.6133637705928122  0.6129324176551622  0.4980951076968797  2.7288623082163816  0.051357445974247413  -0.5983718769231035  0.7995708284139219  -2.1442478438611956  -0.0  0.0  -0.0  1.0
38591597440588;2.328820346378117;2.6254499792593;1.0  -0.0  -0.0  -2.5859514317417966  -0.0  1.0  0.0  3.5113753757825483  -0.0  -0.0  1.0  -0.9659017336192401  -0.0  0.0  -0.0  1.0
38591597440619;6.320591373756098;7.806855400252279;1.0  -0.0  -0.0  -5.68862246888607  -0.0  1.0  0.0  3.3821712053434725  -0.0  -0.0  1.0  10.19611110656373  -0.0  0.0  -0.0  1.0
38591597440650;2.279414240855783;2.3305508390326533;1.0  -0.0  -0.0  -3.758800806475506  -0.0  1.0  0.0  3.740982504524423  -0.0  -0.0  1.0  -0.37929901557661916  -0.0  0.0  -0.0  1.0
38591597440681;2.179632741963947;1.9575597796370605;0.5673357116319137  0.6190656499633063  -0.5430358287835341  1.8943487806056198  -0.7772639580195092  0.6203849959354979  -0.10480074609447121  0.6267170088432631  0.27201273843508933  0.4815393834917564  0.833143980519228  -3.966687152326365  -0.0  0.0  -0.0  1.0
38591597440712;3.8212360075464504;4.461851951020181;1.0  -0.0  0.0  -4.124568580429573  -0.0  1.0  -0.0  -3.1759959635723103  0.0  -0.0  1.0  6.328118016637704  -0.0  0.0  -0.0  1.0
38591597440743;5.199898909440479;5.7222839723967525;-0.34447757738219364  -0.8081328773687697  -0.4777619189476792  10.161478058734733  0.5159328929128095  -0.5881333762333011  0.6228261248302273  -0.6064748097753135  -0.7843139987858907  -0.031943454354394836  0.6195410939012799  0.46782158501608395  -0.0  0.0  -0.0  1.0
