# fast_global_benchmark.py --distance_metric=euclidean --decrease_mu=True --division_factor=1.4 --iteration_number=150 --maximum_correspondence_distance=0.05 --maximum_tuple_count=1000 --tuple_scale=0.95 --tuple_test=True --use_absolute_scale=False --input_txt=/neural_comparison/point_clouds_registration_benchmark//eth/stairs_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//eth/stairs/ --input_features_dir=/neural_comparison/experiments/3DFeatNet/feature_extraction_voxelgrid_0.1//eth/stairs/ --output_dir=/neural_comparison/experiments/3DFeatNet/results_fgr_voxelgrid_0.1/
id;initial_error;final_error;transformation
5494384560030;1.9653997219596564;2.0461410093977936;-0.2247959341205957  -0.954659943452777  0.19516961948415426  8.920944769640805  0.9657872430130077  -0.19171135952689283  0.1746475189107638  -9.48361334400608  -0.12931275743786408  0.22775238087688843  0.9650943289485882  1.9224159538573393  -0.0  -0.0  -0.0  1.0
5494384560061;3.2470421696666185;6.0026406370241885;-0.4396572710112345  -0.8626799426455871  0.2499695993595222  0.7996343103253085  0.46195940896422644  0.02147895979561487  0.8866409412809216  0.8322790406873121  -0.7702564433462252  0.5052939449895523  0.3890797355819481  7.685371281783993  -0.0  -0.0  -0.0  1.0
5494384560092;2.297685819693392;2.9474284842904646;1.0  -0.0  0.0  3.5336112538765274  -0.0  1.0  -0.0  0.5569158063437638  -0.0  -0.0  1.0  2.455685012809125  -0.0  0.0  -0.0  1.0
5494384560123;8.759025089926762;6.750903139472722;1.0  -0.0  0.0  0.3806559233788631  -0.0  1.0  -0.0  5.29318608237125  -0.0  -0.0  1.0  3.76934552190506  -0.0  0.0  -0.0  1.0
5494384560154;2.6625673868786452;4.002852862326454;1.0  -0.0  0.0  -1.4846501872392848  -0.0  1.0  -0.0  -1.0220961593995104  0.0  -0.0  1.0  2.4962441384936964  -0.0  0.0  -0.0  1.0
5494384560185;6.621620892396294;6.585072871610339;0.6784034807576792  0.7338477249289218  -0.03516011820956949  -3.2654757623076796  -0.7346632076048836  0.6780070428331989  -0.02400877465184039  5.71215565333066  0.00622002311635172  0.042118481516144536  0.9990932613260917  7.388570783375568  -0.0  0.0  -0.0  1.0
5494384560216;5.2200031515621825;5.004329021211435;1.0  -0.0  0.0  -1.6681347030172433  -0.0  1.0  -0.0  -0.8886065378211208  0.0  -0.0  1.0  6.254417582181034  -0.0  0.0  -0.0  1.0
5494384560247;8.503686109037535;10.847038660533098;1.0  -0.0  -0.0  -2.018076151475994  -0.0  1.0  0.0  1.9837626167682383  -0.0  -0.0  1.0  11.04766515338951  -0.0  0.0  -0.0  1.0
5494384560278;5.489767218869771;4.171100456296756;1.0  -0.0  0.0  2.1559397229665778  -0.0  1.0  -0.0  -3.901847639197661  0.0  0.0  1.0  -1.9303695172449875  -0.0  0.0  -0.0  1.0
5494384560309;6.344090179496548;4.106204857576396;1.0  -0.0  -0.0  -0.2760850821652102  -0.0  1.0  0.0  3.984757264103583  -0.0  -0.0  1.0  -2.934681186430508  -0.0  0.0  -0.0  1.0
5494384560340;11.288142510784303;13.430159861533072;1.0  -0.0  0.0  6.597207163215883  -0.0  1.0  -0.0  8.564723153969076  -0.0  0.0  1.0  -1.5326104602740442  -0.0  0.0  -0.0  1.0
5494384560371;4.893298023722126;4.405147196351002;1.0  -0.0  -0.0  -4.335683683898498  -0.0  1.0  0.0  0.33160462172587657  -0.0  -0.0  1.0  1.8526896675695483  -0.0  0.0  -0.0  1.0
5494384560402;1.640061358821845;1.6788231118937764;0.595268553006754  -0.8008875185589206  -0.06507328497761318  0.37169572700734554  0.7530545423608792  0.5842949941126682  -0.3025032497090295  -1.6702666755334512  0.28029307167836015  0.13106693889539864  0.9509244194454667  0.5071451573067495  -0.0  0.0  -0.0  1.0
5494384560433;4.064579359510598;4.007216617243859;0.18134672570448282  0.9527868897554348  -0.24353748743556428  9.219801910322039  -0.9780623691000495  0.20055375165384934  0.05632224114828062  9.084756881204655  0.10250544974128033  0.227980997909322  0.9682547688318446  5.754644200288935  -0.0  -0.0  -0.0  1.0
5494384560464;8.086453804333049;8.762512083336887;1.0  -0.0  0.0  5.454074834148487  -0.0  1.0  -0.0  -6.111322561863636  0.0  0.0  1.0  -4.438518868409091  -0.0  0.0  -0.0  1.0
5494384560495;3.79668680245774;2.415901661287216;1.0  -0.0  0.0  1.2370538425675837  -0.0  1.0  -0.0  -2.09098294726585  0.0  0.0  1.0  -1.4066260631815184  -0.0  0.0  -0.0  1.0
5494384560526;3.919459476654856;3.5553218208803923;1.0  -0.0  0.0  -4.906075792959776  -0.0  1.0  -0.0  -1.9970911159583329  0.0  -0.0  1.0  3.8149799021330453  -0.0  0.0  -0.0  1.0
5494384560557;4.769841275602151;4.219814794324184;1.0  -0.0  0.0  -0.06915160750277449  -0.0  1.0  -0.0  -0.8361847108089203  0.0  -0.0  1.0  5.445218782825009  -0.0  0.0  -0.0  1.0
5494384560588;4.0033637514024445;3.8731271355828856;1.0  -0.0  0.0  2.0345637110294135  -0.0  1.0  -0.0  -3.2138531143348934  0.0  0.0  1.0  -2.851329613168449  -0.0  0.0  -0.0  1.0
5494384560619;2.5680413302481218;2.9254835436751536;1.0  -0.0  0.0  -0.6088074431837777  -0.0  1.0  -0.0  -3.046884331254507  0.0  -0.0  1.0  0.1432331036079546  -0.0  0.0  -0.0  1.0
5494384560650;2.1252762310053015;2.182617419220202;-0.09638550389011631  0.984742592258137  0.14488568470546861  11.193649211324756  -0.9952891884027437  -0.09688233375174826  -0.0036393482140117672  10.13285234628904  0.010453042067089822  -0.14455393595312077  0.9894417079909285  -2.248362182430441  0.0  0.0  -0.0  1.0
5494384560681;5.499161925361485;5.807905584425941;1.0  -0.0  -0.0  -3.6295438927712773  -0.0  1.0  0.0  9.410467627331068  -0.0  -0.0  1.0  3.9185283190848668  -0.0  0.0  -0.0  1.0
5494384560712;3.9543429907625507;3.267828678434557;0.33001886088756965  0.9372757805048489  0.11225712778036305  3.4392396559878504  -0.9369959787449661  0.3108214918099865  0.15946327490923154  -0.40946522514429123  0.11456913752941233  -0.15781036565460635  0.9808005919745999  -1.7570378521285674  -0.0  0.0  -0.0  1.0
5494384560743;2.252255054334342;2.324703426309252;0.5107412979773293  0.859405056086973  -0.02379655673790859  3.4363926746034688  -0.8575528530294362  0.5072795110029201  -0.08526782498523396  11.367361474408215  -0.06120809424828983  0.06395660473153265  0.996073853642242  -2.2226496390533694  -0.0  -0.0  -0.0  1.0
5494384560774;4.093777341873709;2.444664481478815;1.0  -0.0  0.0  1.3868720594957047  -0.0  1.0  -0.0  0.5927627504800995  -0.0  0.0  1.0  -2.5363341198473544  -0.0  0.0  -0.0  1.0
5494384560805;2.4081201720064747;5.148133915989177;0.8583331606259834  -0.3510254587847453  -0.37422628536056496  -3.0477701731039994  0.2884556726906813  0.9333092402685816  -0.213839161338256  -7.772420296845254  0.4243318397933089  0.07559754833485823  0.9023455548864754  -1.206265793399216  -0.0  0.0  -0.0  1.0
5494384560836;2.3977526989083033;2.418858986460101;-0.9622687344777012  0.2692711834532989  -0.03913965263441689  16.239672259514997  -0.2535693228096743  -0.9395833880671697  -0.22996881396846078  2.354825517827003  -0.09869894212465691  -0.21136718437325375  0.9724106294120791  3.4319724591270098  0.0  -0.0  -0.0  1.0
5494384560867;5.82100797182095;4.809855052677601;1.0  -0.0  0.0  2.982049406528759  -0.0  1.0  -0.0  -5.294240954488559  0.0  -0.0  1.0  1.4747733217699452  -0.0  0.0  -0.0  1.0
5494384560898;7.426959109966299;5.695786046716466;1.0  -0.0  0.0  -0.3718287636085087  -0.0  1.0  -0.0  -0.7793800122229633  0.0  -0.0  1.0  -5.4236095295602045  -0.0  0.0  -0.0  1.0
5494384560929;3.2277640385532322;3.2603208407694524;0.08918160254681606  -0.9931898000048344  0.07497108064806121  9.49508126087107  0.976552484351254  0.07238338325456534  -0.20274587822201212  -7.41093088940393  0.19593847777956708  0.09129439739096326  0.97635723274345  -7.220172877925629  -0.0  0.0  -0.0  1.0
5494384560960;7.03502339552627;7.589666811826485;1.0  -0.0  0.0  -5.810463637885661  -0.0  1.0  -0.0  -5.085943789074411  0.0  -0.0  1.0  2.5860732783112974  -0.0  0.0  -0.0  1.0
5494384560991;7.791752238870199;7.459945291526172;1.0  -0.0  -0.0  -3.3692378391666686  -0.0  1.0  0.0  6.231336873936366  -0.0  -0.0  1.0  1.3644309648674255  -0.0  0.0  -0.0  1.0
