# ransac_benchmark.py --distance_metric=euclidean --max_correspondence_distance=0.15000000000000002 --estimation_method=TransformationEstimationPointToPoint --ransac_n=3 --ransac_confidence=0.999 --ransac_max_iteration=100000 --input_txt=/neural_comparison/point_clouds_registration_benchmark//eth/stairs_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//eth/stairs/ --input_features_dir=/neural_comparison/experiments/3DFeatNet/feature_extraction_voxelgrid_0.1//eth/stairs/ --output_dir=/root/neural_registration_comparison/results/3DFeatNet/results_ransac_voxelgrid_0.1//
id;initial_error;final_error;transformation
5494384560030;1.9653997219596564;4.309110761348714;0.8924808349606153  0.4510845682526036  -0.0008194585803051568  3.106358861778567  0.4507423345470818  -0.8918716028004344  -0.03736832837083537  -8.544449000169678  -0.017587128106925122  0.03298115223193422  -0.9993012241173354  10.508545349584198  0.0  0.0  0.0  1.0
5494384560061;3.2470421696666185;4.819844504258794;-0.28547108345869354  -0.6863597244139363  0.668892060957032  3.3346368430350237  0.7949298117653002  0.22028362128351714  0.5652979042602269  -2.9589451104449545  -0.5353436792152348  0.6930984453139724  0.4827232024956435  8.141105770040582  0.0  0.0  0.0  1.0
5494384560092;2.297685819693392;5.180372662652647;0.7397860160096441  0.25823414079322105  -0.6213145572456555  7.049594329413145  0.625037133336284  -0.6056069456649691  0.49251275040663445  -0.023299791554602933  -0.24908880437976064  -0.7526987152182036  -0.6094254766922099  7.072300054290168  0.0  0.0  0.0  1.0
5494384560123;8.759025089926762;8.712284997402005;-0.2950371511112199  0.43627764173307226  -0.8500675848354673  6.189926019176469  0.21948688960539975  -0.8349338438872251  -0.504688994949414  -7.5028500994938  -0.9299347206957715  -0.3354806934169706  0.1505792800784559  3.366947516312935  0.0  0.0  0.0  1.0
5494384560154;2.6625673868786452;8.800933943219382;-0.9098617524474197  0.2609680474154435  0.3225635901050843  4.727948164925385  0.4098346147863336  0.4440303735929226  0.7967889405920914  -5.356228916168971  0.06470842260670294  0.8571655065126569  -0.5109599930411888  1.5695217987278092  0.0  0.0  0.0  1.0
5494384560185;6.621620892396294;6.617160438861318;0.7591444512352655  0.643584586358585  0.09746067083883811  -3.096333924239266  -0.6508635573020387  0.7525289480706222  0.10038332576608461  5.113310000985117  -0.008736814914143187  -0.13963904367107477  0.9901639286238341  8.470445989107233  0.0  0.0  0.0  1.0
5494384560216;5.2200031515621825;3.009696156261574;0.7094365266307955  -0.27249318592840927  -0.6499594435844572  -1.0015594916851311  -0.6597466681256232  -0.5811123127842817  -0.47649009835215084  1.2876499269204105  -0.24785913051403036  0.7668480576705453  -0.5920387722672733  0.01941493148657658  0.0  0.0  0.0  1.0
5494384560247;8.503686109037535;11.897111977377667;0.6179259048727053  0.32087032839104596  -0.7177811703057347  -8.788263189844162  0.7199215014378761  0.1360553676346732  0.6805894274121715  5.1033906620008285  0.3160389340804102  -0.937299935610803  -0.14692931242370222  -1.7557407884493292  0.0  0.0  0.0  1.0
5494384560278;5.489767218869771;5.164138379181183;-0.9915216118294484  -0.12957314785898455  0.009782260937404003  1.7646881631539328  0.11591491385093478  -0.8479565678771891  0.5172363016464228  -2.0006281622636948  -0.058725003380705965  0.5139848814389902  0.8557867232144254  -1.1740802811321402  0.0  0.0  0.0  1.0
5494384560309;6.344090179496548;8.558413600629928;-0.07110440489411923  -0.5298718946446876  0.8450916748319692  -6.880477153110889  -0.8299474685806465  -0.4385297947394177  -0.3447880776975636  -0.9785371118451276  0.5532913906805619  -0.7258976473246443  -0.408584437549103  -0.25951884936395997  0.0  0.0  0.0  1.0
