# registration_from_features.py RANSAC RANSAC_config.json euclidean True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/neural_comparison/point_clouds_registration_benchmark//eth/gazebo_winter_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//eth/gazebo_winter/ --input_features_dir=/neural_comparison/features/3DSmoothNet/eth/gazebo_winter/ --output_dir=/root/neural_registration_comparison/results/3DSmoothNet/RANSAC_mutual_on/
id;initial_error;final_error;transformation
38591597440030;3.9584549028563556;0.007147874601633999;-0.041720507587082914  0.9898039933221042  0.1361890379226275  5.487821905843946  0.9531072041182163  0.08032024072294519  -0.2917795681471973  -5.816282568556904  -0.29974331803166676  0.11762956147934434  -0.9467403179127544  -6.705416627455742  0.0  0.0  0.0  1.0
38591597440061;2.893302858668122;0.005864166495581246;0.47521999883328264  -0.10581456852215979  0.8734810987064142  -2.4241394043457944  -0.5891811373485528  0.6990391158336111  0.4052282096883554  0.6732636321341383  -0.6534765030982834  -0.7072111365236219  0.2698534199809352  -1.160949446202655  0.0  0.0  0.0  1.0
38591597440092;2.596560926939177;0.008306100403229067;0.1441773132973262  -0.9659152095939025  -0.21499002350233093  -0.21533512106865993  0.9516127783755284  0.19491989002162105  -0.2375696876841982  -1.67679430588889  0.2713780064094603  -0.1703350942968807  0.9472802823283617  -5.024698933292534  0.0  0.0  0.0  1.0
38591597440123;2.5491129024057546;0.018393380579171253;0.639647796606435  0.7077420099859704  0.2999198953013138  2.787067043842194  -0.5501354249698642  0.6940156968038941  -0.4644278488452555  4.0610984913789565  -0.5368442143580938  0.13207369113802866  0.8332795627035481  2.483937071888473  0.0  0.0  0.0  1.0
38591597440154;2.8903184466470044;0.01634530963394662;-0.8992429609864485  0.11567539220420295  -0.42187830088157857  8.493589258793481  -0.06406478870375043  -0.988830489335643  -0.13457327449599993  -0.4610602049762545  -0.43273294300835013  -0.09398652562274995  0.8966095767036485  4.173949961354975  0.0  0.0  0.0  1.0
38591597440185;5.076548343189817;0.013230225644314983;0.48358135856793355  0.25486968446618546  0.8373711922353784  6.8790456014109935  -0.2723955498167461  0.9529837503351226  -0.13275027697612424  1.9172752928874615  -0.8318351604047669  -0.16390062701927618  0.5302705445120097  -1.9281601686057797  0.0  0.0  0.0  1.0
38591597440216;1.6762692747156474;0.0362485779943087;0.8409379848582214  -0.540343440581851  -0.029193695257056715  1.1327288639748394  0.23911689497169866  0.3226586731605149  0.9158135679129182  -0.5064465828175663  -0.4854342552413125  -0.7771231220691248  0.40054118013488765  0.14711483232712136  0.0  0.0  0.0  1.0
38591597440247;4.93981129019194;0.004795000331494998;-0.19743831651535512  0.6533114140016992  -0.7308914471429275  13.080714601778975  0.8033934637412485  -0.31940988994857494  -0.5025298644069609  -1.9292842176654057  -0.5617624529900711  -0.6864120617662106  -0.4618023688467163  1.3950814131969975  0.0  0.0  0.0  1.0
38591597440278;3.836455877765292;0.0036910755065466265;-0.8545761766205409  0.5133200994794473  -0.07875299247030497  -3.930128096062006  -0.4001331599994413  -0.7474907055799133  -0.530236833255202  -4.273587587413772  -0.3310483539023855  -0.4216160819300587  0.8441841427298119  3.0177825065106876  0.0  0.0  0.0  1.0
38591597440309;3.8455601514228666;0.003909733568332404;0.5732306134002461  0.020413676921516147  -0.8191397595376042  6.7873734926072355  -0.14174374723811534  -0.9821481639756796  -0.12366767612476479  0.22785649814249154  -0.8070411228553827  0.1869980368713704  -0.5601038834239395  3.339298231502676  0.0  0.0  0.0  1.0
38591597440340;3.1249643016133017;0.01184589965988702;0.0802159773984146  0.4994704480749358  -0.8626092211829414  7.1489024567763275  0.8384902230545862  0.4341281034327965  0.32934318825765097  -0.35859240829530215  0.5389800950052683  -0.7497079840242247  -0.3839770772825448  -3.1948946824599957  0.0  0.0  0.0  1.0
38591597440371;1.9082676334258446;0.02764000382391212;-0.2630464822878144  -0.15333068454283172  -0.9525209967941043  5.377529297058107  0.027052688474034844  0.9857298031473922  -0.16614724563871414  -1.7192844212575817  0.9644038055722998  -0.06947270229832142  -0.2551447499617332  -4.276933584598173  0.0  0.0  0.0  1.0
38591597440402;1.653095540299216;0.006542581902763241;-0.11993830908632176  0.046369576340746566  -0.9916978695164637  3.420532336550782  0.912430182853586  0.39882535726118407  -0.09170330322982001  -4.623310620572321  0.391262013785245  -0.9158538075454336  -0.09014343999008537  -0.8137098589230045  0.0  0.0  0.0  1.0
38591597440433;5.513897604577699;0.013954955923119463;0.9554420779695997  -0.10619888529057281  -0.27541283994791105  -1.9540047428136358  -0.25950377856927553  -0.7468519509896532  -0.6122662429133408  -4.18757301176791  -0.14067062434425445  0.6564556040327401  -0.7411327920019523  9.296967619007745  0.0  0.0  0.0  1.0
38591597440464;2.6229936829188185;0.007052268818838091;-0.42322036573556376  0.8719067695698288  -0.24629881689720073  5.888643428230297  -0.7286150701830482  -0.4891093872868181  -0.47947063181186134  0.6877927717654231  -0.5385207531087426  -0.023464706395322082  0.8422854658754207  0.4880331025252893  0.0  0.0  0.0  1.0
38591597440495;7.040304842930483;0.020221929507871442;-0.9480142357392227  -0.21154199383625416  -0.2377372366280905  11.378903263007839  0.3081037601487086  -0.7970834021676075  -0.5193554880533566  -11.7374571416598  -0.0796309099408358  -0.5656041326163512  0.8208232960566476  -0.43336368646408063  0.0  0.0  0.0  1.0
38591597440526;4.4907205692444;0.008069583412278071;-0.9602026395518242  -0.16646365553284054  -0.22427826997806774  6.148135894330404  -0.07900578082670984  -0.6083170677643345  0.7897521330535082  -6.922364486223735  -0.2678973265892608  0.7760413625917418  0.5709560630670985  7.142752025124234  0.0  0.0  0.0  1.0
38591597440557;2.48450718425269;0.004879168884649116;0.811551011210719  0.501526887383466  0.2997594659628143  5.999557511412756  -0.575563970616034  0.597920337873638  0.5578686093389551  2.4023043660429506  0.1005538260414017  -0.6252695824910459  0.7739036614979338  -1.5544186386340213  0.0  0.0  0.0  1.0
38591597440588;2.328820346378117;0.010907701876001211;-0.6697427230975385  -0.15303952582717192  0.7266523160304996  5.6050030754594715  -0.08755745534593465  -0.9554334490357398  -0.28192306836620296  -2.00841030961352  0.7374133012573343  -0.2524397512244548  0.6264948484468943  -5.545602846444689  0.0  0.0  0.0  1.0
38591597440619;6.320591373756098;0.028602035096169154;0.5788313103640104  -0.7925494013909995  -0.1918847583760918  -0.46829448616191804  0.8148070450406197  0.5714589098729022  0.09759197548491172  -5.664917659682494  0.032307793091694736  -0.21283834401170054  0.9765531454170329  8.96912181937559  0.0  0.0  0.0  1.0
38591597440650;2.279414240855783;0.006011076358271842;-0.13237482278700471  -0.18550395403612546  -0.9736863916729416  3.87635955496002  0.42775746636591183  0.8754563043093752  -0.22494401350822013  2.5439434685154425  0.8941478939528542  -0.4462785478621332  -0.03653767176136778  -0.46724513329666095  0.0  0.0  0.0  1.0
38591597440681;2.179632741963947;0.004299709969903034;0.6299386696160539  0.516167227495819  -0.5803004961066597  1.847081987015884  -0.7517184670320538  0.5930083352169467  -0.28854888786166477  2.85027513988897  0.1951835516772209  0.6179907018900082  0.7615713187431371  -4.1143778691574315  0.0  0.0  0.0  1.0
38591597440712;3.8212360075464504;0.008043265151283958;-0.8065454395577134  0.1296940889914534  0.5767702291288377  11.722750254767824  -0.4205791451549376  0.5597505544546812  -0.7139975486291388  -0.6332859920484831  -0.41544871715940784  -0.8184489966200426  -0.39691762790565077  6.208588738941756  0.0  0.0  0.0  1.0
38591597440743;5.199898909440479;0.0043162330007270305;-0.5465243129348477  -0.7158992394344968  -0.43451059175606194  8.444005315252284  0.5127864282798598  -0.696289247887946  0.5022264053667668  -0.010748627490576368  -0.6620885547591637  0.05166780673445119  0.7476424168037646  -1.8721094189684204  0.0  0.0  0.0  1.0
38591597440774;4.068195372446665;0.010868106068096977;-0.8112204008783652  -0.5535031333998898  -0.1885623040675133  0.5119805463739393  0.5798508863926547  -0.7198478986504999  -0.38156513514485807  9.050917284986378  0.07546131955113472  -0.4188714410472083  0.9049045834377443  3.955262832308327  0.0  0.0  0.0  1.0
38591597440805;6.856595695350732;0.02727932631958183;0.3510059632774564  0.8264508915931074  0.44019738473623743  0.0010696522469499925  -0.7902527031819337  0.5136328452006298  -0.33418851782302744  -1.5774780583380195  -0.5022902336869701  -0.23056501060669232  0.8333932427291603  -6.762466947198551  0.0  0.0  0.0  1.0
38591597440836;1.767433218515084;0.005248116120453647;-0.3714832714289046  0.9218379241611565  -0.11052158443819463  0.25025853318572777  0.8078068722931487  0.3795963357512144  0.4509486433732917  -0.6910803453579502  0.457655149784682  0.07823978184083566  -0.885680698905119  -0.6973352081232778  0.0  0.0  0.0  1.0
38591597440867;2.621604289268463;0.011920412720553551;0.4438102854501447  -0.6882576917865532  -0.573876101807095  -1.5163497592798576  0.38894669208597  0.7248812934521371  -0.5685662504216537  3.282956753316385  0.8073121461021393  0.029128338431891512  0.5894053262875681  -3.2150765008605826  0.0  0.0  0.0  1.0
38591597440898;2.670728938211616;0.025326862829769606;-0.19634612854816735  -0.9805261128236903  -0.004091439234620242  4.422168668715862  0.9760907842047442  -0.19585138167655503  0.09428158508400394  -5.1777838549494035  -0.09324687016042045  0.014518208093582397  0.995537162962306  -2.089206863438454  0.0  0.0  0.0  1.0
38591597440929;1.8420211736250836;0.012067031676185893;-0.6957384737183587  0.6124816588587183  0.37525217354430057  4.024888326863576  -0.34287876297320585  -0.7422449545104148  0.5757660821946684  -2.223025766680715  0.6311751976194989  0.27191661417704055  0.7264153253094827  -0.26505067399172444  0.0  0.0  0.0  1.0
38591597440960;4.0321706019458725;0.014971470051318742;-0.23772606914377187  0.9658845970026358  0.10272906756370002  0.46211289178172477  -0.8570259686850031  -0.2583505140510494  0.4458267610732796  1.0825575117751072  0.45715730886532163  0.0179431647881631  0.8892048345507362  -5.341533363637761  0.0  0.0  0.0  1.0
38591597440991;5.87031157311765;0.011265656370990522;-0.6830757395108484  0.6773782978863392  -0.2730680787721507  5.782827773597547  -0.010288151873729084  0.36492637413709306  0.9309795354303864  -8.93035281198761  0.7302750769557527  0.6387389004998523  -0.24230338207608473  0.3749763240461419  0.0  0.0  0.0  1.0
38591597441022;4.407785844403787;0.012010701191612357;-0.08612231166496735  0.9435465913335341  0.31984805363852264  5.102454373983867  -0.931632476175031  -0.19003651364724106  0.3097532127626472  7.535309259887145  0.35304939706712746  -0.2713041714822513  0.8954050311266224  6.562754951141869  0.0  0.0  0.0  1.0
38591597441053;5.317946691794153;0.007102903060245405;0.4161514900373512  0.45480969419819606  -0.7873792475059507  9.848657595841907  -0.5060967664246689  0.835254814860776  0.21497780645077247  -1.3557776540010864  0.7554362980120743  0.3090267566332  0.577770251337483  -7.365214390762482  0.0  0.0  0.0  1.0
38591597441084;5.062681624331849;0.010615832557629278;0.20039655438355744  0.4024483854674257  -0.893239339721365  4.055549783763383  -0.24583076247093644  0.9032210368683758  0.3517939663800025  7.943861678064682  0.9483714763815684  0.1490874092372615  0.2799365770898213  -7.4717288907615815  0.0  0.0  0.0  1.0
38591597441115;4.0304954775959185;0.01291709968074068;-0.09572332266803524  0.14576219504211357  0.9846778295431946  8.23386264350641  -0.7532687393367056  -0.657272315339325  0.02406885594651345  1.0823515828647796  0.6507098061620726  -0.739423076448787  0.1727143948243167  -0.11292904564230377  0.0  0.0  0.0  1.0
38591597441146;3.50878041807317;0.014398922308484729;0.6215685589608623  -0.41975170844291654  -0.6614083683856521  5.85203338622782  -0.21461268003901693  0.7207725837240098  -0.6591117356854502  -2.076521921873031  0.7533882956867516  0.551629754283676  0.3579255371039397  -0.2152632409459021  0.0  0.0  0.0  1.0
38591597441177;1.8734213949510077;0.008721958519254266;0.39757894081202516  -0.5333417492594987  -0.7466442019594113  3.323766688453324  -0.5479063643855682  -0.7907159111345499  0.27306952181531985  0.8673454321295825  -0.7360228268801023  0.30052441893376386  -0.6065933332439011  2.689125516674414  0.0  0.0  0.0  1.0
38591597441208;4.856694250338816;0.011287671146881485;0.4681079044580172  -0.8619015484527008  0.19493770943242472  5.528259619092158  0.8763386470836947  0.48114692409042864  0.022982886368761363  -6.552198246621917  -0.11360266463179275  0.16007297777312787  0.9805463152627723  7.496191001365974  0.0  0.0  0.0  1.0
38591597441239;3.562972413096303;0.005746215972899577;0.19785247061638717  0.8418542478855688  0.5021312828215486  -2.3738320209582877  0.8687643483132793  0.08664831555625238  -0.4875864810585575  2.0625798183807986  -0.4539855801353107  0.5327039466047598  -0.7142293737315196  6.115172282355324  0.0  0.0  0.0  1.0
38591597441270;3.8856885051039876;0.021380704413875632;0.5320635272500754  -0.1560482894333699  0.8322002970049504  -4.436305489377325  -0.7730199011222427  0.3115002969662428  0.5526371300038578  1.3190462718657532  -0.3454687184669064  -0.9373454519838792  0.045109513475226355  -2.334011529942546  0.0  0.0  0.0  1.0
38591597441301;5.885271651627378;0.017907024213277396;-0.8539467011060518  0.3109857409035289  0.4172084618326616  2.5059638957890216  -0.32267782167670866  0.31253317885525467  -0.8934215329353794  -5.292284733813201  -0.4082328441809484  -0.8975582883965323  -0.1665384756223643  3.407878999455538  0.0  0.0  0.0  1.0
