# registration_from_features.py TEASER TEASER_config.json euclidean True --input_txt=/benchmark//eth/wood_summer_global.txt --input_pcd_dir=/benchmark//eth/wood_summer/ --input_features_dir=/i7g4/neural_comparison/features/3DSmoothNet/eth/wood_summer/ --output_dir=/root/neural_registration_comparison/results/3DSmoothNet/TEASER/
id;initial_error;final_error;transformation
2318808360030;4.969564550018172;0.012080313680582497;0.4381261510815785  0.034160176271926954  0.8982641917028149  -4.851972916152316  0.6882924024662067  -0.6554891974374069  -0.310785264692781  7.8155876771649675  0.578185994681417  0.7544315703892142  -0.3106991489436775  -10.657896159476534  0.0  0.0  0.0  1.0
2318808360061;1.6724101210514537;0.007795070807172943;0.20385607327714966  -0.9457885697932652  0.2528372651260719  0.36451902428334015  0.9508466631348249  0.2527671963442758  0.17888367074057496  -4.838762502621109  -0.23309509774636913  0.20394294717068437  0.9508280337190033  -1.2743992874733825  0.0  0.0  0.0  1.0
2318808360092;1.584883217651029;0.011930844627722273;0.278954690883601  0.1140554037756431  -0.9535070242549925  4.654404263045215  -0.9020126901366999  0.37179190469168855  -0.21941715164973216  5.281028816022478  0.32948048085795595  0.9212828797254966  0.20659251743059062  -3.781745904041585  0.0  0.0  0.0  1.0
2318808360123;2.8011658140671436;0.007903363008839039;0.7858833682124384  -0.048551959896550166  -0.6164657644648867  -2.496030403928801  -0.5292172495226173  -0.5684849496317664  -0.6298840884241194  -3.3142547396921938  -0.31986940206088676  0.8212597452891337  -0.4724574016700757  1.307776512749942  0.0  0.0  0.0  1.0
2318808360154;5.158117208596515;0.004052032263571854;0.6392694034839276  -0.7689818615319434  -0.001235477304968818  -7.025957900557965  0.7686756965395279  0.6389678272943708  0.029288039063467677  -5.818216045546313  -0.021732540550418223  -0.019672628639272625  0.9995702498392227  3.162494058069092  0.0  0.0  0.0  1.0
2318808360185;2.9373278081057164;0.02305039575119216;0.6573062411011168  -0.14574714647360712  -0.7393958849657754  1.7273448293250768  -0.3184700060944425  0.8354938472787082  -0.4478022849178307  -0.8500301520876393  0.683026617803235  0.5298186486470859  0.5027592255921804  -10.030432957508022  0.0  0.0  0.0  1.0
2318808360216;2.8192109211834575;0.011031330592936714;0.6805634804197721  0.7133195287845904  0.1673576976821036  -1.945993373623773  0.4456297527215469  -0.5842943903087324  0.6782434584594816  -3.6909925701158466  0.5815904681201866  -0.3870081592270048  -0.7155258290819879  -1.5325747708274158  0.0  0.0  0.0  1.0
2318808360247;5.338906233558544;0.026230194103571053;-0.3405066483294583  0.9401219713414861  -0.015030018111652811  -2.1628773518049416  -0.8984862830601104  -0.3206324610925741  0.2998620083414141  4.672845295777113  0.27708775071494207  0.11560927252914005  0.9538641803260134  -4.198113843830184  0.0  0.0  0.0  1.0
2318808360278;3.9358878406157967;0.010027668819359459;-0.024655484450917156  -0.9228163298180619  -0.38445042399197865  0.638829967040254  0.5063513943928154  0.32006034702605474  -0.8007306910928369  4.858504324233557  0.8619746936441588  -0.2144094113668592  0.4593780924623798  -1.6039137629644342  0.0  0.0  0.0  1.0
2318808360309;2.1234453820707166;0.006568485835273321;-0.27474319784626805  -0.3266939696123573  -0.9043158880922789  4.9809077663654024  -0.9248005157675946  -0.16763851508558436  0.34152794072504683  1.2921569502495212  -0.2631732913370906  0.9301442783132201  -0.2560692098788579  7.670941224653871  0.0  0.0  0.0  1.0
