# registration_from_features.py TEASER TEASER_config.json euclidean True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/benchmark/point_clouds_registration_benchmark//eth/gazebo_summer_global.txt --input_pcd_dir=/benchmark/point_clouds_registration_benchmark//eth/gazebo_summer/ --input_features_dir=/benchmark/experiments/3DSmoothNet/features//eth/gazebo_summer/ --output_dir=/benchmark/experiments/3DSmoothNet/results/TEASER/
id;initial_error;final_error;transformation;status_code
36535719080030;2.8719654907800902;0.007381927862865258;0.5905877680678032  0.6970324099121681  0.40663485800005716  -0.9635808138664241  -0.6201829239734303  0.7144507474426989  -0.32393405237846873  7.078093294719965  -0.5163131114163748  -0.060876506228637314  0.8542334704101319  6.209632542021984  0.0  0.0  0.0  1.0;ok
36535719080061;2.8185456084080336;0.012616027757436688;-0.8841845764040147  0.3369778588225122  -0.323517476363561  4.920692051779687  -0.3907936779595027  -0.15416170068689733  0.9074769811450907  5.39009668832254  0.2559256456788506  0.9288057346424593  0.2679962148597347  -0.7482677758487195  0.0  0.0  0.0  1.0;ok
36535719080092;1.9001870719663094;0.009750263307401946;0.05555064967274958  0.9307544434106764  0.3614004584836853  -2.921123409151982  -0.8622597942324279  0.22721625361562725  -0.45263762696348114  3.472386716825398  -0.5034105407827573  -0.28647677072349453  0.8151741453607635  -2.014131248671578  0.0  0.0  0.0  1.0;ok
36535719080123;2.152334886682317;0.015049118753650307;-0.1684220430248745  0.9611466126829453  -0.2187034621386393  3.5300490361672616  -0.9837200100465392  -0.1780007026924121  -0.024712176655352185  -0.31779904268022086  -0.06268139482625543  0.21098089669234907  0.9754783974919834  -2.5878129687007205  0.0  0.0  0.0  1.0;ok
36535719080154;3.7084111945439853;0.013728574057373854;-0.7618565264615589  -0.6436545062801996  -0.07268775435464161  2.250737844848266  0.6319269100108714  -0.7632047934196211  0.1348585321936502  11.072299710179173  -0.14227794450314674  0.05680950489580071  0.9881951561617036  -3.6695644618827616  0.0  0.0  0.0  1.0;ok
36535719080185;2.3222284832250804;0.009619853143341343;-0.5290220207153755  -0.0939946961144869  -0.8433864468323917  6.105304249689769  0.40703091772171673  -0.9001686776474618  -0.1549909152209811  -6.820355439793484  -0.744621738614203  -0.42527796661097517  0.5144678002542009  -0.5709199402225835  0.0  0.0  0.0  1.0;ok
36535719080216;4.7404660091141455;0.01647647260945102;0.7586357824227051  0.19016717036913064  0.6231438011740852  -5.93925275166938  -0.6097422264442403  0.5442038717763327  0.5762434930083543  -4.524803679185522  -0.22953467476333567  -0.8171160219071993  0.5288054839199785  -0.15313025186138357  0.0  0.0  0.0  1.0;ok
36535719080247;2.9917173628249674;0.02018407316807095;-0.6012981207939212  0.7807653615979424  0.16984116126114746  6.113676658452486  -0.7935627650368346  -0.5587294319209614  -0.2409970121233348  1.5284323838585336  -0.09326686376626178  -0.2796906720541739  0.9555492766409754  -3.211751022840953  0.0  0.0  0.0  1.0;ok
36535719080278;1.8936058971638152;0.010240324491447222;-0.3772704647448189  -0.8384435610706578  -0.39329300951120644  2.5460614263688477  0.5727404085323548  -0.5449578694414152  0.6123637358368511  -6.056180268712607  -0.7277605518750108  0.005771952271674565  0.6858070163694403  0.6197441140911102  0.0  0.0  0.0  1.0;ok
36535719080309;2.0474131250721026;0.010022576807570484;-0.7163569003918047  -0.6601584175594489  0.22588416276147294  0.9925757709927768  0.47765061494325706  -0.22800163184974218  0.8484486701729128  2.2966518591240725  -0.5086085737631397  0.7156857687555761  0.47865561638339266  -0.14374124585221396  0.0  0.0  0.0  1.0;ok
36535719080340;2.643359974182583;0.01832805302902271;0.4712257964713285  -0.8198246017026112  -0.3253211815777092  -0.8097344995308845  -0.13393150431782105  -0.43107192812813383  0.8923224444846485  -1.0784376818832044  -0.8717847216435534  -0.3769145993763676  -0.31293255485140037  6.892172634582361  0.0  0.0  0.0  1.0;ok
36535719080371;4.184735305781556;0.0026582118057001712;-0.9760596888142448  0.1573422848297568  -0.1501695351141271  2.9432440468983456  -0.14803141692437363  -0.9864049940643822  -0.07135746133523735  4.522067880098272  -0.1593555253990387  -0.047419332443627525  0.9860817529167639  -4.574584722119772  0.0  0.0  0.0  1.0;ok
