# registration_from_features.py TEASER TEASER_config.json euclidean True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/SSD/point_clouds_registration_benchmark//eth/wood_summer_global.txt --input_pcd_dir=/SSD/point_clouds_registration_benchmark//eth/wood_summer/ --input_features_dir=/SSD/features/3DSmoothNet/voxel_01/eth/wood_summer/ --output_dir=/root/neural_registration_comparison/results/3DSmoothNet/voxel_01/TEASER_mutual_on
id;initial_error;final_error;transformation
2318808360030;4.969564550018172;0.01632452152524264;0.43911001862448346  0.030685283398418972  0.8979091295483999  -4.806890398241206  0.6889071815927593  -0.6530267062251862  -0.31458387769656276  7.793431587299365  0.576705545918823  0.7567129801578955  -0.3078898812352065  -10.696613890453161  0.0  0.0  0.0  1.0
2318808360061;1.6724101210514537;0.01037744098426733;0.20453871311509686  -0.9448745588060155  0.2556872757067865  0.34837534442669094  0.9498841789824617  0.2546764694084233  0.1812731156252238  -4.837975870635431  -0.23639788779943766  0.20579592816865563  0.9496125918463625  -1.2598230514807236  0.0  0.0  0.0  1.0
2318808360092;1.584883217651029;0.010000947864849601;0.27290722256535027  0.11971605186335632  -0.9545625777275767  4.665340968691155  -0.9033565784574695  0.37313094308858563  -0.2114714909093784  5.264550571497373  0.3308603028912338  0.9200224813753586  0.20997641232921446  -3.7792618438515873  0.0  0.0  0.0  1.0
2318808360123;2.8011658140671436;0.00591265499255929;0.7866128724077676  -0.04994615948107299  -0.6154230822088917  -2.4906550710797224  -0.5283871667582981  -0.5701268347272914  -0.629096490475808  -3.3174796011570273  -0.31944826023558104  0.8200370561608366  -0.4748600168002456  1.2970653258479854  0.0  0.0  0.0  1.0
2318808360154;5.158117208596515;0.00744992925302557;0.6418959346243424  -0.7667909544129322  -0.0011141558453818486  -7.046638332240211  0.766380407434032  0.6415033153225249  0.03368334204702539  -5.784648151830164  -0.025113347327457413  -0.02247506753527552  0.9994319342132787  3.1891547678238648  0.0  0.0  0.0  1.0
2318808360185;2.9373278081057164;0.012588339413131821;0.6624737581504513  -0.1445973781146704  -0.734996678907041  1.644085457387078  -0.30778004763492595  0.842003120385672  -0.44306002701511515  -1.023560984384596  0.682934815366635  0.5197329540284655  0.5133007836122843  -9.96751749872892  0.0  0.0  0.0  1.0
2318808360216;2.8192109211834575;0.018900089343215878;0.6780535433300576  0.7142925585645651  0.1732903146654224  -1.9201279324304683  0.45172187390356566  -0.5909539001133455  0.6683717802076014  -3.7266079258817686  0.5798195762602405  -0.3749128281615791  -0.7233599589867282  -1.489411797179855  0.0  0.0  0.0  1.0
2318808360247;5.338906233558544;0.017287457054558416;-0.3426196514045043  0.9393273919203774  -0.01660798782267748  -2.1616011084211024  -0.8965206902200734  -0.32161947693785836  0.30464990408917353  4.644231859774185  0.2808245475003565  0.11926844864540162  0.9523195948204257  -4.22968473398942  0.0  0.0  0.0  1.0
2318808360278;3.9358878406157967;0.011540329515653633;-0.024617776373721874  -0.923823675541284  -0.3820258912636765  0.6321373228385746  0.5095973087582155  0.3171681926442317  -0.7998218054549253  4.83343366253056  0.8600607815688369  -0.2143692004094441  0.462970083183588  -1.6046991795742536  0.0  0.0  0.0  1.0
2318808360309;2.1234453820707166;0.004147090046370489;-0.2734962596456365  -0.329741415091508  -0.9035875138210444  4.971094848665955  -0.9249512431943793  -0.16761689495714868  0.3411301426700618  1.3004995874246987  -0.2639412693631272  0.9290722123163379  -0.25915213799736847  7.677598642395605  0.0  0.0  0.0  1.0
2318808360340;2.3866042493559383;0.011658027122216728;0.3833809283093702  -0.9171172274140078  0.10915610376469807  14.635260908330794  -0.8825906368990565  -0.3986168514490712  -0.2492756975698752  22.592827601385466  0.27212649901610847  -0.0007726068037998352  -0.9622611764027285  -3.284698100157044  0.0  0.0  0.0  1.0
2318808360371;4.044074629937958;0.007877525299279277;-0.8230010053537611  -0.008399772084254173  -0.5679778067984977  0.4616039266975847  -0.4827460259815458  -0.5166320948606054  0.7071404054068529  4.526765817906858  -0.2993753823976248  0.8561662936537948  0.4211337768754735  4.957617026827077  0.0  0.0  0.0  1.0
2318808360402;4.2662430875772905;0.007163774539630433;0.7245075214046786  -0.6827780955669734  -0.09435530531976925  3.055899366844181  0.6360733676100526  0.715033400704061  -0.290065349352164  4.527327535966414  0.26551746165790396  0.15013763049789805  0.9523440394433202  -4.312616300953681  0.0  0.0  0.0  1.0
2318808360433;3.0557917853126377;0.01076881918561882;-0.6231891226101787  -0.5471017631482684  -0.5588514813619194  19.049607750163208  0.7215609556087923  -0.6778306454518073  -0.14105106673582105  5.557654202118255  -0.30163737301813665  -0.4911468994572214  0.8171839562499226  3.0894571786081055  0.0  0.0  0.0  1.0
2318808360464;1.0653308809730693;0.007958602878747752;0.7883183041754621  -0.45456164906146335  -0.41464196423474603  2.5150874947931605  0.6091318014707716  0.6715425335776354  0.421887513483279  -3.512329420662364  0.08667583134240883  -0.5851532558216305  0.8062772274239476  3.1342697679903493  0.0  0.0  0.0  1.0
2318808360495;1.7172042102086578;0.01214771143494041;0.10244006404591743  0.9940559840434  -0.03686100738959807  -5.128715415870471  -0.9940369160711346  0.10090526954495084  -0.041336860861083194  24.107861859304577  -0.03737168401418332  0.04087575278289792  0.9984650870553141  1.2193990150298908  0.0  0.0  0.0  1.0
2318808360526;3.6807220373796983;0.0054492277274139946;0.47174303712311605  -0.7072927450996551  -0.5264935703835828  2.9863373867259324  0.7478684617359628  0.6372580699826138  -0.18599708648986882  -4.838053485142153  0.4670666664048548  -0.30600510611986337  0.8295839946394992  4.8229365201145455  0.0  0.0  0.0  1.0
2318808360557;2.560279020018075;0.013845263992754278;0.8646250094615452  0.5023620543030217  -0.007480602253164451  -0.5407114292421747  -0.36709597530874083  0.6418413871635195  0.6732608548223588  -3.8202617371406347  0.3430220662373584  -0.5793720739908481  0.7393672037315405  -0.9418353323186085  0.0  0.0  0.0  1.0
2318808360588;3.9226564362176193;0.00985006836141617;-0.3587462231035615  0.8213994258016091  -0.4434006435513105  -4.0737703754964265  -0.9294212099425401  -0.35833516086769357  0.08815966762000058  25.071418250117574  -0.08647174057386867  0.44373291040750074  0.8919774337411316  -0.9332227766729134  0.0  0.0  0.0  1.0
2318808360619;3.5577362196516864;0.019353320038721106;-0.9036897986324406  0.4179068338255628  -0.09326642530704089  5.968991247729043  -0.07375582609624301  -0.36648508287172543  -0.9274959634140554  17.74284468780462  -0.421787655064158  -0.8312896981644841  0.3620118945022124  14.273958389074652  0.0  0.0  0.0  1.0
2318808360650;2.026557361496415;0.008940017722192706;-0.3568586089001981  0.9341048333109622  0.010004680850277713  -1.7201355761807167  -0.8692888678493487  -0.335980036132667  0.3625662416076414  23.523862932586326  0.34203625171466  0.12068792692474412  0.9319043013140321  -3.5801388045755123  0.0  0.0  0.0  1.0
2318808360681;3.2402694513344694;0.015583218350972408;0.14596221881255766  0.988549139117248  0.038283550382167075  6.1715550290109125  -0.9612206285057171  0.15086739806623267  -0.23085478452005292  8.604583480890044  -0.233987038133291  -0.0031028617877351086  0.9722347649792908  1.8689177315688696  0.0  0.0  0.0  1.0
2318808360712;4.183482302346372;0.01266759397237412;0.7444512187324015  0.6009722190128067  0.2909033772623919  -6.0331323843047695  0.6579175270020512  -0.7345037814845228  -0.1662790505398735  10.148476152305262  0.11374054066755517  0.3151770723890929  -0.9421923914195511  -3.420676218871502  0.0  0.0  0.0  1.0
2318808360743;4.6928323050556155;0.00646741317003575;0.08894373426672067  -0.8167471263374865  0.5700992402679981  1.8060542548972827  0.8435629040333025  -0.24257108904994687  -0.47912513365093323  -4.668666288181296  0.529613669643819  0.5235297492756074  0.6674023992688569  6.153928188403028  0.0  0.0  0.0  1.0
2318808360774;2.6368253275423768;0.016187279424917093;-0.9919759458226661  -0.10156438551385595  -0.07528876745185965  10.34855668114519  -0.09287781705787822  0.18140055849017797  0.9790135588836428  -5.435801597181854  -0.08577548605394585  0.9781505574167223  -0.18937806899840579  2.385321788899203  0.0  0.0  0.0  1.0
2318808360805;3.822501238380734;0.01610693329925831;0.47328188188833287  -0.5422905236055127  -0.6942083608570965  9.515715070941456  0.6451884842898014  -0.3231691445883459  0.6923102799510239  -9.832321942713685  -0.5997800263563857  -0.7755531522685568  0.19692950005074852  3.9248865773062844  0.0  0.0  0.0  1.0
2318808360836;3.8885550361159975;0.008228194889432465;-0.38904884007112217  0.9065109197339882  -0.16394801750052854  2.657926805464464  -0.9017438515894912  -0.3383463517940397  0.2690348905778089  15.362911519371902  0.18841185249305317  0.2525068288793457  0.949073903976626  3.643352031958677  0.0  0.0  0.0  1.0
2318808360867;3.4260014484993295;0.0071700183616503444;0.3935918191745343  0.6517834317917045  0.64827759325825  0.6806781527459486  -0.7642984595669133  0.6238674735446326  -0.16320919139766824  6.638064278498538  -0.5108163511307406  -0.43123976335081343  0.7437062067258888  0.06958090038493016  0.0  0.0  0.0  1.0
2318808360898;3.99662055613861;0.008270613537356983;-0.6907784528193553  0.7120835557510151  0.12554735660096517  3.4096060965939268  -0.47862186982780774  -0.5804519533486407  0.6587842101752904  30.938222579989176  0.5419836112310328  0.3949842268784153  0.7417824651973307  -9.3371720679329  0.0  0.0  0.0  1.0
2318808360929;3.423510523147215;0.0065678908781943105;0.2296325125536164  0.07793584018556034  -0.9701520056119476  -0.6441897631283138  -0.388423617892071  0.9213065269199798  -0.017926977388251743  -2.687029083438723  0.8924102208300551  0.3809465687851974  0.24183405361701452  -1.870050580813794  0.0  0.0  0.0  1.0
2318808360960;3.2303591939848126;0.010895711089563907;0.4564617858692291  -0.8820294550951797  -0.11690456956670528  6.170881074456475  0.7731696490272693  0.45823623171495154  -0.4384384218641568  3.0739007112168606  0.44028551175813774  0.1097433200162259  0.8911257329062455  -6.781464080247938  0.0  0.0  0.0  1.0
2318808360991;1.4400202981915988;0.010960337754170418;-0.2894850000847932  -0.18127486352194752  -0.939860552731631  6.410403297856818  0.8928428843451531  -0.40505621013267895  -0.19687826316579227  -3.092898382652906  -0.34500727325686226  -0.8961411108123826  0.2791076690308141  3.4989112025032854  0.0  0.0  0.0  1.0
2318808361022;4.853359975936401;0.010272904401294912;-0.06616620235674457  0.6109394086818875  -0.7889075183981402  -4.312959488275782  0.9978082242526912  0.03981192102662818  -0.05285601723418382  1.9428882295736611  -0.0008839000945519773  -0.790675691964534  -0.6122345701257216  2.9753227668622073  0.0  0.0  0.0  1.0
2318808361053;1.3356595994763014;0.008722255557458836;0.16982669776706577  0.9461301377203069  -0.27567490858416416  -0.8372061400792259  0.29339335658279664  0.21851143934615616  0.9306842048664801  2.8774656818664557  0.9407864959907821  -0.238936211931605  -0.24047922070141803  -4.361351623356711  0.0  0.0  0.0  1.0
2318808361084;4.199949712177371;0.008544588037335273;0.2924240076918356  0.8954278878075371  0.3357038835968072  -3.154439168090789  -0.9237973601160575  0.35524019095415055  -0.14283852482248083  0.8176736421967835  -0.24715711029231804  -0.26835294756605893  0.9310746792629252  4.5628504312804585  0.0  0.0  0.0  1.0
2318808361115;2.9319105454862306;0.00986971881386189;-0.36181472980359497  -0.8562942848614269  -0.3685786198503785  21.72550420241924  0.06084283485964059  0.37283192415084077  -0.9259019957750521  6.532048067218748  0.9302624633636439  -0.3574303485263105  -0.0827967101337129  -6.304049612616024  0.0  0.0  0.0  1.0
