# registration_from_features.py TEASER TEASER_config.json euclidean True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/neural_comparison/point_clouds_registration_benchmark//eth/hauptgebaude_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//eth/hauptgebaude/ --input_features_dir=/neural_comparison/experiments/FCGF/3dmatch_normalized_5cm_32_2023/eth/hauptgebaude/ --output_dir=/root/neural_registration_comparison/results/FCGF/3dmatch_normalized_5cm_32_new/TEASER/
id;initial_error;final_error;transformation
3394309160030;3.936759879304484;2.6861407022887693;0.44302448949971573  -0.2212039866350326  -0.8687911705354079  0.8921529489955123  0.866866581631095  0.3528346029270848  0.352207428411876  -10.488523522625277  0.22862990039523806  -0.909162548323486  0.34806871357708774  2.3804050519271134  0.0  0.0  0.0  1.0
3394309160061;3.7772892530728184;3.269681227394051;0.5037788980321183  -0.07012378264986135  -0.8609816937684672  8.525465266420731  -0.48293929989762424  -0.8492501744753295  -0.2134098727051154  10.62561012370891  -0.7162237461240278  0.5233132869137722  -0.46169984754986304  16.482983380067573  0.0  0.0  0.0  1.0
3394309160092;3.061336083217481;3.486425735325839;-0.768223606887739  0.6077396393733248  -0.20120889780219087  16.205968915082934  -0.6401429564118895  -0.7327025778455053  0.23100633708795848  10.177650226633443  -0.007034570110328708  0.30626698018710785  0.9519196666055553  3.5195781376358144  0.0  0.0  0.0  1.0
3394309160123;1.9832381539954238;1.8484269393937187;0.10457348309032571  -0.5482618044992933  -0.8297429604169819  20.137118341680832  -0.6424086311749108  0.5996619227810454  -0.47719674030583903  14.216790531789709  0.7591940049989437  0.5829361646816223  -0.28949937941202136  -14.823836760802417  0.0  0.0  0.0  1.0
3394309160154;1.9207102010338835;1.7115760289245607;-0.5526613352040854  -0.8224064622631894  0.13495576830273792  14.22412286055946  -0.33629434437975203  0.07190157151336879  -0.9390081351895209  4.404291646082351  0.7625428266718068  -0.5643383513829746  -0.3163078605563208  -8.884024722733862  0.0  0.0  0.0  1.0
3394309160185;2.640555800877831;1.5054609572506092;-0.19692843082635725  -0.405708221348131  -0.8925357316448487  21.162830568377355  -0.3921945071752011  -0.8017512151948922  0.4509750075947836  9.334160177025696  -0.8985558756548592  0.4388574119962532  -0.0012289272071026175  15.556904842813159  0.0  0.0  0.0  1.0
3394309160216;2.7201455624554285;4.056703922876928;-0.6032838388239372  0.4905688231516604  0.6288011128850275  17.054974260848756  0.7523890159730257  0.0886007099268559  0.6527332401859132  -4.370249275834897  0.2644983524655631  0.8668864654336534  -0.4225499705253222  -4.880101882206439  0.0  0.0  0.0  1.0
3394309160247;2.5310221937667676;2.841662783667553;0.9072283237545531  -0.37860956524231204  0.18328001987268044  2.6842731136256233  0.41744563522708117  0.7567987154571537  -0.5029859301334987  -0.8008239075806286  0.05172920072223702  0.5328325265873224  0.8446381405094182  -7.683694042388044  0.0  0.0  0.0  1.0
3394309160278;1.96744994252244;2.724804490263166;-0.7285549546568085  -0.6674419584817557  0.15404191021619867  17.559736014043093  -0.3975046306080468  0.595101673662488  0.6984583499746192  6.184678807528803  -0.5578510076088219  0.44763291887677925  -0.6988755420299655  7.003027503794842  0.0  0.0  0.0  1.0
3394309160309;1.4697744642858348;3.043158873240372;0.21878943923401395  0.9415206125057926  0.25626181437425294  4.434133578785865  0.08386455206776122  -0.2797970757814713  0.9563892164232155  -6.7366988578615175  0.97216146713709  -0.18775657807612442  -0.14017684973990782  -15.758774861957223  0.0  0.0  0.0  1.0
