# registration_from_features.py TEASER TEASER_config.json euclidean True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/neural_comparison/point_clouds_registration_benchmark//eth/stairs_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//eth/stairs/ --input_features_dir=/neural_comparison/experiments/FCGF/3dmatch_normalized_5cm_32_2023/eth/stairs/ --output_dir=/root/neural_registration_comparison/results/FCGF/3dmatch_normalized_5cm_32_new/TEASER/
id;initial_error;final_error;transformation
5494384560030;1.9653997219596564;2.5011286230774905;-0.6375384045405288  -0.2595883731821233  0.7253679474891186  11.662006966395708  0.4368988080501088  0.653670228308435  0.6179277175751178  -5.132814029775398  -0.6345582827922996  0.71086504283996  -0.3033260236244665  7.175491922523555  0.0  0.0  0.0  1.0
5494384560061;3.2470421696666185;7.670777805266143;-0.09921719773719224  -0.8412122288520225  -0.5315241609776474  6.452267196983976  -0.01375490031713162  -0.5329493414248959  0.8460353433468571  6.786463991440263  -0.9949707284088536  0.09125231780389295  0.04130694983864866  8.046098407700349  0.0  0.0  0.0  1.0
5494384560092;2.297685819693392;2.657749051408314;-0.3203837875509469  0.9468827675700159  0.027699334891947647  12.993891870827163  0.7851993026397011  0.281807490160423  -0.5514042016738804  -4.826518691260705  -0.5299210165757126  -0.1549114681630437  -0.8337782398353497  11.133450580060035  0.0  0.0  0.0  1.0
5494384560123;8.759025089926762;11.158623060144187;0.34192821863705053  0.8731576498119591  -0.34739143897705593  8.636147878503053  -0.31687795816103675  -0.24089065411254543  -0.9173658225554964  -7.9149563673890855  -0.8846883366086532  0.4237539514105874  0.19431710097808663  1.7191867902124416  0.0  0.0  0.0  1.0
5494384560154;2.6625673868786452;8.571445162212811;0.40669623003452826  -0.3041190431902398  0.8614579409609942  0.16662943884473905  -0.7482844606184419  0.4300622365176407  0.5050909212393481  7.433418906469083  -0.5240882964469536  -0.8500341641901801  -0.05266286392546338  8.053731525876051  0.0  0.0  0.0  1.0
5494384560185;6.621620892396294;3.085295405103576;-0.7377017062609994  0.6748110001879382  -0.020647193634125066  15.635700538066605  0.1411528224326246  0.12425679587757243  -0.9821589124971293  -10.355364436958872  -0.660206083960845  -0.7274547152253492  -0.1869159276185192  10.520219811756345  0.0  0.0  0.0  1.0
5494384560216;5.2200031515621825;7.4806762384875265;-0.8068431857478582  -0.3886870547198077  0.4448892526297855  9.219215666248514  0.5699315412960484  -0.3139017928528627  0.7593705964018291  -6.516261372564193  -0.15550598653479114  0.8662494086214434  0.4747945347356497  -2.6648298941170836  0.0  0.0  0.0  1.0
5494384560247;8.503686109037535;3.5755671750463534;0.2386591843061751  0.35457667328159653  -0.9040559587275927  -8.344401919305154  0.2781306193196041  -0.9169156945708766  -0.2861974277426341  -2.4658761645197522  -0.9304220291583838  -0.18314199904490142  -0.31744898147991085  0.864818422701123  0.0  0.0  0.0  1.0
5494384560278;5.489767218869771;7.742957465853305;0.3467637908721456  0.015894118568792304  0.9378178129759003  6.857531071199271  0.35402887806771927  0.9236796341706037  -0.14655881724608882  6.742110345549599  -0.8685726376268657  0.38283587921377116  0.31467167453161016  0.15276013966175134  0.0  0.0  0.0  1.0
5494384560309;6.344090179496548;7.620130490306784;0.8656034650893136  -0.25728923362359524  -0.4295729175434096  9.098530035602831  -0.36617100043791656  -0.9104047245442565  -0.19256696488700278  1.8314684359732816  -0.3415398068507815  0.3239837770458266  -0.8822613402770473  9.240410808003395  0.0  0.0  0.0  1.0
5494384560340;11.288142510784303;8.190671300917762;0.08519505847447384  -0.1598971353139988  0.9834504095936448  3.100423377877874  -0.9502238522702493  0.28384995312820593  0.12846725141374432  6.670916660390816  -0.29969389814979175  -0.9454428117170769  -0.12775545853031126  -9.939699039622111  0.0  0.0  0.0  1.0
5494384560371;4.893298023722126;6.40135947413535;-0.18535625471655479  0.5762109291086617  0.79600504019333  6.476459732310002  -0.90762899209094  -0.4108564866974804  0.08606137376655199  9.678372681915272  0.37663333834571083  -0.7065252384128503  0.5991405644189265  3.9322073124511077  0.0  0.0  0.0  1.0
5494384560402;1.640061358821845;5.540124176023322;0.5248620863757764  -0.8487379366964267  0.06452677814333474  -2.7505739498175785  0.4628052051149541  0.2209321418932662  -0.8584872339161247  -7.285472311799404  0.7143746442895156  0.48045072951422024  0.5087592398232018  -0.20728333507813984  0.0  0.0  0.0  1.0
5494384560433;4.064579359510598;1.8796327104895876;-0.48372647206053654  0.8535409040613058  0.19358880474365175  17.53709788287039  -0.8552664858464776  -0.5079508757985189  0.10249461431380055  7.149463772891721  0.18581694867714268  -0.11599065854510279  0.9757142146728156  1.7491176521505145  0.0  0.0  0.0  1.0
5494384560464;8.086453804333049;7.9032106184151205;-0.4102468066651258  -0.04756896154791507  -0.9107330846731774  6.367863578408491  -0.3665552390269538  0.9230222384452085  0.11690681792560198  1.2301239171943439  0.8350657545145534  0.381794632273491  -0.3961035778735033  7.145317977758028  0.0  0.0  0.0  1.0
5494384560495;3.79668680245774;7.44333154185567;-0.7273000496465748  -0.3467221119999665  0.5922992612137674  7.152767435922486  0.0661746438156646  0.8235599874709628  0.56335589422025  5.335968663849021  -0.683121917595945  0.448923962478181  -0.5760310075099507  4.2114845688073075  0.0  0.0  0.0  1.0
5494384560526;3.919459476654856;2.091408769772584;0.5338311793048495  -0.5627287005433044  0.631158206463988  0.16201423689263292  0.6190863438380623  -0.24832935822897842  -0.74502659597816  -10.665189429635891  0.5759829605771468  0.7884598527676778  0.215811699632706  -4.296717897906593  0.0  0.0  0.0  1.0
5494384560557;4.769841275602151;5.837691946475253;0.3517456399135524  -0.7286107138771774  0.5877086288503823  11.977802634910342  -0.9221515127653249  -0.3776646685183771  0.0837017661553694  1.539166924820357  0.1609707809089248  -0.5713981324578291  -0.8047313725195981  -6.299303244695273  0.0  0.0  0.0  1.0
5494384560588;4.0033637514024445;4.994474728372317;-0.5726665676234686  0.6959504902932753  0.4332504095634597  10.474315293632142  -0.21505353428219792  -0.6375153291914927  0.7398149650004375  -1.1967628889067718  0.7910783650935549  0.3304952648774452  0.5147503279984346  -1.929946047895601  0.0  0.0  0.0  1.0
5494384560619;2.5680413302481218;8.251112067520692;-0.8953443149057534  0.17745954331589298  -0.4084931679380487  12.117849273654848  -0.08662654523134773  -0.9690623487942107  -0.23111470271432247  6.701705910798125  -0.4368688583857051  -0.17154088327731976  0.883017171937901  2.098312309055857  0.0  0.0  0.0  1.0
5494384560650;2.1252762310053015;2.1252762310053015;0.9999999999999999  5.204170427930421e-18  -2.0816681711721685e-17  1.865158028024894e-15  5.204170427930421e-18  1.0  1.1102230246251565e-16  -6.863686268648861e-16  -1.0408340855860843e-17  -5.204170427930421e-18  1.0000000000000002  -1.3396395104336989e-15  0.0  0.0  0.0  1.0
5494384560681;5.499161925361485;2.119726046901971;0.817965919361001  -0.0011800285755160789  -0.5752654711491673  -0.4596217260342535  -0.5549815174015286  0.2615935090382524  -0.7896609091070363  10.960132006298318  0.15141753566416838  0.9651774155882508  0.21331968106992727  11.88402406869832  0.0  0.0  0.0  1.0
