# registration_from_features.py RANSAC RANSAC_config.json euclidean True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/benchmark/point_clouds_registration_benchmark//eth/wood_summer_global.txt --input_pcd_dir=/benchmark/point_clouds_registration_benchmark//eth/wood_summer/ --input_features_dir=/benchmark/experiments/FCGF/KITTI_voxelgrid_0.1/features//eth/wood_summer/ --output_dir=/benchmark/experiments/FCGF/KITTI_voxelgrid_0.1/results/RANSAC
id;initial_error;final_error;transformation;status_code
2318808360030;4.969564550018172;4.969564550018172;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360061;1.6724101210514537;1.6724101210514537;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360092;1.584883217651029;1.584883217651029;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360123;2.8011658140671436;2.8011658140671436;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360154;5.158117208596515;5.158117208596515;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360185;2.9373278081057164;2.9373278081057164;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360216;2.8192109211834575;2.8192109211834575;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360247;5.338906233558544;5.338906233558544;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360278;3.9358878406157967;3.9358878406157967;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360309;2.1234453820707166;3.180321575642857;0.5396252222783233  -0.8317294771708511  0.1305017098975073  3.5710879311295285  0.6634411359274045  0.3246679095968496  -0.6741191346026065  -4.394874389526747  0.5183150380226542  0.45035189050687335  0.7270025420013739  1.448085968338113  0.0  0.0  0.0  1.0;ok
2318808360340;2.3866042493559383;2.3866042493559383;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360371;4.044074629937958;4.044074629937958;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360402;4.2662430875772905;2.2896922762828944;0.5344169997817126  -0.4472692082671737  -0.7171810968509755  6.8927518673303485  0.8391602320474381  0.38220294362121043  0.38695092045034774  -0.8337593743941785  0.1010374944978502  -0.8086230056233478  0.5795862830349418  1.8180503112880557  0.0  0.0  0.0  1.0;ok
2318808360433;3.0557917853126377;3.0557917853126377;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360464;1.0653308809730693;0.7867400822282301;0.9522397157730103  0.006803799520848197  -0.3052756656148952  -0.8314322335479112  0.003001182531822466  0.9994948980816836  0.0316376612930811  -2.42637363761769  0.3053367265953246  -0.031042825592480006  0.9517383182216044  -0.3776588941942707  0.0  0.0  0.0  1.0;ok
2318808360495;1.7172042102086578;1.7172042102086578;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360526;3.6807220373796983;3.6807220373796983;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360557;2.560279020018075;2.560279020018075;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360588;3.9226564362176193;3.9226564362176193;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360619;3.5577362196516864;3.5577362196516864;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360650;2.026557361496415;2.026557361496415;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360681;3.2402694513344694;3.2402694513344694;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360712;4.183482302346372;4.183482302346372;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360743;4.6928323050556155;4.6928323050556155;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360774;2.6368253275423768;2.6368253275423768;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360805;3.822501238380734;3.822501238380734;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360836;3.8885550361159975;3.8885550361159975;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360867;3.4260014484993295;3.4260014484993295;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360898;3.99662055613861;3.99662055613861;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360929;3.423510523147215;3.423510523147215;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360960;3.2303591939848126;3.2303591939848126;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808360991;1.4400202981915988;1.4400202981915988;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361022;4.853359975936401;4.853359975936401;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361053;1.3356595994763014;1.3356595994763014;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361084;4.199949712177371;4.199949712177371;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361115;2.9319105454862306;2.9319105454862306;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361146;2.1018359827685917;2.1018359827685917;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361177;2.9797821204083887;2.9797821204083887;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361208;2.047594508282059;2.047594508282059;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361239;2.8811770696532393;2.8811770696532393;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361270;2.4139519301703216;2.4139519301703216;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361301;3.633939948710988;3.633939948710988;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361332;6.355512347551134;6.355512347551134;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361363;3.0049062450558113;3.0049062450558113;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361394;4.888364505047668;4.888364505047668;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361425;1.9513800093892786;1.9513800093892786;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361456;2.9799420916800283;2.9799420916800283;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
2318808361487;3.3327799764990607;2.03416229533754;-0.5977052786955666  -0.5628461261290528  -0.5709226200817181  11.981443674989473  0.8008174406933211  -0.38544506039498516  -0.45839233424928394  9.963253415868465  0.03794504580120184  -0.7311883093421454  0.6811195414760316  5.6148754126089315  0.0  0.0  0.0  1.0;ok
2318808361518;4.4213036334582645;4.4213036334582645;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;ok
