# fast_global_benchmark.py --distance_metric=euclidean --decrease_mu=True --division_factor=1.4 --iteration_number=150 --maximum_correspondence_distance=0.1 --maximum_tuple_count=1000 --tuple_scale=0.95 --tuple_test=True --use_absolute_scale=False --input_txt=/neural_comparison/point_clouds_registration_benchmark//tum/pioneer_slam_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//tum/pioneer_slam/ --input_features_dir=/neural_comparison/experiments/FCGF/features//tum/pioneer_slam/ --output_dir=/root/neural_registration_comparison/results/FCGF/fgr/
id;initial_error;final_error;transformation
1807261650030;4.242065528890624;3.439252835480031;0.9855579758205657  0.02691668241863044  0.16718543149463172  2.3574076941837916  0.15130297167521442  0.3033919202100652  -0.9407766756853078  3.5768533230434225  -0.07604529609858113  0.9524856087935532  0.2949377527249695  -0.4151606066076314  -0.0  -0.0  -0.0  1.0
1807261650061;7.372035540033227;9.0708622574094;1.0  -0.0  -0.0  -6.050750573223561  -0.0  1.0  0.0  2.00244716387962  -0.0  -0.0  1.0  -3.96203058844845  -0.0  0.0  -0.0  1.0
1807261650092;12.102589230009645;11.174984295923739;1.0  -0.0  0.0  2.0146212731153503  -0.0  1.0  -0.0  -0.8044361712790038  0.0  -0.0  1.0  12.89420096226163  -0.0  0.0  -0.0  1.0
1807261650123;9.366919006451113;22.267333841016043;0.982166976873583  0.15046085755516117  -0.11273668383791917  13.791312797442659  -0.15188774322369594  0.9883891351436829  -0.004126861802272872  10.959190311701567  0.11080678227174609  0.02117658786697831  0.9936163289363222  12.177493841514881  -0.0  0.0  -0.0  1.0
1807261650154;4.484926530514292;12.742403935706628;0.9878317504921728  -0.009529039149238217  -0.15523411394555903  -5.45694351290047  0.030531373488113057  0.9905811707382145  0.13347950933321995  -6.7209456341758225  0.15250005886064374  -0.13659480807043933  0.9788184665481647  -8.132514084108925  -0.0  -0.0  -0.0  1.0
1807261650185;4.785592360357215;10.090418241315334;1.0  -0.0  0.0  3.1385296459602765  -0.0  1.0  -0.0  3.7250065298678523  -0.0  0.0  1.0  -6.7797452126496225  -0.0  0.0  -0.0  1.0
1807261650216;5.7139193037879235;10.695728577730044;-0.6138938422485682  -0.6970532066975349  -0.3704742602151645  0.2502191695665502  0.7324703522569377  -0.6779798633031079  0.06189093649393179  -8.570438898377112  -0.2943153640466064  -0.23336694707730793  0.9267784711018755  8.545452158600689  -0.0  0.0  -0.0  1.0
1807261650247;12.652214164961155;14.315314992359593;0.908401197286072  -0.15856110315571614  0.38686643862613906  4.987810467169954  0.1393741230029016  0.987213778732478  0.07735508333596523  -11.874440642204233  -0.39418538608934034  -0.016350279715781624  0.9188854932725915  -0.973541534403418  0.0  -0.0  -0.0  1.0
1807261650278;6.989420057286833;9.050712364314737;1.0  -0.0  0.0  8.979673334605229  -0.0  1.0  -0.0  8.670613350840782  -0.0  -0.0  1.0  3.6698700215975855  -0.0  0.0  -0.0  1.0
1807261650309;8.352466281140485;18.419285487828898;1.0  -0.0  0.0  -7.675465396346354  -0.0  1.0  -0.0  -2.4791817111613406  0.0  -0.0  1.0  12.929158692644613  -0.0  0.0  -0.0  1.0
1807261650340;10.036300996119001;6.888354849388621;0.7977876597892215  0.5638126180640808  0.2136590311682711  -3.401263569843558  -0.5659219439908914  0.8224685196349167  -0.057252838524557634  0.421004412354804  -0.20800769985172937  -0.07523872620716138  0.9752291683912642  -8.828705509949735  0.0  -0.0  -0.0  1.0
1807261650371;3.1812712757927435;10.620231692711677;0.9943058162747284  -0.10382467867906592  0.02400791160090048  1.2732971785723355  0.10441201895948347  0.9942283473061075  -0.024660164431122206  13.833095231082632  -0.021309012625000113  0.02702645944540694  0.9994075727503731  4.547950757010729  -0.0  -0.0  -0.0  1.0
1807261650402;12.640830633455;8.600867539112173;0.7774516999071128  -0.1974589622740492  -0.5971422046122652  2.664002991845772  -0.35380146645375676  0.6476657026308099  -0.6747989774524779  6.637465041528631  0.5199936313520701  0.7358933997892577  0.43366753106486167  -6.508425678463408  -0.0  0.0  -0.0  1.0
1807261650433;17.72602606662104;0.0;1.0  -0.0  0.0  -0.0  -0.0  1.0  -0.0  0.0  0.0  -0.0  1.0  -0.0  -0.0  0.0  -0.0  1.0
1807261650464;13.516242316124647;21.41297325703778;1.0  -0.0  0.0  4.599775810333975  -0.0  1.0  -0.0  -8.053968265449196  0.0  -0.0  1.0  17.56142973312292  -0.0  0.0  -0.0  1.0
1807261650495;7.578236265964046;8.02626993432518;-0.07064423129264936  -0.6959602107774224  0.7145969336624085  -1.934500331636684  0.9933748109856726  0.0160121897187397  0.11379848276489138  -12.323112581002068  -0.09064147772543697  0.7179018002450306  0.690218174000578  3.67429311427613  -0.0  -0.0  -0.0  1.0
1807261650526;15.116037694080763;21.16516463287659;1.0  -0.0  0.0  2.888922013074103  -0.0  1.0  -0.0  -1.7149791922236246  0.0  -0.0  1.0  10.79711403105545  -0.0  0.0  -0.0  1.0
1807261650557;24.456095870239103;20.68623962472532;1.0  -0.0  0.0  -1.969384708720936  -0.0  1.0  -0.0  -4.6121573524203106  0.0  -0.0  1.0  -5.1653870390736  -0.0  0.0  -0.0  1.0
1807261650588;6.853314294203077;15.797257692710254;0.8134886251809509  -0.2547823310810747  -0.5228022766496927  0.7104884038098311  0.4937290321897315  0.777616530819895  0.38928675005530783  -4.129852826041592  0.3073563070350092  -0.5748030051804932  0.7583756363183594  12.040740666610759  -0.0  -0.0  -0.0  1.0
1807261650619;35.588647047747834;29.810313058618622;1.0  -0.0  0.0  0.19375070124767624  -0.0  1.0  -0.0  0.47842130777253855  -0.0  0.0  1.0  -10.943309124508245  -0.0  0.0  -0.0  1.0
1807261650650;3.7851067611784845;13.830863154954809;1.0  -0.0  0.0  8.004564734984246  -0.0  1.0  -0.0  -3.1654964656485047  0.0  0.0  1.0  -10.554026291792827  -0.0  0.0  -0.0  1.0
1807261650681;15.599629407378206;21.923218031093523;1.0  -0.0  0.0  4.574254906785548  -0.0  1.0  -0.0  -6.380524494913248  0.0  0.0  1.0  -0.921210463423765  -0.0  0.0  -0.0  1.0
1807261650712;15.285930710511307;11.91368447885382;1.0  -0.0  -0.0  -4.948811732667339  -0.0  1.0  0.0  0.9761216535916937  -0.0  -0.0  1.0  6.721141632126384  -0.0  0.0  -0.0  1.0
1807261650743;12.892867624387561;8.893628742242491;1.0  -0.0  -0.0  -4.836568027065345  -0.0  1.0  0.0  1.2148472333442977  -0.0  -0.0  1.0  -2.2477967353859  -0.0  0.0  -0.0  1.0
1807261650774;8.730798497462562;16.390616645981332;1.0  -0.0  0.0  5.974591982386841  -0.0  1.0  -0.0  0.3793805514670434  -0.0  -0.0  1.0  8.110897765503944  -0.0  0.0  -0.0  1.0
1807261650805;27.065215252830498;36.76934136663075;0.564620562031353  -0.01563394091704671  -0.8252025210957623  -11.712891507016751  -0.29960689688042547  0.9277373769498628  -0.2225737332927419  -13.96202295255775  0.7690509269697812  0.37290607302857065  0.5191355626667561  -4.168331483628409  -0.0  0.0  -0.0  1.0
1807261650836;7.792680035821759;10.30419369243677;0.8459138105803041  0.4739366141174459  0.24456882644441819  3.3090257860856243  -0.36802674937537355  0.8506346770988593  -0.3754689838869727  -2.5857277796984213  -0.385987223640504  0.2276065287196553  0.8939849726200573  -2.9114691343818047  -0.0  -0.0  -0.0  1.0
1807261650867;39.325074377946905;29.424314838851455;1.0  -0.0  0.0  8.642167016191467  -0.0  1.0  -0.0  -5.491917319344808  0.0  0.0  1.0  -0.14242900800551617  -0.0  0.0  -0.0  1.0
1807261650898;3.285326842341318;7.9083077563480035;1.0  -0.0  0.0  -1.5083726119532506  -0.0  1.0  -0.0  -4.312039867979398  0.0  -0.0  1.0  1.6701454508056426  -0.0  0.0  -0.0  1.0
1807261650929;12.554732005914778;31.44814812369069;1.0  -0.0  0.0  -1.1952353400511635  -0.0  1.0  -0.0  -3.2681237641974525  0.0  -0.0  1.0  10.376960171181047  -0.0  0.0  -0.0  1.0
1807261650960;16.500132258179224;9.046165657255521;0.8090130462358219  -0.42605713618725694  -0.4049360538704222  6.3314079637501255  0.3691079641166751  0.9043841140479176  -0.21412306060629713  1.6815681791276789  0.45744639231923023  0.02376322708888582  0.888919629208649  -5.456091564416605  -0.0  0.0  -0.0  1.0
1807261650991;6.090238403131256;19.639189865838823;1.0  -0.0  0.0  0.43557171713620557  -0.0  1.0  -0.0  2.1194195565624905  -0.0  -0.0  1.0  6.742449025845897  -0.0  0.0  -0.0  1.0
