# registration_from_features.py FastGlobal FastGlobal_config.json l2 True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/neural_comparison/point_clouds_registration_benchmark//eth/wood_autumn_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//eth/wood_autumn/ --input_features_dir=/neural_comparison/experiments/FCGF/all_kitti//eth/wood_autumn/ --output_dir=/root/neural_registration_comparison/results/FCGF/all_kitti/FastGlobal
id;initial_error;final_error;transformation
26875431820030;2.0535532931381004;2.0055960648524103;0.9513903746987037  0.2549551560991142  0.17278374723664128  1.6868350945819022  0.03697566552839905  0.4623988052967565  -0.8859007534813733  -0.6577269495084342  -0.3057599631890858  0.8492262438470738  0.43049463605485183  2.039973338355859  0.0  0.0  0.0  1.0
26875431820061;1.6463845109934325;7.09129447116549;0.3735307250672775  0.8059093826338328  -0.45933088771980884  -8.65237284242695  -0.27797910807109555  0.5696652116017141  0.7734398245285611  6.103018065974598  0.8849872388383412  -0.1612191479742047  0.4368134309058735  3.0480573612093025  0.0  0.0  0.0  1.0
26875431820092;3.1454983955145077;2.23492765255146;0.8370702126506286  0.45480770794057  0.3040779635075124  -1.550456912582022  -0.5305469678408747  0.8104863762137022  0.24825742463587294  0.7728812232588497  -0.13354165645177582  -0.36913653675818703  0.9197308536861676  4.334251526957706  0.0  0.0  0.0  1.0
26875431820123;5.022952331012622;9.382516494014176;0.9167112340121658  0.36171068393657935  -0.16972299361613521  -4.927609538936964  -0.3973017854948658  0.8702260868243592  -0.29130370586889964  -9.496999729525172  0.04232971389558537  0.33447262808262046  0.9414543304829086  -15.420765703478699  0.0  0.0  0.0  1.0
26875431820154;4.9039779898946945;3.4755821886316687;0.9720874523858652  -0.05547513558529536  0.2279659936169246  -14.306934494416971  0.08083229391742483  0.9913456021175032  -0.10344098521539152  -0.43145920037957103  -0.22025468252458505  0.11898069798953487  0.9681588032610751  4.146244069799316  0.0  0.0  0.0  1.0
26875431820185;2.518490360471434;4.515572270638023;0.8781131311232223  0.22197384124450953  -0.42384542318176294  -2.809745951861002  -0.1364484373736062  0.9652608902487596  0.2228300646108465  1.2216639404555822  0.4585838558947228  -0.13783696006271387  0.8778962464627573  -13.997522420128453  0.0  0.0  0.0  1.0
26875431820216;3.040176925026691;1.6851149909989644;0.9005993035063994  0.41216555751996925  0.13798712881295683  -3.2892923310557114  -0.40082599802041546  0.9103354603076678  -0.10309155647949812  1.9503750370674429  -0.16810536527645029  0.03753535534240128  0.9850541524528437  2.668125610720495  0.0  0.0  0.0  1.0
26875431820247;4.293952946805166;1.8834275907861195;0.9898113124491669  0.0013552259209049788  -0.1423788225487225  3.89109587536933  -0.02512715862960978  0.9859234516894729  -0.16529843710065167  -0.19507361890574773  0.14015060344807556  0.16719183823207076  0.9759122386678636  -7.819721373669131  0.0  0.0  0.0  1.0
26875431820278;1.9928622542605958;3.3706524443333334;0.9212141828961958  -0.22384954906510265  0.3182071787597594  4.828640469003406  0.2552551276044463  0.9650030901681527  -0.060115354091571364  -5.221771333688582  -0.29361411591157005  0.13660313081795558  0.9461132784123689  0.07124638761187957  0.0  0.0  0.0  1.0
26875431820309;3.3178555720271428;5.380217997989987;0.6878645662706867  0.25517262456781264  0.6795066373041655  -7.729625252999946  -0.5655894160171276  0.775174707083007  0.2814476611879671  -2.679215425055101  -0.4549186201494097  -0.5779196355635856  0.677538149384527  5.490837178680415  0.0  0.0  0.0  1.0
26875431820340;3.1987335091215683;2.501829300278434;0.583060557105371  0.6200474770294768  0.5249585821542039  -2.047269099860222  -0.48940846930680737  0.7838247464801587  -0.38222783385840003  8.387966604997247  -0.6484749316039451  -0.034057202390902604  0.7604737799862422  -4.685828556110858  0.0  0.0  0.0  1.0
26875431820371;3.5265759616751016;2.640018313593;0.8673594931867922  -0.40858459576292977  0.2841586487932301  1.029466274559403  0.26485911808509766  0.8623529214924368  0.43150560408949806  -4.983171729618775  -0.42135158377053167  -0.2990084729547002  0.8561873486307553  3.101331045793371  0.0  0.0  0.0  1.0
26875431820402;5.0883567835047625;5.673770986331371;0.7595765788108687  0.1577044924782593  -0.6310092820031658  8.267253590820932  -0.44573383911498043  0.832739610136111  -0.3284297282192637  -2.004836524648306  0.4736715798839922  0.5307297191250298  0.7028237329854973  -8.913219030559262  0.0  0.0  0.0  1.0
26875431820433;1.6687229373662258;1.819928431925137;0.9303506224231015  0.24426220054452602  -0.2734660796919704  -2.4847125172384534  -0.3450851794670545  0.8353947739537423  -0.42782214828473586  4.83610124462475  0.12395135444657333  0.4923936931317473  0.8615013132287951  -5.285682147161477  0.0  0.0  0.0  1.0
26875431820464;4.58945846466715;4.790996512192894;0.9367851809498905  0.34959524937617514  -0.014720270591613394  -5.807949946793788  -0.3333671428628499  0.8789382776076324  -0.3410774871133968  14.03966637354388  -0.1063008598842965  0.3244235900327522  0.9399199228754119  -8.07205917415916  0.0  0.0  0.0  1.0
26875431820495;2.035425071867048;2.5150878556971294;0.9986138422256328  -0.0025866402127351037  0.05257093691168201  -0.5771413717433813  -0.0030207384839613808  0.9943290432539817  0.10630441609186614  4.59706743029388  -0.05254778067981269  -0.10631586445131765  0.99294293275676  5.0478587727995246  0.0  0.0  0.0  1.0
26875431820526;3.855140063669406;3.855140063669406;1.0  -5.2119541915083375e-18  1.2415197105229854e-16  1.1102230246251565e-15  5.2119541915083375e-18  1.0  6.331571046395324e-17  -8.881784197001252e-16  -1.2415197105229854e-16  -6.331571046395323e-17  1.0  -8.881784197001252e-16  0.0  0.0  0.0  1.0
26875431820557;2.7573624115491;2.6843042681159464;0.98875455060401  0.14244752508006392  -0.04553176098535128  -3.844207383812331  -0.1277289191528322  0.9627575136369917  0.23829245298071453  -1.4603321948097017  0.07778021517013106  -0.22979702464148988  0.9701255411512498  3.269285938183721  0.0  0.0  0.0  1.0
26875431820588;1.5947841889661274;3.581609119175793;0.9508864155292506  0.24400827798962021  0.19045993025955166  -1.410917002779578  -0.24731920599669416  0.96891182996736  -0.006563238108229048  -2.7355208462706226  -0.18614036399206269  -0.04086350476697937  0.9816730305305642  8.172440388635557  0.0  0.0  0.0  1.0
26875431820619;3.5884439472599823;4.6007285988596145;0.7032223435492634  0.03411555654407552  -0.7101510151614026  4.673957406920867  -0.43666801497351243  0.8089770056929029  -0.3935444688459475  2.0837544799811645  0.561069853255525  0.5868494977946512  0.5837878781766456  -8.431817742090216  0.0  0.0  0.0  1.0
26875431820650;3.205971749881819;5.779707409924;0.7948139959305083  -0.5696006809070802  -0.20934606799070085  -10.692730695920613  0.5693970962708077  0.8192961382454182  -0.06738534421161681  -9.375547820306101  0.20989916300773867  -0.065642228529628  0.9755170112316413  10.501851237122658  0.0  0.0  0.0  1.0
26875431820681;1.5831696178308692;4.276313633555619;0.9833723134615734  0.0970633514302261  0.1534848491753041  -1.3468796972795398  -0.08825980508779349  0.9940916107713078  -0.06318287900982211  5.057132087260574  -0.1587107429353732  0.04858575103090958  0.9861289595553232  -2.3500803488218325  0.0  0.0  0.0  1.0
26875431820712;2.1253878571825364;2.125387857182535;1.0  -2.0452673135169715e-16  3.967374030846955e-16  1.7763568394002505e-15  2.0452673135169715e-16  1.0  1.2458083006574253e-16  -5.473822126268817e-47  -3.967374030846955e-16  -1.245808300657424e-16  1.0  2.4424906541753444e-15  0.0  0.0  0.0  1.0
26875431820743;1.5610088030304428;2.478915971690551;0.9989197296148533  0.013337497812204037  0.04451387354857911  3.061965580648053  -0.024882416853862603  0.9625461032144171  0.26997382191288716  2.1550134381358563  -0.03924588026404856  -0.2707897899457255  0.9618381623451265  0.027073219445360137  0.0  0.0  0.0  1.0
26875431820774;3.330059369423353;8.382190627660963;0.8905795795823207  -0.434382363681478  -0.1348331359624462  -1.3010110220312738  0.41010825165743825  0.8951065158365833  -0.1749158289846041  5.837611481034064  0.19667036979030272  0.10048028378435378  0.9753073762753774  5.662253593040744  0.0  0.0  0.0  1.0
26875431820805;4.120916915159846;2.229212946455057;0.5403183440654193  -0.2814057623372195  -0.7930112760798621  -1.0252367695721183  -0.8079921625920701  0.08963884419333125  -0.5823345626025244  12.316869743303974  0.23495691574455232  0.9553929424771206  -0.17894013861824098  -0.5026332839595146  0.0  0.0  0.0  1.0
26875431820836;1.4675689642071519;4.276487028421019;0.7360976128435239  -0.4560994726836034  0.5001335575461862  10.32284736071662  0.0875378280106995  0.796827155696752  0.5978324285377913  0.42954693954273393  -0.6711910555372702  -0.39628241818425564  0.6264685243528233  15.92399379968088  0.0  0.0  0.0  1.0
26875431820867;3.4095493357026116;3.8017277700523247;0.9828505959787809  -0.14347452981076048  -0.11584371057478944  -5.61616035908233  0.17254504373866747  0.9371691515572736  0.3032197045883399  -2.1159846258026107  0.06506084740745184  -0.3180079254751364  0.9458530781625771  -9.684204235588464  0.0  0.0  0.0  1.0
26875431820898;2.851643886467438;7.238915318657008;0.8611038915795162  -0.49060869336213386  -0.13342862475537623  8.551332840077997  0.4975821273623572  0.8671144335930115  0.022903833395782724  -2.4285043371100663  0.10446106660456357  -0.08611427902601122  0.9907937305573068  -7.612243831918594  0.0  0.0  0.0  1.0
26875431820929;4.31324373702403;3.1570979268888064;0.8040853129283513  -0.21378749409517253  -0.5547447312966779  0.9973518826329446  0.00544398398441707  0.9357149975335944  -0.3527149081469111  0.3174596200189425  0.5944890012197818  0.2805928558591848  0.7535585422974737  1.3462162721567705  0.0  0.0  0.0  1.0
26875431820960;2.9706078354575314;1.8674261076487706;0.8837866789722026  0.30396852599339574  0.3557024617242428  -7.195815254653294  -0.2903530500363297  0.9524387135913585  -0.09249650364764449  0.14757190467583806  -0.3669008209392348  -0.021532116891772615  0.9300108362466938  -3.607480684887943  0.0  0.0  0.0  1.0
26875431820991;2.9933660743599426;6.710476630852438;0.9361944771314099  0.33659529414967765  0.10121022154376672  3.388538647154449  -0.35066928688204185  0.8748918760662947  0.3340587619429256  8.95515293865753  0.023894606635945222  -0.3482352841822501  0.9371025742277204  -1.220709307872283  0.0  0.0  0.0  1.0
26875431821022;1.656409031130035;4.244802588109374;0.7380091372781822  -0.5812113865581378  0.3428350002976308  1.582254258968225  0.5689944565977413  0.8091219245534047  0.14685713999678454  4.437635319458983  -0.36275035720858007  0.08668930350486895  0.9278454305555903  -4.381146528861269  0.0  0.0  0.0  1.0
26875431821053;1.9984878364331908;1.9984878364331906;1.0  -1.5278694729102894e-16  6.166837850470449e-17  8.881784197001252e-16  1.5278694729102894e-16  1.0  6.623792596808982e-17  -1.77635683940025e-15  -6.166837850470449e-17  -6.623792596808982e-17  1.0  1.7763568394002505e-15  0.0  0.0  0.0  1.0
26875431821084;2.6465098846802793;3.4359241024863016;0.922252946166601  -0.03406397796354653  -0.3850833009782698  3.2383482499009673  -0.11853100094018335  0.9232170161687323  -0.36554171153593246  -1.160559250533518  0.3679672609120815  0.3827662295211009  0.8474019757087301  5.218294365061933  0.0  0.0  0.0  1.0
26875431821115;1.5027097041887814;1.502709704188782;1.0  -1.227742096746485e-16  -4.942618772543206e-17  0.0  1.227742096746485e-16  1.0  1.087826341701215e-16  -1.7763568394002505e-15  4.942618772543205e-17  -1.087826341701215e-16  1.0  -2.220446049250313e-16  0.0  0.0  0.0  1.0
26875431821146;3.393986024931288;3.3270905800956014;0.601783492789049  -0.2717661421882828  -0.7509991955832624  9.397102450155392  -0.42925764481581125  0.6828979192156569  -0.5910907766985614  7.054021736007405  0.6734942480628867  0.678080818111693  0.2942990009075523  -1.9371820616927906  0.0  0.0  0.0  1.0
26875431821177;4.551379335696718;4.564924970532833;0.9924789950033465  0.0007831056931023718  0.12241254520113432  9.86763741828363  -0.008147693132010947  0.9981847233777273  0.05967305180696147  -1.612922879421199  -0.12214360226296274  -0.060221630339962896  0.9906837515904988  -6.7700810680645045  0.0  0.0  0.0  1.0
