# registration_from_features.py FastGlobal FastGlobal_config.json l2 True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/neural_comparison/point_clouds_registration_benchmark//tum/pioneer_slam_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//tum/pioneer_slam/ --input_features_dir=/neural_comparison/experiments/FCGF/all_kitti//tum/pioneer_slam/ --output_dir=/root/neural_registration_comparison/results/FCGF/all_kitti/FastGlobal
id;initial_error;final_error;transformation
1807261650030;4.242065528890624;1.9205334236424239;1.0  -0.0  0.0  1.7171934309535004  -0.0  1.0  -0.0  1.4197093895403983  -0.0  0.0  1.0  -3.414444593903437  -0.0  0.0  -0.0  1.0
1807261650061;7.372035540033227;14.078749729683974;0.9717213003679206  0.2209522964452556  -0.08329343975875372  -5.643292779181751  -0.23456687335016196  0.8627078174353822  -0.4480107182452314  0.2125645857854036  -0.027131095407412847  0.45487943944681364  0.890139651532582  -2.1428199662514498  -0.0  -0.0  -0.0  1.0
1807261650092;12.102589230009645;1.9588039159035289;1.0  -0.0  0.0  2.0105557203509443  -0.0  1.0  -0.0  -0.7814495185373334  0.0  -0.0  1.0  12.836426708757257  -0.0  0.0  -0.0  1.0
1807261650123;9.366919006451113;7.504188422305463;1.0  -0.0  0.0  11.644279587505423  -0.0  1.0  -0.0  1.780558090892602  -0.0  -0.0  1.0  8.382288788262267  -0.0  0.0  -0.0  1.0
1807261650154;4.484926530514292;10.387514481264287;0.9685058859876174  -0.24111532691394658  0.06212686966621591  -4.995182699484063  0.21081350652648956  0.9268416177201776  0.31068035201449745  -6.859444415136559  -0.13249156302704113  -0.287798566342897  0.9484819296842849  -7.5595022830632095  0.0  -0.0  -0.0  1.0
1807261650185;4.785592360357215;7.827248976835155;1.0  0.0  0.0  3.187579532532827  0.0  1.0  0.0  3.602121944178852  0.0  0.0  1.0  -6.7472809754227825  0.0  0.0  0.0  1.0
1807261650216;5.7139193037879235;4.624460289147586;1.0  -0.0  0.0  -6.52538737864177  -0.0  1.0  -0.0  -2.212383926179748  0.0  -0.0  1.0  8.02326162109997  -0.0  0.0  -0.0  1.0
1807261650247;12.652214164961155;2.6335129567621114;1.0  -0.0  0.0  -0.5770179407245637  -0.0  1.0  -0.0  -11.942082418402144  0.0  -0.0  1.0  -0.5434060080695229  -0.0  0.0  -0.0  1.0
1807261650278;6.989420057286833;0.4911323615998212;-0.4206433772636068  0.8362804369811867  -0.3517018337837082  -4.380058390939354  -0.8984788994714668  -0.4377135484389544  0.03380113485550591  -7.822603397865327  -0.1256774298305295  0.3302149000810453  0.9355016319577731  3.8022035316629164  0.0  0.0  0.0  1.0
1807261650309;8.352466281140485;11.054176554514367;1.0  -0.0  0.0  -7.586984374041036  -0.0  1.0  -0.0  -2.3647840701690166  0.0  -0.0  1.0  12.972306865449248  -0.0  0.0  -0.0  1.0
1807261650340;10.036300996119001;2.7405454480307063;0.7882640734554959  0.6114801043332352  0.06878831662400944  -1.3708202568676524  -0.5877425560969904  0.7812968072775534  -0.21008090510676256  2.533609457016467  -0.18220438592943958  0.12516940897246961  0.9752610834056492  -10.354233007048208  -0.0  -0.0  -0.0  1.0
1807261650371;3.1812712757927435;1.1226136898689074;-0.7607318221718742  -0.48851431254860644  0.4273650209951946  8.122622835122222  0.17328739300732604  -0.7873922133718222  -0.5915952854326565  -4.201008789076632  0.625506653969233  -0.3759883891246951  0.683647684910606  -3.038390694248928  -0.0  0.0  -0.0  1.0
1807261650402;12.640830633455;7.445277554204041;1.0  -0.0  0.0  -3.7414842003678146  -0.0  1.0  -0.0  -2.5430017581269975  0.0  -0.0  1.0  -4.385894862143459  -0.0  0.0  -0.0  1.0
1807261650433;17.72602606662104;17.72602606662104;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
1807261650464;13.516242316124647;13.109450549327521;1.0  -0.0  0.0  4.6433740213617085  -0.0  1.0  -0.0  -8.11597515693209  0.0  -0.0  1.0  17.664922120996863  -0.0  0.0  -0.0  1.0
1807261650495;7.578236265964046;7.002964483135492;0.07722605725900626  -0.33163719991205953  -0.9402408753690278  12.18209856672746  0.9768025748891025  -0.16375587063814379  0.13798820428414602  -12.564125773735238  -0.19973198484531351  -0.9290859930415667  0.3112978505607118  -3.671937091550981  -0.0  0.0  -0.0  1.0
1807261650526;15.116037694080763;13.051777764708854;1.0  0.0  0.0  3.1444333523570833  0.0  1.0  0.0  -1.9380795519398721  0.0  0.0  1.0  10.852388268446322  0.0  0.0  0.0  1.0
1807261650557;24.456095870239103;8.44369095014368;1.0  0.0  0.0  -2.030341003179026  0.0  1.0  0.0  -4.5779175327756505  0.0  0.0  1.0  -5.215117179200163  0.0  0.0  0.0  1.0
1807261650588;6.853314294203077;10.9241166923583;1.0  -0.0  0.0  1.0201020970116912  -0.0  1.0  -0.0  -5.544042070297731  0.0  -0.0  1.0  12.082891260785118  -0.0  0.0  -0.0  1.0
1807261650619;35.588647047747834;15.195142933024902;0.860162250058152  0.47447319045101133  0.18707243281182173  1.7967451131075933  -0.4431658984558331  0.8768644678173425  -0.18631342282627603  2.9379212821642318  -0.2524378933930631  0.07735565023091462  0.9645160513732373  -10.704035943696715  0.0  0.0  0.0  1.0
