# registration_from_features.py RANSAC RANSAC_config.json l2 True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/neural_comparison/point_clouds_registration_benchmark//eth/wood_summer_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//eth/wood_summer/ --input_features_dir=/neural_comparison/experiments/FCGF/kitti_notnormalized_20cm_32/eth/wood_summer/ --output_dir=/root/neural_registration_comparison/results/FCGF/kitti_notnormalized_20cm_32/RANSAC
id;initial_error;final_error;transformation
2318808360030;4.969564550018172;2.0373066079721336;0.22486949655128444  0.37137907788203506  0.9008392143064496  -8.850354698200585  -0.9628783376720594  -0.056991116089855076  0.2638509418757554  10.610352194723506  0.14932855173295712  -0.9267305936453821  0.3447773055742149  4.942973097271575  0.0  0.0  0.0  1.0
2318808360061;1.6724101210514537;2.8719535156871254;0.569575159055773  0.6453241392233036  0.5090588311013704  2.7414667892270836  -0.8219363540869321  0.4488308292572011  0.35067294811344474  4.546788331062775  -0.002183578913723061  -0.6181485598494881  0.7860582611607947  -0.7577024424611079  0.0  0.0  0.0  1.0
2318808360092;1.584883217651029;4.766199801986402;0.9619886598609241  -0.24217429288473363  0.12621184637253063  1.5777623361666935  0.27241259348479463  0.8834901358476255  -0.3810991455918428  0.4871839473227504  -0.019214505194565912  0.40099475274088525  0.9158788189844794  -12.510429790581231  0.0  0.0  0.0  1.0
2318808360123;2.8011658140671436;2.8011658140671436;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
2318808360154;5.158117208596515;5.158117208596515;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
2318808360185;2.9373278081057164;3.9726238496311828;0.9928086728103817  0.08857524685378858  -0.08053176290928848  4.941290799617676  -0.0962273164997762  0.990650006002251  -0.09671023300040105  -3.200878369858428  0.07121265864816034  0.10376411351006834  0.9920492759917372  -2.2906802147916743  0.0  0.0  0.0  1.0
2318808360216;2.8192109211834575;3.5901412254175993;0.7789457517565099  -0.045832758673749766  -0.6254141620181296  -4.9087081120643585  0.1920093260641154  0.9668561312214449  0.16829034501095103  4.451527060093103  0.5969723063299417  -0.2511744010679723  0.7619287930792845  -2.6125177606107703  0.0  0.0  0.0  1.0
2318808360247;5.338906233558544;1.5284823421365272;0.6698725883265837  0.35489150260370117  -0.6521677213634014  7.072874462729285  -0.018058908846498384  0.8858966126539305  0.4635310857963748  -3.9240216592233237  0.7422564187798707  -0.2987293307795197  0.5998468102041586  3.402131769727257  0.0  0.0  0.0  1.0
2318808360278;3.9358878406157967;4.604320622698972;0.9518376360708314  0.23830891949389738  -0.19290923629713422  -2.738311487396915  -0.1694382361851414  0.9332267914827468  0.3168255667986505  6.686668422391362  0.2555304261287895  -0.26888029780641964  0.928659026109137  -7.4082116839732794  0.0  0.0  0.0  1.0
2318808360309;2.1234453820707166;2.596025668269139;0.1272633571683472  -0.9862607673588704  0.10532680898486105  2.913077244307911  -0.9657236512238813  -0.14742893443138766  -0.21364114481822244  3.1901842758671224  0.22623409864354405  -0.07452790122576428  -0.9712176504521663  5.20130771870563  0.0  0.0  0.0  1.0
2318808360340;2.3866042493559383;2.60450012124854;0.545162670219999  0.6082194803541449  -0.5769460344922508  -0.7232333911275006  -0.6996662518886969  0.7092104925048471  0.08653099611730733  11.055982741486686  0.46180601876396327  0.35649620059513254  0.8121857299870588  -0.19009640145682205  0.0  0.0  0.0  1.0
2318808360371;4.044074629937958;3.8336523136346767;0.20292917423718704  0.9783501171260155  -0.04063002046425427  5.075127233062873  -0.9361174887824999  0.20600657269264472  0.28503568057872464  4.671891786902416  0.2872347427435618  -0.01980758256179599  0.9576553984780215  -0.5357286625725655  0.0  0.0  0.0  1.0
2318808360402;4.2662430875772905;7.559365834882102;0.5718795655800499  0.5721085431207925  0.5879163013220321  -10.515154847923046  -0.6915538586071215  0.7217172674498559  -0.029621723621623963  12.804786144885533  -0.44125618762525676  -0.3896357282808113  0.808379227918127  -6.62328846549456  0.0  0.0  0.0  1.0
2318808360433;3.0557917853126377;4.266081251418571;0.9461213325257781  -0.2692590312101131  -0.17987217197620453  1.4247023722996275  0.21110550456350338  0.9341039834133777  -0.28789618634891373  -1.3036415924072489  0.24553796057358357  0.23441271783555426  0.9406177691465932  -14.174549639863384  0.0  0.0  0.0  1.0
2318808360464;1.0653308809730693;1.0653308809730693;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
2318808360495;1.7172042102086578;2.7682714602194545;0.48302723276840204  -0.8311221991101824  -0.27553689870932796  11.481734332126953  0.8482940454894927  0.5221685008000418  -0.08796174827337078  -6.0339827837234115  0.21698365097668282  -0.19124839062980742  0.9572576185595694  0.21933048594502824  0.0  0.0  0.0  1.0
2318808360526;3.6807220373796983;2.152819027286902;0.995206002325222  -0.06014347343872046  0.07712182271300244  -0.011685228101965595  0.05485551560909164  0.9961112677041029  0.06894356213734104  -3.274078417712868  -0.0809684218884777  -0.06438248951112929  0.9946351138489121  2.1213363241859122  0.0  0.0  0.0  1.0
2318808360557;2.560279020018075;5.9038992287344145;0.9881756766620265  -0.03733813750191378  0.14871010571388132  5.196773307683423  0.06067294191264208  0.9859523175220251  -0.15561754943647432  2.1611148943983642  -0.1408106039089756  0.16280015682067545  0.9765595131715998  -10.147256185955165  0.0  0.0  0.0  1.0
2318808360588;3.9226564362176193;1.684166407068704;0.757929755389551  0.5532652036089553  0.345601071136473  -2.600541274307247  -0.5217100044226948  0.8321470532930314  -0.1880158317296649  1.5167193146178608  -0.39161353038475155  -0.037800742998869596  0.9193530043722739  10.875938618851048  0.0  0.0  0.0  1.0
2318808360619;3.5577362196516864;3.9431463838469107;0.871829742374705  -0.07725789475903894  -0.4836777005488864  13.881908415648084  -0.024066341078847475  0.9795328391412825  -0.1998405070822649  -4.6463590549684035  0.48921744811273193  0.18586725031920334  0.8521265479498021  -0.34673961806844567  0.0  0.0  0.0  1.0
2318808360650;2.026557361496415;2.6091899135775343;-0.09293802765689754  0.8693853524920705  0.4853160123955156  1.6850404973888473  -0.8849108756814652  -0.29554786647422476  0.3599780558911846  22.017241770495147  0.4563937610396407  -0.3960057669968613  0.7967961893667157  1.1622689167880824  0.0  0.0  0.0  1.0
