# registration_from_features.py RANSAC RANSAC_config.json l2 True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/neural_comparison/point_clouds_registration_benchmark//eth/gazebo_winter_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//eth/gazebo_winter/ --input_features_dir=/neural_comparison/experiments/FCGF/kitti_notnormalized_20cm_32/eth/gazebo_winter/ --output_dir=/root/neural_registration_comparison/results/FCGF/kitti_notnormalized_20cm_32/RANSAC
id;initial_error;final_error;transformation
38591597440030;3.9584549028563556;3.9584549028563556;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
38591597440061;2.893302858668122;2.893302858668122;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
38591597440092;2.596560926939177;5.421841981047537;0.8724765854021372  -0.004855570300621728  0.4886317952836078  -9.890965196320913  0.08173317788472634  0.9873140042950519  -0.1361276774051965  5.021431379864829  -0.48177203691983783  0.15870564060525796  0.8618052123781711  4.203394154565736  0.0  0.0  0.0  1.0
38591597440123;2.5491129024057546;6.721924128813964;0.7740083302570827  0.2428913185311165  0.5847349075220829  7.198428066939182  0.021071224239849917  0.9131034370833877  -0.40718314883543216  -1.2917055630988918  -0.6328247057453411  0.32748422949619965  0.7016316492502345  -2.434439303504165  0.0  0.0  0.0  1.0
38591597440154;2.8903184466470044;2.8903184466470044;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
38591597440185;5.076548343189817;5.0879698616708655;0.9347378004255219  0.12872062093296555  -0.3312042363894039  1.4363829672257689  0.35184997711898625  -0.46556446690918385  0.8120660815185771  -0.19650290813195248  -0.04966727350102451  -0.8756030658341704  -0.480471053284977  -8.327267801961177  0.0  0.0  0.0  1.0
38591597440216;1.6762692747156474;4.303398053061722;0.6315780388783124  -0.5038151196242691  0.5893042559193078  -4.71266430260617  0.19544510747563343  0.8389985737035972  0.5078214285427198  -2.7513701440409215  -0.7502735439627753  -0.20555222830539632  0.6283612740042335  1.7183956432570966  0.0  0.0  0.0  1.0
38591597440247;4.93981129019194;2.2093105579871004;-0.6984524030133379  0.3203129221533223  -0.6399717748670586  12.364959514062354  0.1533173187189061  -0.8065102709582501  -0.5709947308160516  -4.142732084795599  -0.6990408003155029  -0.4969313984248219  0.5141995184301633  -7.861977901895649  0.0  0.0  0.0  1.0
38591597440278;3.836455877765292;3.5560124149177352;-0.5441169181879114  -0.14123058373818753  -0.8270373036076797  -1.2625405784004564  0.7588701008385239  -0.5032655754920023  -0.4133278729749944  -0.12988991362971736  -0.35784486777795066  -0.8525125704302992  0.3810109812896556  7.116174545713931  0.0  0.0  0.0  1.0
38591597440309;3.8455601514228666;4.014411441724563;0.20176598994244865  0.31866666220213435  0.926143640966937  -3.2345056613870806  0.8838959705217194  0.34810057006534606  -0.31233620734018175  6.002617607078134  -0.42192226606095534  0.881633456443851  -0.2114333225413071  -3.6116132181663976  0.0  0.0  0.0  1.0
38591597440340;3.1249643016133017;4.365304650999918;0.9658693071807625  0.12982577868835599  0.22414671229825273  4.522815736709844  0.051253362405565384  -0.9440089416996986  0.3259144225607987  0.8332112362149346  0.25390859435686197  -0.30330246484157863  -0.918443270176632  -3.3830468859546703  0.0  0.0  0.0  1.0
38591597440371;1.9082676334258446;7.377035419798116;0.9733643296723127  0.009848257657684142  0.2290521633660713  -11.673388686241871  -0.03421550844460938  0.9941282181019065  0.1026566361975919  3.288253566884193  -0.22669623001595465  -0.10775944410879128  0.9679859097641438  -1.2603581298436066  0.0  0.0  0.0  1.0
38591597440402;1.653095540299216;5.314691916350657;0.9878385951722324  0.14169913012516483  -0.06400208129367008  4.604064798147656  -0.07899637794151712  0.8119461619005148  0.5783623452880935  -5.983033092205446  0.13391968548451327  -0.5662727140669896  0.8132654739646427  1.0010911295987235  0.0  0.0  0.0  1.0
38591597440433;5.513897604577699;5.513897604577699;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
38591597440464;2.6229936829188185;6.960333000766215;0.9216756295225627  0.04509199808692462  -0.3853319940683828  4.051135319883228  -0.04968636098627026  0.9987629302734479  -0.001968411424953694  9.031625998317823  0.3847665519196406  0.02095998139609462  0.9227759097981187  13.262703127220648  0.0  0.0  0.0  1.0
38591597440495;7.040304842930483;8.824539697962429;-0.48572645009633314  0.7547137588986649  -0.44099541698963496  8.25734685810674  -0.7762749055633498  -0.6043627593453159  -0.17928448373779535  6.552205985752698  -0.4018296737044522  0.2552504598341859  0.8794203295836469  -1.744208073134787  0.0  0.0  0.0  1.0
