# registration_from_features.py TEASER TEASER_config.json l2 True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/neural_comparison/point_clouds_registration_benchmark//kaist/urban05_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//kaist/urban05/ --input_features_dir=/neural_comparison/experiments/FCGF/all_kitti//kaist/urban05/ --output_dir=/root/neural_registration_comparison/results/FCGF/all_kitti/TEASER
id;initial_error;final_error;transformation
34562489690030;3.026378295279987;8.32293079574136;0.9969065105260635  -0.07855478882134823  0.002560160928802657  634173.8125862803  -0.03277444914111389  -0.3858794435120236  0.9219668597939669  11172909.202351283  -0.07143699849688886  -0.91919867288203  -0.3872603194463268  7445765.007297983  0.0  0.0  0.0  1.0
34562489690061;2.3389289960652655;5.587148747216901;0.8105740538130148  -0.30181221120325497  -0.5018755746733823  2561430.7958537987  0.2335292366656858  0.9524699104869798  -0.19561483900580293  218422.23128363347  0.5370603307892684  0.041357693184286476  0.8425293717770295  -709997.8290459608  0.0  0.0  0.0  1.0
34562489690092;2.8315574878443655;5.7275377743525;0.03035585169505267  0.5621012141959967  0.8265111900435798  -3841298.94097185  -0.5720450303908313  -0.6683134056332076  0.47552252844223525  13824441.860180942  0.8196602988269108  -0.48723651017789055  0.30125998353025496  3344342.528483168  0.0  0.0  0.0  1.0
34562489690123;1.8101091339027975;0.27630487672875803;-0.24448993856844528  -0.967013058925789  0.07148715832782246  8654455.094836378  0.9696221866572364  -0.24439360633646567  0.01022645216566239  9330752.768186716  0.007581891639807055  0.07181579943749117  0.9973890945214494  -583140.6444398754  0.0  0.0  0.0  1.0
34562489690154;2.62470578061902;2.130780011678745;0.828675870574197  -0.557870980084397  0.04556611798004896  4608786.115434624  0.2520120200924524  0.2991748800815595  -0.9203175174129341  5461707.411473968  0.49978619754552916  0.7741281293867699  0.38850919684754237  -6579398.352054967  0.0  0.0  0.0  1.0
34562489690185;5.512606798611554;8.348366906589051;0.06522950515527877  -0.7721592863556839  0.6320721067662138  6869158.012494762  0.8189492640266651  -0.32048896282358214  -0.476034586619973  10048932.165610706  0.5701466606123214  0.5486864871699928  0.6114539428196313  -4815077.082603507  0.0  0.0  0.0  1.0
34562489690216;1.5460191220852306;4.491103088519445;0.40427199103465705  -0.889498376036999  -0.21297135087240093  7575094.189782437  -0.8339389829198762  -0.2628393959068139  -0.4852434695345256  10746247.622173307  0.37564601692475913  0.37377545530289014  -0.8480459769267705  -3270840.24932394  0.0  0.0  0.0  1.0
34562489690247;5.3501947700473025;9.776226893392295;-0.42486166569045947  0.9032218682711675  0.06068625629802767  -6266002.436037439  -0.8729693097385841  -0.4265305365703118  0.23663534314971185  12090663.186436664  0.23961875819991252  0.047560046780712004  0.9697014451205835  -550983.1285414016  0.0  0.0  0.0  1.0
34562489690278;1.7336325432466153;2.4858656117221734;0.8797270667793895  0.41340672638866244  -0.23489394745786996  -3241546.5938752405  -0.12678520694368547  -0.2721755501058354  -0.9538584702275449  10324453.220216546  -0.45826389698074393  0.8689161918742189  -0.1870263409865753  -6668802.285533695  0.0  0.0  0.0  1.0
34562489690309;1.8806280573322476;7.673473745134032;0.9287648693424422  0.369359124385363  0.031139279191956193  -2921753.7602554443  -0.3624898139363098  0.9226099701349542  -0.13187864800641194  877303.4567932643  -0.07743999139808852  0.11119658376433006  0.990776648640554  -840230.4986968777  0.0  0.0  0.0  1.0
