# registration_from_features.py TEASER TEASER_config.json euclidean True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/SSD/point_clouds_registration_benchmark//eth/hauptgebaude_global.txt --input_pcd_dir=/SSD/point_clouds_registration_benchmark//eth/hauptgebaude/ --input_features_dir=/SSD/features/FCGF/voxel_01/all_kitti/eth/hauptgebaude/ --output_dir=/root/neural_registration_comparison/results/FCGF/kitti_notnormalized_20cm_32/voxel_01/TEASER_mutual_on
id;initial_error;final_error;transformation
3394309160030;3.936759879304484;6.829991113211564;0.45568185986273957  0.8900624738260049  -0.011951371417850305  -12.170556562401334  -6.029554471259635e-05  0.013457218013620542  0.9999094457238529  5.7653980085891385  0.8901427070736929  -0.45563987530731626  0.006185876934712731  -16.922722258978446  0.0  0.0  0.0  1.0
3394309160061;3.7772892530728184;2.849173333578098;0.853228245831696  0.5107071468807486  -0.10573443450405767  -3.90399629153318  -0.487057400063551  0.7077799917805887  -0.5116860094612747  6.644692122621341  -0.18648498480655615  0.4880836950359998  0.8526415759753353  -0.845915273810844  0.0  0.0  0.0  1.0
3394309160092;3.061336083217481;4.010745416708444;0.9782368580815632  0.17120283771016287  0.11722729140732926  -7.755630103441447  -0.12209056798740103  0.9317543927200513  -0.3419468450730347  8.30689844804496  -0.16776931393799344  0.3201926607636032  0.9323787413352476  4.630356483028291  0.0  0.0  0.0  1.0
3394309160123;1.9832381539954238;8.709915228171612;-0.1556941504058275  -0.14618678953831643  0.9769282236141448  1.2995316258896754  -0.7181703884466608  0.6957904983046508  -0.010338066905305032  7.256604899057738  -0.6782260867054439  -0.7032104983811367  -0.21331753392249259  6.179421726169511  0.0  0.0  0.0  1.0
3394309160154;1.9207102010338835;2.6767654158366243;0.19264371877120384  0.7199252153913939  0.6667803850306757  2.9552290971784085  -0.9691927604841835  0.2458736217778308  0.014544935163154998  5.439086034514599  -0.15347244261772056  -0.6490407124037036  0.7451123156943813  -3.8788461482483165  0.0  0.0  0.0  1.0
3394309160185;2.640555800877831;2.698622138231606;-0.32527735539840785  -0.9383415788720318  -0.11708852815268272  25.68244070496793  -0.6042186826852325  0.11099362146694691  0.7890501881932322  11.721804670706229  -0.7274025196266103  0.32740723473007705  -0.6030672243517  7.72153340739261  0.0  0.0  0.0  1.0
3394309160216;2.7201455624554285;3.7170413677939576;-0.6816647257992268  -0.5972003099721499  -0.4227114753235758  24.6892331654304  0.7146895201838405  -0.6672075345101008  -0.2098880550015776  1.5153538164826605  -0.15669106975337616  -0.445180744936393  0.8816246440506422  -8.250342839023437  0.0  0.0  0.0  1.0
3394309160247;2.5310221937667676;3.0842181223439105;0.9491325438167073  -0.29731062068871894  0.10370057422076023  1.9502647687667902  0.3082055561952219  0.8097617748092877  -0.49929470574812496  2.324566722848614  0.06447285784282158  0.5058579473364044  0.8602040384223841  -3.86524575671473  0.0  0.0  0.0  1.0
3394309160278;1.96744994252244;2.2100416465550374;0.6706855064394576  0.7374510222027029  0.0796676929767447  5.545154625413126  -0.7137378744894287  0.6123968528858841  0.3399240225326487  11.492759186372433  0.20188907343231904  -0.28484396505394516  0.9370724185467134  -6.626522615418436  0.0  0.0  0.0  1.0
3394309160309;1.4697744642858348;2.0802935101986746;0.19055095984257836  -0.7953972184321577  -0.5753551916976669  9.880879861826351  -0.8326410466165018  0.17950383165300454  -0.5239153194088397  13.505608330407373  0.5199992492229665  0.5788969159809689  -0.6280757450143053  -5.228623162030651  0.0  0.0  0.0  1.0
3394309160340;3.1108095863624285;7.917159047697602;0.9203776582613793  -0.3772746863802554  -0.10280455821596285  -4.203515570000948  0.39023478009203966  0.9029578469643541  0.17995539172810693  -4.18695544612968  0.024935568568149782  -0.2057448361980899  0.9782879329716804  -21.35245291054539  0.0  0.0  0.0  1.0
3394309160371;4.078910422747308;2.301015791882869;0.8020233192336421  0.5940559001437669  -0.06209817154980504  1.5974990523259682  -0.518088816706383  0.6401656088068373  -0.5672494788933267  5.387319705586145  -0.29722478599408547  0.4871196781134486  0.8212014647974148  -3.1593216763753094  0.0  0.0  0.0  1.0
3394309160402;3.021814741136945;1.168142120678864;0.6079369388820246  -0.7278046541821779  -0.3173532159810468  7.6337634040936715  0.793633886834026  0.5451264925677144  0.2701524768895106  -16.68106525117085  -0.023620584486196673  -0.41609793612992224  0.9090129677496076  -6.653930944786264  0.0  0.0  0.0  1.0
3394309160433;1.3594709122664788;7.27986568244178;-0.5307135557779539  -0.3150734553436634  -0.786811184116828  30.994942326877528  0.5427241312558465  0.5867094436398539  -0.6010179249376849  -23.486506982574262  0.650994346416394  -0.7459897763921551  -0.14037668770944425  -2.876779345801074  0.0  0.0  0.0  1.0
