# registration_from_features.py TEASER TEASER_config.json euclidean True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/SSD/point_clouds_registration_benchmark//eth/wood_autumn_global.txt --input_pcd_dir=/SSD/point_clouds_registration_benchmark//eth/wood_autumn/ --input_features_dir=/SSD/features/FCGF/voxel_01/all_kitti/eth/wood_autumn/ --output_dir=/root/neural_registration_comparison/results/FCGF/kitti_notnormalized_20cm_32/voxel_01/TEASER_mutual_on
id;initial_error;final_error;transformation
26875431820030;2.0535532931381004;1.264488233043262;-0.10535883635404097  -0.8232750316941202  -0.5577792912892781  6.333656039379971  0.8724590308498335  -0.34568304024931196  0.3454250644822445  -1.9034445093084351  -0.47719467211054706  -0.4502459970649814  0.7546944991427116  4.926457136756859  0.0  0.0  0.0  1.0
26875431820061;1.6463845109934325;8.998265459914798;0.3570962764957505  -0.03783361863823942  -0.9333010589373657  -9.166970914578602  0.18032854584817587  0.9831746542381816  0.029141290567068708  3.860700805533842  0.9164954254469326  -0.1787070691505186  0.35791048960665955  9.552412664863594  0.0  0.0  0.0  1.0
26875431820092;3.1454983955145077;3.9823759203896762;0.9122189749178042  -0.4040626876515747  0.0677486992325056  -7.255266663875608  0.3830288551918776  0.8997782267198228  0.20901683858323708  -6.16616391471247  -0.1454147100203762  -0.1647194195251953  0.975562440308652  5.691973277674616  0.0  0.0  0.0  1.0
26875431820123;5.022952331012622;9.485035767169538;-0.8616561396594017  0.43510151560110844  0.2612190041112561  -5.505825672598454  0.06437883215886697  0.6042811926661397  -0.7941659814924391  -3.322676877794552  -0.5033925535376129  -0.66748101943921  -0.5486939271864371  -8.158581974393929  0.0  0.0  0.0  1.0
26875431820154;4.9039779898946945;2.4077648569007195;0.962794514172021  0.05353888691958422  0.2648779172895938  -13.388777288954287  -0.09630594016017532  0.9837996367933972  0.1512066153812201  1.179448343448768  -0.25249136494170554  -0.17109021664780066  0.9523530061890295  3.64146810708907  0.0  0.0  0.0  1.0
26875431820185;2.518490360471434;4.450085734682717;0.9635290507722949  0.029729061429610126  -0.2659472715113955  -5.7998871994030505  -0.0319005059969959  0.9994836421592963  -0.003847957006595744  1.1600765422514674  0.26569555140230916  0.012191470891711798  0.9639798970946025  -11.701264937303181  0.0  0.0  0.0  1.0
26875431820216;3.040176925026691;2.666599434416286;0.8925880847107898  0.22117700097047135  0.39289597258566133  -4.368383135634879  -0.45072266132860433  0.46022095263328167  0.7648828389512836  5.305903635803253  -0.011644466376127899  -0.859812426636777  0.5104772251568063  0.7618836360984812  0.0  0.0  0.0  1.0
26875431820247;4.293952946805166;5.398091497129045;0.9959929397469677  0.08803487527930234  -0.015745625067046375  -2.5106431978161607  -0.08931612843159625  0.9702098584584132  -0.22520093195210644  -6.822427065504726  -0.004548975289547785  0.2257048765194592  0.9741851033243898  -9.992880661783378  0.0  0.0  0.0  1.0
26875431820278;1.9928622542605958;3.2604581182634758;0.8759771616938129  -0.30438193133706026  0.37418665404630946  5.597498817955796  0.34561092149507855  0.9372149354360209  -0.04670391567072061  -5.29747156185251  -0.33647749276017536  0.1702345578053302  0.9261765988161494  -0.006882434410380215  0.0  0.0  0.0  1.0
26875431820309;3.3178555720271428;6.197652232378703;0.18425431835231343  0.8942701020216581  -0.4078373827871816  -11.024969996811198  -0.29397759399383616  -0.34580474366842023  -0.8910646741320264  13.733165194866842  -0.937884598657063  0.28407756667254114  0.1991793556453281  -8.827992839679998  0.0  0.0  0.0  1.0
