# ransac_benchmark.py --distance_metric=euclidean --max_correspondence_distance=0.30000000000000004 --estimation_method=TransformationEstimationPointToPoint --ransac_n=3 --ransac_confidence=0.999 --ransac_max_iteration=100000 --input_txt=/neural_comparison/point_clouds_registration_benchmark//eth/gazebo_summer_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//eth/gazebo_summer/ --input_features_dir=/neural_comparison/experiments/FCGF/features//eth/gazebo_summer/ --output_dir=/root/neural_registration_comparison/results/FCGF/
id;initial_error;final_error;transformation
36535719080030;2.8719654907800902;3.691748222810416;-0.058855148263198195  -0.6107977217521341  0.7895962351894296  6.966646321576231  0.5086214894180782  0.6622542135190488  0.5502031780882431  -8.472233533540653  -0.8589762814100596  0.43398790280222077  0.27168777704614777  -0.9936587897179412  0.0  0.0  0.0  1.0
36535719080061;2.8185456084080336;6.132542517818501;-0.18543422175062346  0.03186417151902421  -0.9821399207735858  -0.14789022302520183  0.8566783974424629  -0.48436532463445015  -0.1774608566619032  7.978405693837428  -0.4813691647365393  -0.8742853692388826  0.06252055962382777  2.68239612064038  0.0  0.0  0.0  1.0
36535719080092;1.9001870719663094;5.651306722358087;-0.2843397327189755  0.6368812977375625  0.7166122584699619  -3.7370842166005627  0.9437555338892685  0.31750314049598394  0.09228893773670607  -14.799902161618125  -0.16874954414955828  0.7025481964728864  -0.6913390072764666  10.788162231501232  0.0  0.0  0.0  1.0
36535719080123;2.152334886682317;2.820011842604725;-0.4608268857999195  0.5065181715463813  -0.7287509335961493  1.1258150350040732  0.568197804382544  -0.4623979097700953  -0.6806904054965838  4.539678249734743  -0.6817549680191592  -0.727755120169936  -0.0747171241927696  0.8754202069180348  0.0  0.0  0.0  1.0
36535719080154;3.7084111945439853;4.2616219672052535;0.747856228846361  0.014507250831809815  0.6637021927408421  4.054298491743543  0.11172563801018048  0.9827505316908522  -0.14737290888275495  -4.847012180182784  -0.654391658555423  0.18436629880390204  0.7333352746721195  -11.81059850355017  0.0  0.0  0.0  1.0
36535719080185;2.3222284832250804;2.5719057301588197;0.9370595255992177  0.2898405302568565  -0.19470981614750382  2.8954903801641634  0.3453344040360824  -0.8517185516640555  0.39410615085320533  -8.605591197910574  -0.05161002686314445  -0.43654092107351194  -0.898202888748125  1.708962089617304  0.0  0.0  0.0  1.0
36535719080216;4.7404660091141455;7.590522611360032;0.6853300210300546  -0.3399559897504874  0.6440129558539267  0.031803832182393243  0.681245712526177  0.6118015256628401  -0.40199897059734285  -2.3182625884465677  -0.2573461510099705  0.7142330279603348  0.6508795129138465  -14.241844888466105  0.0  0.0  0.0  1.0
36535719080247;2.9917173628249674;2.064374262905031;0.20195054006595997  0.7503764440002252  -0.6294054112069936  1.4114912668249016  -0.6045326285297731  0.6011182520210138  0.5226826457135195  0.4928555388113308  0.7705558256284555  0.2749400650628768  0.5750231997174295  -0.13130254673490827  0.0  0.0  0.0  1.0
36535719080278;1.8936058971638152;4.644434701821766;0.8170254311463581  -0.26222938175759125  -0.5135223424575979  8.231525494700701  0.5765964392471851  0.3753476103582135  0.7257070467108921  -9.273708684124678  0.0024476739108869813  -0.8890162668598418  0.4578690709700928  -2.674449745868011  0.0  0.0  0.0  1.0
36535719080309;2.0474131250721026;2.616984652937793;-0.6453800381538042  0.5861994703310458  0.48974971907719966  -3.2654777457774316  -0.04359544984451722  0.6118381823955158  -0.7897806501274932  -1.160406079350491  -0.7626165767313537  -0.5310595254268142  -0.3693125198906724  2.3595498989557777  0.0  0.0  0.0  1.0
36535719080340;2.643359974182583;3.5993781942081733;0.09107059443465293  -0.7901288280384343  -0.606137428255284  7.859989101676183  0.9066234457872926  0.3175982040525527  -0.2777864437501757  0.0012756668350397682  0.4119952358682018  -0.5242402272672366  0.7452731779265243  -4.053143445758971  0.0  0.0  0.0  1.0
36535719080371;4.184735305781556;4.40584523946906;-0.22484831477667228  -0.9369741752373384  -0.26743715201968465  5.252742699900905  0.44936193392732227  -0.34324740732178155  0.8247757693482346  -6.42584954975918  -0.8645907052930808  0.06527336597100292  0.49821912851237293  -6.386144203062075  0.0  0.0  0.0  1.0
36535719080402;2.5739270336253104;2.970084554984612;0.171046963618735  0.26649681232689504  -0.9485369709486374  8.428604350787134  -0.9550867173536491  -0.19159227361535305  -0.22605699065839727  8.859522288086076  -0.2419758222869428  0.9446014237288147  0.22175628901578925  0.3354643389578429  0.0  0.0  0.0  1.0
36535719080433;2.734748311517099;2.1930872822814402;-0.14391407900211645  -0.8562786940638232  0.49606001245547576  6.059188213875972  0.8474679891376439  -0.36547340934474987  -0.38500284992311895  -8.55063282991345  0.5109664815347201  0.36498765068736094  0.778265552105289  0.44608277327478163  0.0  0.0  0.0  1.0
36535719080464;3.7323423107611307;2.1214001629907164;-0.5239245125070957  0.42653615706031295  -0.7372720067345715  1.7742113261983752  0.8517024361311621  0.27281111098331734  -0.44741150858275003  1.3490708136013172  0.010298809758715333  -0.862346220751427  -0.5062143123947461  0.7522646641102358  0.0  0.0  0.0  1.0
