# teaser_benchmark.py --distance_metric=euclidean --noise_bound=0.2 --cbar2=1 --estimate_scaling=False --rotation_estimation_algorithm=GNC_TLS --rotation_gnc_factor=1.4 --rotation_max_iterations=100 --rotation_cost_threshold=1e-12 --rotation_tim_graph=CHAIN --inlier_selection_mode=PMC_EXACT --kcore_heuristic_threshold=0.5 --input_txt=/neural_comparison/point_clouds_registration_benchmark//kaist/urban05_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//kaist/urban05/ --input_features_dir=/neural_comparison/experiments/FCGF/features//kaist/urban05/ --output_dir=/root/neural_registration_comparison/results/FCGF/teaser/
id;initial_error;final_error;transformation
34562489690030;3.026378295279987;1443015.894839205;0.966979942149401  0.10692783050830043  -0.23133575284319804  -1992696.2940638254  0.2544254716591955  -0.4575585315460953  0.852002270877476  14177174.28511679  -0.014746892951970347  -0.882726814633026  -0.46965508607497697  12451758.332490083  0.0  0.0  0.0  1.0
34562489690061;2.3389289960652655;54979.32099089059;0.14408278247161838  0.6080315379386653  0.7807290187172363  -4043949.3335596407  -0.780009161166483  -0.415724845916503  0.46771632533412866  11745765.528849892  0.6089547276206967  -0.6763656565495044  0.41437137732807006  4766169.680482059  0.0  0.0  0.0  1.0
34562489690092;2.8315574878443655;181480.63066296154;0.5268035718669408  -0.8359094899187882  0.1540562278258967  7839947.489577784  0.07724283585781894  -0.13341488541765123  -0.9880455519143019  9190253.255452855  0.8464700473004791  0.5324056658345273  -0.005715418656447424  -5478444.204677317  0.0  0.0  0.0  1.0
34562489690123;1.8101091339027975;159899.27808446344;-0.1997782317635508  0.9484668012618216  -0.24596622739229343  -8166808.913052339  0.964998912173816  0.23397879565448787  0.11845261790027048  5013922.527582422  0.169899257257885  -0.21369288731318098  -0.9620133015166552  1894735.5761764965  0.0  0.0  0.0  1.0
34562489690154;2.62470578061902;344048.0206293583;0.9895223471539822  -0.044040384084388075  0.13749897836920114  249444.78982484023  0.14049045772415364  0.07414728331209802  -0.9873016821954137  7121662.891799571  0.0332859695867833  0.9962743723227733  0.07955764753644157  -10686234.760951595  0.0  0.0  0.0  1.0
34562489690185;5.512606798611554;25997123.039808117;-0.3289822681846908  -0.9343700879395562  0.13683276648479376  73492782.58283837  0.937694089663388  -0.3403762478059916  -0.06981263596129775  27582734.869502585  0.11180546243545754  0.10534015707858177  0.988131059058591  -8700810.384434413  0.0  0.0  0.0  1.0
34562489690216;1.5460191220852306;136757.31991140853;0.8257132857398461  0.10700250757152752  0.5538483846018806  -962370.8492010446  -0.5454508185190721  -0.09885634275764082  0.8322925135272204  9407056.752142258  0.14380881172439092  -0.9893320407577978  -0.023262390256153176  9079557.131861608  0.0  0.0  0.0  1.0
34562489690247;5.3501947700473025;3123925.932829693;0.6238062541098504  0.7373838434149331  0.2590961690262116  -12187791.81253383  -0.771402180785783  0.6341910831714284  0.05234830947403671  -1181572.2286087703  -0.12571568244406095  -0.2325225526620433  0.9644318688695189  3963739.023967157  0.0  0.0  0.0  1.0
34562489690278;1.7336325432466153;45650142.28112854;-0.4688492582923688  -0.8832709651533595  0.003574229392344544  225960096.8112611  -0.8811366891999106  0.46742709446907466  -0.07148458786353469  -87132887.69447093  0.06146956925598481  -0.036664880652365374  -0.9974353004492228  7632326.041025451  0.0  0.0  0.0  1.0
34562489690309;1.8806280573322476;13126.368479759623;-0.29634839371441307  -0.9384202590531829  0.17760925353551768  8391786.173886701  0.6552451849289813  -0.3350629630679113  -0.67704250856762  10261509.185880858  0.6948606890379332  -0.08426285171241218  0.7141907270827724  188190.29110384558  0.0  0.0  0.0  1.0
34562489690340;1.342499596526476;219594.98098562373;0.8812770080603595  -0.47226543734682014  -0.01778178145738807  4357475.13993883  0.2541861454222523  0.5053756969959697  -0.8246119137880652  3168232.9741260232  0.39842218630437665  0.7221916377066786  0.5654193133303692  -6998691.560523023  0.0  0.0  0.0  1.0
34562489690371;2.166541248145545;349836.8673449322;-0.1857454606801914  -0.46350910451446353  0.8664051788100668  5467119.176169556  -0.45830370973180035  0.8208306238916496  0.3408735785122033  288693.02271267155  -0.8691699105944555  -0.3337609877050429  -0.3648935044686068  4068969.8643707894  0.0  0.0  0.0  1.0
34562489690402;1.8237522520831808;121306.97118287848;-0.7038455664547373  -0.6479186521970549  -0.2912092696278096  7185457.761147234  -0.6831258033582631  0.7297874238996134  0.02737613384125885  1921432.985607762  0.19478335495657245  0.21820113669071206  -0.956267592559083  -2149231.4054495743  0.0  0.0  0.0  1.0
34562489690433;1.485279001754726;39345.097770297325;0.12058791675330005  0.8520820092876825  0.5093277960030894  -6570458.040463422  -0.919268913838773  0.2895127971240201  -0.2666964648267928  6281520.028738523  -0.3747041744934022  -0.4360488387207236  0.8182042482580536  3952285.4370655497  0.0  0.0  0.0  1.0
34562489690464;3.2048953782106575;3101222796.063777;-0.9222400272999621  0.368098424529079  -0.11822386351737539  -3532272758.60133  0.27985367674269573  0.8465690848032552  0.45277224326251925  -10692259804.729315  0.26674941735523966  0.3844793031030267  -0.8837535933879144  -5009175789.594728  0.0  0.0  0.0  1.0
34562489690495;1.6045786219463427;687760.3379871973;-0.8609381020257666  -0.4530284296727136  -0.23141051486167882  6436694.26697209  0.23613468241293356  -0.7588110716887868  0.6069976682362618  16059585.167093359  -0.45058406123831707  0.46794337199151687  0.7602650882206778  -4653188.288376941  0.0  0.0  0.0  1.0
34562489690526;5.298220209160753;5373.806961927105;0.9069756378934205  -0.3982885838302339  0.136972246306798  3274355.380762081  0.41072355920135767  0.9084005286177858  -0.07819614775611843  435058.87672707316  -0.09328102800029665  0.12717972950684678  0.9874836536458588  -959385.2813879905  0.0  0.0  0.0  1.0
34562489690557;4.725165945981713;16980868.634738404;0.32706733523352505  0.7696536399659526  0.5483249335115088  -41212430.73231808  -0.9300567760129209  0.36494883149665236  0.042505808799265035  -6853382.963078836  -0.16739579330345356  -0.5238755814851344  0.8351844248475419  28275864.215573173  0.0  0.0  0.0  1.0
34562489690588;1.3460500527468555;457442.4329895695;0.24967351844614508  0.5377625049129603  0.8052792202065449  -6348626.721167449  -0.9411163679088972  0.3305300269802226  0.07106253104427648  4916109.668746921  -0.2279541976816568  -0.7756038870288057  0.5886216902095269  10023959.268142676  0.0  0.0  0.0  1.0
34562489690619;1.8205673160604245;123005.92547814974;0.5412073566972213  -0.8348171575810297  0.10087076120034022  7813834.075505598  0.6923120695041112  0.37427680014668535  -0.6169447911206417  4120392.2763693016  0.4772825111773329  0.4037291050695844  0.7805153517029442  -4021776.0785529804  0.0  0.0  0.0  1.0
34562489690650;2.1392684506950816;1255869135.2433388;0.7877148500598233  0.6155372880148748  0.024882967237110754  -3556422706.4274645  0.6141644308758942  -0.7878251972139374  0.04618993918278948  3824566572.757061  0.04803505846899097  -0.021102267605959724  -0.9986227152732744  87995438.88221581  0.0  0.0  0.0  1.0
34562489690681;1.8732202401465774;30987699.491541706;-0.26782473413615004  -0.06687731935711931  0.9611437644496825  13222903.298059242  -0.9334841818978036  0.2649473019079056  -0.2416820418614281  -17416463.615655497  -0.2384894000401035  -0.9619409292505061  -0.13338836044117378  136371712.82294348  0.0  0.0  0.0  1.0
34562489690712;2.5869430889270166;32788772.53674022;0.857390236360559  -0.34136553660353336  -0.3851643194961947  26555689.65668055  0.4247843971914833  0.8919093512831174  0.15509972597137966  -82073212.3624165  0.29058595715597346  -0.29659278398691813  0.9097211231969039  26308655.338044886  0.0  0.0  0.0  1.0
34562489690743;3.8819775247609996;487820.0435593613;-0.30952520752841967  -0.8881971757532614  0.3395584233801592  9815078.159039706  0.9507485317584747  -0.2952606334930411  0.09433126559308774  10158750.114582721  0.016473471510112678  0.3520325770340276  0.9358427696163427  -3519394.2416125494  0.0  0.0  0.0  1.0
34562489690774;1.586561897713293;76214.20458685422;-0.7869562161219399  0.29442857368148645  0.5422284840424041  -1233555.5220285081  -0.5208456423453478  0.15413898205173196  -0.8396195513814081  7113820.276973877  -0.33078653351806764  -0.9431611682061241  0.03205120951163998  8336917.914711329  0.0  0.0  0.0  1.0
34562489690805;1.205521164189387;91508.25604700303;0.33517531133481404  0.660679302651225  0.6716847249416218  -5381156.172635708  0.7802222618352428  -0.5942665869937189  0.19519335470126756  12684825.084663186  0.5281199984930587  0.45863938190165093  -0.7146601881737663  -4450358.126611735  0.0  0.0  0.0  1.0
34562489690836;2.065099418152508;17202276.529124543;0.6027732897752435  -0.5096554712402399  -0.6139345745015665  -100663296.0  -0.6810675458253038  -0.729496958166194  -0.06309664055849272  125342008.79075147  -0.4157058565344348  0.4561638835562928  -0.7868310823688986  67108864.0  0.0  0.0  0.0  1.0
34562489690867;2.727894652051314;54551945.00926363;0.8031111370041834  0.5680749642229865  0.17973129010525882  -225112634.87730846  0.42993792602248854  -0.761355406916333  0.4852744832841988  264147393.5222539  0.41251167424368623  -0.3124560439202892  -0.8556899784561889  97815804.16700888  0.0  0.0  0.0  1.0
