# fmr_benchmark.py --model_path=/home/docker/fmr_benchmark/result/fmr_model_modelnet40.pth --n_iter=10 --input_txt=/benchmark/point_clouds_registration_benchmark/dataset_voxelgrid_0.1/planetary/box_met_global.txt --input_pcd_dir=/benchmark/point_clouds_registration_benchmark/dataset_voxelgrid_0.1/planetary/box_met/ --output_dir=/benchmark/neural_registration_comparison/results/FMR/modelnet40
id;initial_error;final_error;transformation;status_code
7680147070030;2.554865938863428;2.440218762522709;0.6904584  0.076061204  0.71936256  -20.510849  0.72272605  -0.030516654  -0.6904603  47.058315  -0.030564755  0.9966361  -0.076041825  -3.3020346  0.0  0.0  0.0  1.0;ok
7680147070061;2.884056253841748;3.099856548533808;0.8629347  -0.5052948  -0.0045841048  6.7008743  0.5052998  0.8629439  -6.773835e-05  66.76453  0.0039900728  -0.0022578624  0.9999896  13.395276  0.0  0.0  0.0  1.0;ok
7680147070092;3.675053912413971;2.7293823190507767;0.42011207  -0.03919327  0.90662545  -27.847435  -0.58146757  0.7554029  0.30209622  -57.126698  -0.6967076  -0.6540876  0.2945643  -45.27703  0.0  0.0  0.0  1.0;ok
7680147070123;2.067856852231492;2.835920866315222;0.96250534  0.19146964  0.19215347  5.225931  0.07898016  0.47986993  -0.8737775  4.9260178  -0.25951052  0.8561915  0.44675502  -35.02379  0.0  0.0  0.0  1.0;ok
7680147070154;1.3474501272110373;2.4663295294848475;-0.23105472  -0.13379762  0.9636971  -72.62276  0.094310045  0.982755  0.15905514  21.270605  -0.9683592  0.12763669  -0.21445182  -44.1272  0.0  0.0  0.0  1.0;ok
7680147070185;3.790486033318122;3.764275752176642;0.91017157  -0.40524507  0.08581365  -20.059792  0.4022389  0.9141351  0.05060301  61.949593  -0.098951906  -0.011539833  0.99502534  -4.292734  0.0  0.0  0.0  1.0;ok
7680147070216;2.3041091411104304;3.6601339427218926;-0.015606292  0.41409093  0.91010165  -67.29692  -0.9491487  0.28010765  -0.14372312  -40.49971  -0.31444082  -0.86606485  0.38866243  -15.881945  0.0  0.0  0.0  1.0;ok
7680147070247;2.142798748837265;2.144503598592766;0.78840655  -0.20114164  -0.58134085  -32.332634  -0.34300506  0.640744  -0.6868733  -45.88491  0.51064926  0.74093837  0.43617398  43.600796  0.0  0.0  0.0  1.0;ok
7680147070278;2.286516691737078;2.6660950874169433;0.6401902  -0.17466804  -0.7480959  -28.30468  -0.3018789  0.8382722  -0.45405844  -24.874905  0.7064177  0.51651824  0.4839249  33.076656  0.0  0.0  0.0  1.0;ok
7680147070309;3.6067155749596176;3.1188834878112264;0.9889993  0.13156174  -0.06761417  -6.928314  -0.09247051  0.9066661  0.41158926  -8.082729  0.11545291  -0.40080923  0.90885776  5.1635566  0.0  0.0  0.0  1.0;ok
7680147070340;2.7501405267319887;2.7768863538904083;0.8899965  -0.015136465  0.4557162  10.620284  -0.36781132  0.5668557  0.7371493  0.96811867  -0.26948327  -0.823678  0.4989323  30.886993  0.0  0.0  0.0  1.0;ok
7680147070371;2.1013596935378898;3.2293968730037186;0.19731729  -0.7229351  -0.6621414  -26.373075  0.7003399  0.57657623  -0.42081353  24.575333  0.6859957  -0.38069004  0.6200685  27.142925  0.0  0.0  0.0  1.0;ok
7680147070402;3.0638442151369554;3.2460052013726735;0.787906  -0.29026768  0.5430921  1.769928  0.03910025  0.9037378  0.42629713  -2.9106846  -0.614553  -0.31464693  0.72340983  1.8911581  0.0  0.0  0.0  1.0;ok
7680147070433;2.338204212648085;3.2073722316865974;0.7075737  -0.07956148  0.7021462  -18.302517  0.7056508  0.13209867  -0.69613695  14.191015  -0.037366834  0.98803836  0.14961222  1.815937  0.0  0.0  0.0  1.0;ok
7680147070464;3.6360555694529753;3.175236144810904;0.48340896  0.28660068  0.82714933  -34.84841  -0.6259885  0.7736789  0.09777127  -38.237274  -0.6119266  -0.56504935  0.5534119  -10.031269  0.0  0.0  0.0  1.0;ok
7680147070495;2.337523687370593;3.445198489967033;0.9617851  -0.25667784  -0.095320374  -15.445396  0.2653266  0.95966536  0.09297477  43.92538  0.06761103  -0.1147128  0.9910952  7.568052  0.0  0.0  0.0  1.0;ok
7680147070526;2.55788955651364;2.632537161030375;0.19366354  -0.7287746  -0.6567969  -10.764838  0.38317356  0.67248523  -0.63319945  25.968266  0.9031459  -0.12903953  0.40948302  30.763985  0.0  0.0  0.0  1.0;ok
7680147070557;3.5038889783101657;3.125369773467273;0.79708874  -0.0397262  -0.6025539  -29.592216  0.21576576  0.9506994  0.22274649  1.6701927  0.56399864  -0.30755922  0.76636326  83.81485  0.0  0.0  0.0  1.0;ok
7680147070588;3.147636953230689;2.4547678923180505;0.63983005  -0.64178693  0.42276123  -6.43145  -0.23963226  0.35606703  0.9032122  -12.446465  -0.73020136  -0.6792097  0.07402951  -81.79765  0.0  0.0  0.0  1.0;ok
7680147070619;3.6711236036348045;2.9482408536490157;0.7321639  0.65429807  0.18928842  -11.089914  -0.19792886  0.47029048  -0.8600296  -22.274233  -0.65173626  0.592217  0.4738341  19.417433  0.0  0.0  0.0  1.0;ok
7680147070650;2.1858304045031933;3.2919362850653933;0.98076886  0.19423309  -0.019127322  3.5403504  -0.18650354  0.9615776  0.20145693  -19.25957  0.05752199  -0.19401543  0.9793108  7.3574734  0.0  0.0  0.0  1.0;ok
7680147070681;2.3959775350656343;2.9469373412001456;0.9966306  -0.06644941  -0.04808438  -8.731323  0.07818769  0.9468133  0.31214  2.525692  0.024785414  -0.3148478  0.9488185  6.8321557  0.0  0.0  0.0  1.0;ok
7680147070712;2.6768848013924953;3.1644755852897317;0.7825349  -0.13437401  -0.6079331  8.160151  0.13250023  0.9900068  -0.04827045  3.907648  0.6083442  -0.042777997  0.7925195  18.748182  0.0  0.0  0.0  1.0;ok
7680147070743;2.5002405864072283;2.0059167788553287;0.84893847  0.025700869  -0.5278664  -12.855095  -0.028255314  0.9995954  0.0032270588  10.007103  0.52773595  0.012175472  0.84932125  40.931423  0.0  0.0  0.0  1.0;ok
7680147070774;3.137147530947396;2.835614704746692;0.8565344  0.09955067  -0.5063973  8.488831  0.0528395  0.9591472  0.2779292  14.328438  0.5133777  -0.26481378  0.8162825  39.394222  0.0  0.0  0.0  1.0;ok
7680147070805;1.9418904079811896;2.6377631677120785;0.874665  0.2042093  0.43961295  -13.098633  -0.18503143  0.97891116  -0.086581156  -30.664795  -0.4480226  -0.0056127226  0.89400464  -31.992153  0.0  0.0  0.0  1.0;ok
7680147070836;3.327218421444333;2.9752365319531835;0.7681903  -0.09737479  -0.6327732  -22.227001  0.17674103  0.9822125  0.063416205  -18.004553  0.6153423  -0.16055267  0.771736  42.567486  0.0  0.0  0.0  1.0;ok
