# registration_from_features.py TEASER TEASER_config.json euclidean True --input_txt=/neural_comparison/point_clouds_registration_benchmark//kaist/urban05_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//kaist/urban05/ --input_features_dir=/neural_comparison/experiments/FPFH/features_voxelgrid_0.2//kaist/urban05/ --output_dir=/root/neural_registration_comparison/results/FPFH/TEASER_voxelgrid_0.2/
id;initial_error;final_error;transformation
34562489690030;3.026378295279987;4.562082244679601;0.891037150007203  -0.31752888839528937  -0.3243889676630415  2631247.495372514  -0.2870446088499042  0.1594642490420056  -0.9445509757592097  6964268.317462847  0.3516506644914059  0.9347441138150704  0.050943614426456924  -7767304.276041966  0.0  0.0  0.0  1.0
34562489690061;2.3389289960652655;0.5990673669169109;-0.3471259450623539  0.4774216681253243  0.8072001790565955  -2895003.21278636  0.9371789067137924  0.1448096516714168  0.3173733788356262  6222174.1116126  0.03463055118398459  0.8666595153733875  -0.4976967041657582  -6996930.480572292  0.0  0.0  0.0  1.0
34562489690092;2.8315574878443655;3.090714803508482;-0.056700790428318354  -0.8833988824735258  -0.4651789277356937  7849947.08114874  -0.23484425672806952  0.4646564057302232  -0.8537813535652502  4472249.3023981955  0.9703778621993828  0.060834521929540156  -0.23380753943138743  -1171045.15437153  0.0  0.0  0.0  1.0
34562489690123;1.8101091339027975;0.520841183979505;-0.010503694310397826  -0.9491968324983513  -0.3145076240426163  8346800.127569187  0.9737206829522552  -0.08126852231284576  0.21275210662195623  8015397.642691477  -0.22750319557498044  -0.3040078953846168  0.9251062077118439  2605755.4868312534  0.0  0.0  0.0  1.0
34562489690154;2.62470578061902;2.7700841499889997;-0.6015415653578426  -0.7395117154144264  0.3021095296604337  7074924.777006534  -0.015433872217704009  0.38887279281294085  0.921162171714748  4927595.993087286  -0.7986923943141089  0.5494546148451898  -0.2453366778329738  -3859431.586564769  0.0  0.0  0.0  1.0
34562489690185;5.512606798611554;4.323535904507514;-0.18452271108804408  -0.7745449877105823  0.6050053149395733  7063849.41150162  -0.8375760924484595  -0.19814229964408814  -0.5091226948884936  10228386.481828628  0.5142155758546095  -0.6006826875349135  -0.6121786099206232  4471863.029873334  0.0  0.0  0.0  1.0
34562489690216;1.5460191220852306;2.972822523430266;-0.9600454691808046  -0.16376740034721027  -0.22692054928746827  2694392.8755820775  -0.26149665307659004  0.2362144920626078  0.9358537354572806  6328721.890155948  -0.09966041107255744  0.9578011026946672  -0.269601279933401  -7635975.565044025  0.0  0.0  0.0  1.0
34562489690247;5.3501947700473025;5.058502802834285;0.9774684179028876  0.07334902578032487  0.1979277959749552  -574342.3817559154  -0.1958129386010467  0.6652375197234999  0.7204972834289867  2830870.4901689845  -0.07882122226183128  -0.7430201630973441  0.6646113542153393  6033547.642900366  0.0  0.0  0.0  1.0
34562489690278;1.7336325432466153;3.842180687109844;-0.5939485328963747  -0.7170477855476867  0.36478433835816243  6888466.652064757  0.4263845806120578  0.1039355727535901  0.8985508255700743  6909673.062093221  -0.6822179488158631  0.6892313617048647  0.244005738366816  -5065908.021623614  0.0  0.0  0.0  1.0
34562489690309;1.8806280573322476;1.4173759384821425;-0.5271523095372349  0.6057167655897052  -0.5960013778785288  -3800607.5920454734  -0.43681985306413407  -0.7947616068260074  -0.42135781028049085  14747191.924334677  -0.7289025027523135  0.038225491480007284  0.6835495251132317  204520.11684731397  0.0  0.0  0.0  1.0
