# ransac_benchmark.py --distance_metric=euclidean --max_correspondence_distance=0.30000000000000004 --estimation_method=TransformationEstimationPointToPoint --ransac_n=3 --ransac_confidence=0.999 --ransac_max_iteration=100000 --input_txt=/neural_comparison/point_clouds_registration_benchmark//planetary/box_met_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//planetary/box_met/ --input_features_dir=/neural_comparison/experiments/FPFH/features_voxelgrid_0.2//planetary/box_met/ --output_dir=/root/neural_registration_comparison/results/FPFH/ransac//
id;initial_error;final_error;transformation
7680147070030;7.545142564026325;7.545142564026325;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
7680147070061;10.640927348979892;10.640927348979892;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
7680147070092;9.025949398967478;4.354408169485185;-0.5481258705766452  0.43759859405262264  -0.7127871354673597  -150.4110695140324  0.13746125949148322  -0.7934927450158392  -0.5928521449284341  15.47015601819923  -0.8250226858357359  -0.42293821545279875  0.37478104776788257  -59.42219816796346  0.0  0.0  0.0  1.0
7680147070123;4.786994751420969;4.786994751420969;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
7680147070154;3.758201806177061;8.389813314808881;0.8312485855088274  0.4441099102746683  -0.3343533709795653  -10.277010913300536  -0.5362221186777714  0.7991925705633508  -0.27158253735662913  -11.319126555634274  0.14660023373206127  0.40504027300031376  0.9024692508432273  4.4996855258101025  0.0  0.0  0.0  1.0
7680147070185;16.67684111957192;11.948650209875842;-0.909611937701052  -0.4109134543978307  0.06128830056854212  -159.86968380225193  -0.40374483346897355  0.8395102103716273  -0.3636106655873781  -9.031351672810178  0.09796036054878753  -0.3554894368003464  -0.9295326933919664  -10.098629109358702  0.0  0.0  0.0  1.0
7680147070216;7.156480741338333;10.679713230612426;0.8161361710764178  -0.4635882988520027  0.34497483883354546  -9.784524275281477  -0.20993791371763665  0.3183249664945791  0.9244432314047797  13.775253490345653  -0.5383751690453512  -0.8268948572060001  0.16247175902801705  -32.25856328216542  0.0  0.0  0.0  1.0
7680147070247;4.543534343953617;4.543534343953617;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
7680147070278;7.860981056932645;7.860981056932645;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
7680147070309;12.215977712507863;12.215977712507863;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0
