# registration_from_features.py FastGlobal FastGlobal_config.json euclidean True --use_random_keypoints=True --n_keypoints=5000 --use_status_txt --input_txt=/benchmark/point_clouds_registration_benchmark//eth/apartment_global.txt --input_pcd_dir=/benchmark/point_clouds_registration_benchmark//eth/apartment/ --input_features_dir=/benchmark/experiments/OverlapPredator/3DMatch/features/eth/apartment/ --output_dir=/benchmark/experiments/OverlapPredator/3DMatch/results/FastGlobal/
id;initial_error;final_error;transformation;status_code
13001298760030;3.158640681794765;1.7241937697429368;-0.01748488882582659  -0.8931559664997787  -0.44940705175664053  0.7275747434295867  -0.013559623768872755  0.4496462503463388  -0.8931037936056053  -2.2749718422497627  0.9997551776640101  -0.009522030000219417  -0.01997287357091652  -5.584553752383914  0.0  0.0  0.0  1.0;ok
13001298760061;3.5200790883435156;1.7021413613171008;-0.9148523710453054  -0.3872974952012936  0.11421816582132138  9.112920703713806  0.28038147275092734  -0.40575458398463626  0.8699134711645041  -13.571428900685843  -0.2905707640675564  0.8278670592469902  0.47979658531812924  1.275200642656916  0.0  0.0  0.0  1.0;ok
13001298760092;1.6175967395589375;1.723560102250507;0.8128792814858297  0.2882686065159809  -0.5060913793263168  1.2123528085734592  -0.5595083166044281  0.6278723702462877  -0.5410422629811706  -1.603446362478994  0.16179529468299328  0.7229643816804824  0.6716731239522705  2.9910595777434525  0.0  0.0  0.0  1.0;ok
13001298760123;1.5813946200439712;1.6219997076897368;0.6375591715250513  0.74760645136417  0.18601853854646738  -0.1997983005677778  -0.43722336254075755  0.5499303695940791  -0.7116265311570907  0.8563408975046937  -0.6343138293091567  0.37237237072155444  0.6774841573574717  3.068822517155556  0.0  0.0  0.0  1.0;ok
13001298760154;2.720488568710186;1.6783391259534775;0.13250352349225702  0.9439198834720797  -0.30242035290005337  8.516535457492662  -0.8784620645003087  0.253148968957134  0.40524067015761933  -6.997735521911757  0.4590721266816281  0.21196899089724427  0.8627409399130263  1.3771704365174475  0.0  0.0  0.0  1.0;ok
13001298760185;4.15078401345108;2.0452098756685393;0.9792698352634632  0.19923757981748486  0.036537330657038  8.642419732802695  0.10068583143351496  -0.6352940652170869  0.7656786623959748  -6.900566164297243  0.17576391293895333  -0.7461272260736896  -0.6421847159657164  -4.587600237059811  0.0  0.0  0.0  1.0;ok
13001298760216;3.5264316801449036;1.8719877233188442;0.3854721294352485  0.7135154398109846  0.5850700424564516  2.399215302294901  0.8937370549367085  -0.13104353219717677  -0.42902408941963643  -1.8706030426651747  -0.22944566690551285  0.6882756060043298  -0.6882088172333021  -1.8241806131067597  0.0  0.0  0.0  1.0;ok
13001298760247;2.1396886625938274;0.627963269714522;-0.7566760270343779  0.43321839693034603  0.4896562168221378  7.034920567098242  -0.45696229965018736  0.1851862714784335  -0.8699951158221112  -0.6835611227013422  -0.4675754985132134  -0.8820588786566435  0.05783846274844782  2.4016029562621806  0.0  0.0  0.0  1.0;ok
13001298760278;1.8462388197302708;1.1546383778752158;-0.49944811300100556  -0.13481406673298077  0.8557901318843608  2.5887343909331486  0.8581845224591771  0.0582647992695403  0.5100240568616303  -4.998808404602187  -0.11862085748826486  0.9891563984411144  0.0865951014304687  3.226773432618178  0.0  0.0  0.0  1.0;ok
13001298760309;5.839225912121269;2.294338337506692;-0.4842105426416197  -0.1921986561080817  -0.8535805919683006  2.802604692742217  0.8725917265455221  -0.17768086850270487  -0.4549870193010221  -6.684296655565566  -0.06421704726170249  -0.9651368740020101  0.25374590692780963  -9.921453936606671  0.0  0.0  0.0  1.0;ok
13001298760340;3.5420357880378917;1.0305252075823093;-0.49564380295592325  0.7348420540351063  0.46297340767354805  11.683051688396558  -0.2005536984635881  0.4218161909763333  -0.8842224352858231  -1.584526300655302  -0.8450535099175472  -0.5311103996832339  -0.06169528932057176  3.2807799181753405  0.0  0.0  0.0  1.0;ok
13001298760371;3.4377711718010175;1.5916361804362351;-0.8769170466530817  -0.4420078752969768  0.1888002422262396  7.086809724256105  0.47797529035327124  -0.8432758037944461  0.2458160705619917  -0.3869132241103679  0.05055803695696093  0.3058021532139424  0.9507517699109344  7.028264471461956  0.0  0.0  0.0  1.0;ok
13001298760402;3.09328347206315;0.9546489289971126;0.31053551189666306  0.7505399545093329  0.5833159285809084  -2.9895294776810264  0.17966844165087786  -0.648936816268504  0.739324191113779  -8.094293554360517  0.9334275263381848  -0.12478295226683726  -0.336366270451943  -2.452328286754456  0.0  0.0  0.0  1.0;ok
13001298760433;2.5088199944579497;1.505829453864336;-0.7202637168467063  0.6793340486153866  -0.14044724485014234  9.117939894360514  0.2572066124048556  0.07349488773291687  -0.9635576059646578  -1.969860867548639  -0.6442553350414619  -0.7301395427375185  -0.22766491034338088  -0.44956898645477344  0.0  0.0  0.0  1.0;ok
13001298760464;2.146708238562611;2.146708238562611;1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  1.0;OOM
13001298760495;1.8443578143993575;2.042131060770067;-0.3732409446748091  -0.8683528583580387  -0.3265800217399691  2.802592176176705  0.7397526303941829  -0.4910014081415283  0.4600909290867651  -10.545260557523033  -0.5598725239223155  -0.06986365710767757  0.8256281404920727  0.45875592401231424  0.0  0.0  0.0  1.0;ok
13001298760526;2.4176724283025384;1.2468573434759342;0.7845563634099115  -0.5861574200736054  -0.20221471639243144  -0.2051163374393948  -0.24510049381961888  -0.5927317968495336  0.7671992993563671  -4.2393714309655595  -0.5695586541897115  -0.5523481654682856  -0.6086989761297658  3.8012630453966754  0.0  0.0  0.0  1.0;ok
13001298760557;4.419555501183563;1.7277329239294872;0.8869040440619812  -0.33696978363379854  -0.3159945910048084  -4.8713637686014675  -0.16432079268814787  0.409176606164031  -0.8975372872802693  3.022242914394951  0.4317405398116372  0.8479539314643669  0.3075292447837762  8.91793519052539  0.0  0.0  0.0  1.0;ok
13001298760588;4.418903225087259;1.4664884301820877;0.08199145288107013  -0.5428002843938956  0.8358500181948655  1.3498910762631797  -0.3284153736991535  -0.806546313083808  -0.4915550703318628  -13.638152266020484  0.9409679824374994  -0.23420268169434486  -0.24439386226884008  2.5758219234977897  0.0  0.0  0.0  1.0;ok
13001298760619;4.150737561700012;1.5858349114359622;0.24357116359759803  -0.676201450637504  -0.6952874847280427  6.073939729086659  -0.3939448053161365  0.5861025104224232  -0.7080193059804003  1.969988355600977  0.8862734220477027  0.4463579790171439  -0.12362837837481758  0.4524804870330841  0.0  0.0  0.0  1.0;ok
13001298760650;3.978386875086808;1.747453316368491;-0.4196091126194911  -0.019324608168287183  -0.9074991747245964  1.4414370344812308  -0.9069348490220037  0.050098740635972604  0.41828135963263563  -9.165082912347078  0.03738144240288737  0.9985572971571686  -0.0385480486931292  1.9085309854262729  0.0  0.0  0.0  1.0;ok
13001298760681;2.902172993907997;1.7660918212074488;0.8800633613950772  -0.1308853329796941  0.45646194752771097  -1.7822201571987275  -0.24513085022961884  0.6980577505895196  0.6727750315726676  2.3049615333062343  -0.4066931843487187  -0.7039775610434577  0.5822510174758002  -2.54500218350608  0.0  0.0  0.0  1.0;ok
13001298760712;2.3818679744492437;0.48963202343255574;0.10713679720921351  0.1659624459741071  0.9802949419486179  0.17416793805992922  -0.3947582973279775  0.9120235167381293  -0.1112609168006927  -1.5888576178196128  -0.9125171742901448  -0.37505942388227786  0.16322633115593158  3.4469662022902208  0.0  0.0  0.0  1.0;ok
13001298760743;1.8173061227010634;1.492696337496039;0.48150622936724136  -0.3016601985120083  -0.8228929916545857  1.9286152421532454  0.5813914206126114  -0.5926489929277831  0.5574506141531586  -5.192486378559921  -0.655847365717504  -0.7468388687095627  -0.10998153056777055  3.9978508595616558  0.0  0.0  0.0  1.0;ok
13001298760774;3.812759207121691;1.4815821167244008;-0.4547968419086357  -0.4099723941549065  -0.7906215710571173  -2.7135509235803386  -0.18139776961070023  -0.8264929572706138  0.5329204825884795  -6.153151952519883  -0.8719258464859234  0.3857875420655354  0.3015183089247457  -0.040540503199528996  0.0  0.0  0.0  1.0;ok
13001298760805;4.686337709458454;1.6951664959767583;-0.6340409517400247  0.1411807552214851  -0.7603026146684599  9.018189772792777  0.11604276745360573  0.9894305301362428  0.08695574826324627  4.355879320795889  0.7645430973060396  -0.03309411412024605  -0.6437224805553099  4.946092375712618  0.0  0.0  0.0  1.0;ok
13001298760836;2.031197055141024;1.283299112777509;-0.8034354755222933  -0.2650500235131942  0.5331415587889569  6.531459058188971  -0.19971617243596396  -0.7235931036251761  -0.6607014990550683  1.0131147513039198  0.5608965030554157  -0.6373080145594758  0.5284255930956286  -4.063867262054122  0.0  0.0  0.0  1.0;ok
13001298760867;2.5861526471175624;1.353062043885503;-0.7943598478685077  0.5896440295888692  -0.1459875010558151  6.402126350337382  0.5982719089314583  0.8010448691794659  -0.019945940558382756  -0.4516255788061743  0.10518153392030732  -0.1031844752443465  -0.989085339589421  6.623599192954469  0.0  0.0  0.0  1.0;ok
13001298760898;4.371387982692534;0.36071785696755676;-0.5017952460320442  -0.4743303559433428  -0.7233341167747473  -0.20530365883642177  0.7811065867121781  0.11074868777295319  -0.6144975413713388  -9.722192525436952  0.3715831417791875  -0.8733529879649068  0.3149294002761211  0.18465808280831028  0.0  0.0  0.0  1.0;ok
