# registration_from_features.py TEASER TEASER_config.json euclidean True --use_random_keypoints=True --n_keypoints=5000 --use_status_txt --input_txt=/benchmark/point_clouds_registration_benchmark//eth/apartment_global.txt --input_pcd_dir=/benchmark/point_clouds_registration_benchmark//eth/apartment/ --input_features_dir=/benchmark/experiments/OverlapPredator/3DMatch/features/eth/apartment/ --output_dir=/benchmark/experiments/OverlapPredator/3DMatch/results/TEASER/
id;initial_error;final_error;transformation;status_code
13001298760030;3.158640681794765;1.719482004279522;0.8557790453737997  -0.36101884033713816  0.3705504316833752  -4.4561440223263435  0.5063462103950467  0.43761413474171723  -0.7430392885257365  -7.708707580407588  0.1060930757292034  0.8235042598529081  0.5573015281572725  2.7327237852548674  0.0  0.0  0.0  1.0;ok
13001298760061;3.5200790883435156;2.0799793815487475;-0.7844414409424476  0.5980085777459854  -0.16443043110798955  14.288042468633325  0.2773987165370965  0.10117602741666579  -0.955412666620949  -0.19265921408223965  -0.554708552120577  -0.795078079447802  -0.24525348068047292  7.98196236115041  0.0  0.0  0.0  1.0;ok
13001298760092;1.6175967395589375;0.025087304891584852;0.12535211119966422  -0.9862822389594518  -0.10739736184338779  -0.07506794281186509  0.8997701133927951  0.15862243160597655  -0.40651281312712073  -7.371859433181483  0.4179719981803865  -0.04567569708871286  0.907310938671278  0.2011125261202894  0.0  0.0  0.0  1.0;ok
13001298760123;1.5813946200439712;1.2761990829808436;-0.6161267802962997  -0.6898209610298024  0.380177369560098  3.9146958586786282  -0.7735365468598575  0.6208904976807482  -0.12702834550556125  2.6007429357271215  -0.1484217008184552  -0.3723466551664894  -0.9161489873991486  1.9723587316284033  0.0  0.0  0.0  1.0;ok
13001298760154;2.720488568710186;1.6007905732580148;-0.7256308032386508  0.6813623058534818  0.09594449204230834  1.4727453482881698  0.016584089482308592  0.15671480142343655  -0.9875046526426374  -0.9006883177622969  -0.6878843691837118  -0.7149726422576176  -0.1250168606864202  -4.660747635185405  0.0  0.0  0.0  1.0;ok
13001298760185;4.15078401345108;2.960953795201606;0.28496631749496815  -0.47333909766406546  0.8335132251595798  0.6028777865832324  -0.8698196659136093  0.23767195670778773  0.43234915263549345  -8.309478733667385  -0.4027504769498042  -0.8482111409414878  -0.34399115351916465  -8.54399140397308  0.0  0.0  0.0  1.0;ok
13001298760216;3.5264316801449036;1.9073688638017698;0.917929069154777  0.14796974447156877  0.36811843029338126  4.409945222906083  -0.3897218957510779  0.5100932082839651  0.7667605642146422  -5.524272341837172  -0.07431734637909151  -0.8472956234889861  0.5258964331915366  4.855522691980265  0.0  0.0  0.0  1.0;ok
13001298760247;2.1396886625938274;1.36576357103968;0.3964318322229722  0.5158474237751349  -0.7594361314718272  2.4413240635171527  0.4803211049654323  -0.8215062118964371  -0.30727704102381825  -3.0636760547199673  -0.7823895695400881  -0.24295880144609583  -0.5734436173459021  2.212338334668848  0.0  0.0  0.0  1.0;ok
13001298760278;1.8462388197302708;2.222393924968576;-0.5564043112725804  -0.11848775155837711  -0.8224201451374636  -0.7033508726077738  -0.5660763781676839  -0.6704957170401555  0.47957588295426784  -5.280498517380338  -0.6082530529950866  0.7323907059496652  0.30599359039154395  3.008556662980147  0.0  0.0  0.0  1.0;ok
13001298760309;5.839225912121269;1.623108789331954;0.8937543351799222  -0.3865893394963043  0.22749037547752676  -1.9899823454792709  -0.36912423343148454  -0.9220285834823256  -0.11666443989148982  -12.322862304978104  0.25485385741776373  0.02029713845317388  -0.9667665372414889  0.9521386287071869  0.0  0.0  0.0  1.0;ok
13001298760340;3.5420357880378917;1.3729287689023186;-0.6915101004707828  0.7118749266166261  0.12266975911553041  11.66624999201563  0.330816998989955  0.4630481198847264  -0.8222813094376528  -4.5371525724036506  -0.6421634481393105  -0.5280345893270575  -0.5557027787838006  -1.4275084481846403  0.0  0.0  0.0  1.0;ok
13001298760371;3.4377711718010175;0.5245657365732399;0.3474209341595158  0.9373583211541874  0.02565291934134624  6.103347618157256  0.6815749001063571  -0.23364006890455236  -0.6934464461999106  -5.361527925297607  -0.6440142467777705  0.25840219806588377  -0.7200513551004413  -0.8491699403802546  0.0  0.0  0.0  1.0;ok
13001298760402;3.09328347206315;0.06558590922117359;0.736054655607655  -0.04196747779855878  0.6756199188637982  -4.207734333679311  -0.1504872978963237  -0.9832450698823072  0.10287227869548377  -3.0925677144426125  0.659982664264874  -0.1773918356615249  -0.7300376836235754  0.5319704015792011  0.0  0.0  0.0  1.0;ok
13001298760433;2.5088199944579497;1.3055822391708554;-0.8679541876405288  -0.02901053960154712  0.49579624519483445  3.307297744118017  -0.415339339698255  0.5897488996546141  -0.6925961797867426  2.4952602491905216  -0.2723027011549592  -0.8070654396938327  -0.5239242454740128  0.3251822086303125  0.0  0.0  0.0  1.0;ok
