# evaluate_problem.py --input_txt=/benchmark/point_clouds_registration_benchmark//kaist/urban05_global.txt --input_pcd_dir=/benchmark/point_clouds_registration_benchmark//kaist/urban05/ --roreg_dir=./data/YOHO_FCGF/Testset//urban05/problems/ --results_dir=/benchmark/experiments/RoReg/results/
id;initial_error;final_error;transformation;status_code
34562489690030;3.026378295344026;8.189336652309516;1.0  0.0  0.0  -2.2726531161461025  0.0  1.0  0.0  32.288791850209236  0.0  0.0  1.0  -19.75227122791557  0.0  0.0  0.0  1.0;ok
34562489690061;2.338928996066952;7.796546441694087;1.0  0.0  0.0  -54.79240544477943  0.0  1.0  0.0  -29.734544190578163  0.0  0.0  1.0  -17.06648031054064  0.0  0.0  0.0  1.0;ok
34562489690092;2.8315574877956964;6.680540307731478;1.0  0.0  0.0  -29.828844482894056  0.0  1.0  0.0  16.43201769888401  0.0  0.0  1.0  4.54562215299606  0.0  0.0  0.0  1.0;ok
34562489690123;1.8101091338587834;2.1311841184424827;1.0  0.0  0.0  -1.3392144932877272  0.0  1.0  0.0  -13.083592326380312  0.0  0.0  1.0  -11.434743742445193  0.0  0.0  0.0  1.0;ok
34562489690154;2.6247057806105394;13.925453269844589;1.0  0.0  0.0  -77.42659823328722  0.0  1.0  0.0  71.81944590806961  0.0  0.0  1.0  0.08995566571653058  0.0  0.0  0.0  1.0;ok
34562489690185;5.5126067985442315;2.73913108082244;1.0  0.0  0.0  -9.699814486200921  0.0  1.0  0.0  0.39425497502088547  0.0  0.0  1.0  -14.655903999198983  0.0  0.0  0.0  1.0;ok
34562489690216;1.5460191221397186;1.361968473373058;1.0  0.0  0.0  -2.600960170151666  0.0  1.0  0.0  -5.4888691660016775  0.0  0.0  1.0  -6.117238530892138  0.0  0.0  0.0  1.0;ok
34562489690247;5.350194770010062;11.658173783347255;1.0  0.0  0.0  -0.17351902625523508  0.0  1.0  0.0  -36.95691056083888  0.0  0.0  1.0  13.323546643792099  0.0  0.0  0.0  1.0;ok
34562489690278;1.7336325433134807;13.309485860806983;1.0  0.0  0.0  27.474432427901775  0.0  1.0  0.0  62.83784213848412  0.0  0.0  1.0  -25.861712845635424  0.0  0.0  0.0  1.0;ok
34562489690309;1.880628057386303;7.632022675635597;1.0  0.0  0.0  -39.96409374079667  0.0  1.0  0.0  -2.2573795448988676  0.0  0.0  1.0  -18.915859582715484  0.0  0.0  0.0  1.0;ok
34562489690340;1.34249959662929;13.025916401355712;1.0  0.0  0.0  -34.645357608562335  0.0  1.0  0.0  57.89864348061383  0.0  0.0  1.0  6.629466735629734  0.0  0.0  0.0  1.0;ok
34562489690371;2.1665412481444095;1.6381300155423835;1.0  0.0  0.0  6.396539885201491  0.0  1.0  0.0  -2.385225983336568  0.0  0.0  1.0  10.159625540202484  0.0  0.0  0.0  1.0;ok
34562489690402;1.8237522520421503;2.6564252846085763;1.0  0.0  0.0  -9.816754652070813  0.0  1.0  0.0  -26.23421197012067  0.0  0.0  1.0  4.371026851548521  0.0  0.0  0.0  1.0;ok
34562489690433;1.4852790017552344;2.6572797792815175;1.0  0.0  0.0  -15.598091618390754  0.0  1.0  0.0  -7.754040212370455  0.0  0.0  1.0  8.359357504254007  0.0  0.0  0.0  1.0;ok
34562489690464;3.204895378053525;11.56838649986982;1.0  0.0  0.0  15.808116297819652  0.0  1.0  0.0  -18.294855400919914  0.0  0.0  1.0  35.31108992833049  0.0  0.0  0.0  1.0;ok
34562489690495;1.6045786219330191;9.442321990657483;1.0  0.0  0.0  -11.43374564521946  0.0  1.0  0.0  37.120020295493305  0.0  0.0  1.0  6.596499155016232  0.0  0.0  0.0  1.0;ok
34562489690526;5.298220208944761;11.79090002442386;1.0  0.0  0.0  29.62479827203788  0.0  1.0  0.0  -10.815263821743429  0.0  0.0  1.0  11.406517163410797  0.0  0.0  0.0  1.0;ok
34562489690557;4.7251659460015;6.0676855653103345;1.0  0.0  0.0  -5.4870858046924695  0.0  1.0  0.0  -9.202051991596818  0.0  0.0  1.0  21.720386476032445  0.0  0.0  0.0  1.0;ok
34562489690588;1.3460500527496295;3.99448393502104;1.0  0.0  0.0  -9.815205536549911  0.0  1.0  0.0  -38.869853837415576  0.0  0.0  1.0  0.2545021283839617  0.0  0.0  0.0  1.0;ok
34562489690619;1.8205673160527953;13.18272784128242;1.0  0.0  0.0  -31.397359349182807  0.0  1.0  0.0  104.77387292683125  0.0  0.0  1.0  2.0148630636468567  0.0  0.0  0.0  1.0;ok
