# benchmark_inference.py --gpu 0 --input_txt=/neural_comparison/point_clouds_registration_benchmark/eth/apartment_local.txt --data_dir=/neural_comparison/point_clouds_registration_benchmark/datasets_downsampled/eth/apartment --output_target_dir=/neural_comparison/experiments/3DFeatNet/feature_extraction/eth/apartment/ --output_source_dir=/neural_comparison/experiments/3DFeatNet/feature_extraction/eth/apartment/ --checkpoint=./ckpt/checkpoint.ckpt --randomize_points
x,y,z,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32
3.4136095,-0.4048148,0.57649666,-0.20429894,-0.01978199,0.03862235,-0.10227868,-0.24637903,-0.3778179,-0.0761923,-0.16488236,-0.016431285,-0.05213437,-0.22555768,0.005031592,0.20775203,0.088670835,-0.047593825,-0.104933895,0.280129,0.31534982,0.2862163,0.11004664,0.12601544,-0.15926363,-0.17239495,-0.13681804,-0.08036482,0.12475759,-0.0056917365,-0.3381284,0.1435053,0.23242025,-0.039152816,0.13086058
3.211543,0.30557615,0.7413285,-0.119187735,-0.06390501,0.079743914,-0.09287876,-0.24521452,-0.27329683,-0.017136157,-0.030712824,0.026839318,-0.012201114,-0.14702636,0.00071314955,0.031159265,0.12239116,-0.23577859,-0.084970556,0.51220363,0.32642716,0.36026263,-0.025724107,0.025370289,-0.06590696,-0.09750663,-0.06029116,-0.19296047,0.1956517,0.040213652,-0.29304153,0.016976602,0.18717177,-0.1105972,0.03705391
6.542883,-0.25548705,0.73314524,-0.25581092,-0.09436495,0.19131014,-0.045402262,-0.08001199,-0.35113347,0.023175327,-0.24707153,0.09834376,0.091000974,-0.12113949,-0.1779286,-0.065283634,0.16201629,-0.3083828,-0.14797696,-0.040845964,-0.03312078,0.44953892,0.011744852,-0.045193397,0.09359687,-0.094051234,0.018629022,-0.13379201,0.12161404,0.15719292,-0.3735976,0.08754388,0.19365427,-0.05100346,-0.119148016
3.406687,-0.78208965,1.2817476,-0.075013034,-0.11684891,-0.005729517,-0.013110924,-0.18008856,-0.29251167,-0.089264594,-0.26727584,-0.048817046,-0.070563264,0.106326975,-0.054236136,0.02869256,0.12267164,-0.040047266,-0.19606295,0.36265564,0.37025243,0.17769207,0.06372156,0.10360643,0.074443445,-0.36898315,-0.0949795,0.035004646,0.11501957,0.16799042,-0.31592822,0.16927867,0.18075982,-0.048084892,0.18378073
3.6161494,-0.21057232,0.19480227,-0.30742663,0.041761145,-0.00464195,-0.09488522,-0.18732387,-0.26233563,0.14281496,-0.28967866,-0.033864878,0.00874912,-0.28216743,0.14062479,0.08918547,0.08108194,0.030559657,-0.3054147,0.40847173,0.11680495,0.23464753,0.19781034,0.13683748,-0.19010396,0.011895235,-0.16753596,-0.14964563,0.020770067,0.046282716,-0.107982434,0.118614845,0.25230396,-0.06544354,-0.027396541
2.9003494,0.94773626,0.8000195,-0.07625955,-0.098323524,0.12386819,-0.12451461,-0.15707085,-0.42802736,0.081423335,0.08783019,-0.0021630696,-0.07363532,-0.16363433,-0.05620705,-0.21089017,-0.038980775,-0.17811398,-0.1505832,0.46311954,0.01554101,0.21904834,-0.033618,-0.20997995,0.014203545,-0.20983155,0.0710048,-0.25323692,-0.0046147252,0.12986012,-0.38554242,0.029331284,0.075404726,0.014093828,-0.045730658
6.5578437,-1.0577441,1.4878489,-0.15369184,0.00343076,0.12440008,0.06977824,-0.064202,-0.15991916,0.33454764,-0.120881125,-0.07605766,-0.07080535,-0.09023503,-0.06527141,-0.35391927,0.11897502,-0.13961594,-0.053893726,0.14995758,0.14562364,-0.10905843,-0.06598927,-0.08466276,0.08343801,-0.3971477,0.18300427,-0.12894969,-0.2194071,0.4663243,-0.057633314,-0.087645814,0.0054077157,0.15035754,-0.18337375
3.6888056,-0.7877738,0.08347632,-0.20297132,-0.04321317,0.02600527,-0.19044119,-0.124937356,-0.33324024,0.17589572,-0.22662662,-0.07278286,0.101271525,-0.118782595,0.040370855,0.030235047,0.03081124,0.22203833,-0.16509172,0.2789528,0.0019448029,0.24220067,0.3131951,-0.022439396,-0.29955137,0.028703777,-0.0831532,-0.26015642,-0.047689628,0.03734798,-0.31127805,0.17119534,0.22845353,-0.1257742,-0.05670362
3.5611162,0.13822289,0.24217325,-0.27449378,0.045472287,0.09071272,-0.14398484,-0.110428,-0.37538335,0.26162907,-0.27217087,-0.02077526,0.11013546,-0.16709338,0.05713033,0.050702818,0.08473278,0.079356976,-0.26297793,0.44502664,0.111760706,0.24798521,0.04624617,0.04959788,-0.17361988,0.003618029,-0.13667417,-0.18661447,0.08333472,7.171302e-05,-0.09449081,0.2111928,0.08945155,-0.13913663,-0.14459631
6.5112433,-0.88520324,0.9517789,-0.11133878,-0.05235048,-0.09410772,0.05960309,0.15909667,-0.3380625,0.32724896,-0.028662628,-0.07930261,-0.10747585,-0.2926673,-0.032392964,-0.14333828,-0.011124784,-0.28322294,-0.047273632,0.1999432,-0.16009618,0.103642344,-0.024812419,0.055485476,-0.0019737475,-0.24347575,0.1919483,-0.2448977,0.01651381,0.08903377,0.012643624,-0.15762745,0.4436652,0.15094146,-0.16823816
1.727929,0.5099179,0.5829387,-0.19810735,0.012270192,-0.08873759,-0.15272169,-0.15191774,-0.5977168,0.17463206,-0.044802185,-0.07008514,-0.073879585,-0.055217523,0.030911455,0.089248374,-0.10360234,-0.027426317,-0.25993767,0.29705986,0.2559138,0.16698828,0.047152147,0.26030248,-0.17576522,0.15120341,-0.09686443,-0.22541156,0.12512346,-0.058489174,-0.0050559724,0.03962146,0.07101601,-0.14436473,0.05527764
7.044054,-0.9845172,1.6593785,-0.027157128,-0.10722878,0.17353384,0.28933507,-0.14326657,-0.24030775,0.23414512,-0.3217399,-0.070399,-0.08776613,0.007476053,-0.047268365,-0.18677503,0.108165406,-0.13240065,-0.10665745,0.14819631,0.19306545,-0.14679347,0.057194613,-0.13907811,0.06317648,-0.4727202,0.112030245,-0.10300476,-0.19498457,0.31225812,-0.13464288,-0.08138207,0.08391206,0.123451084,-0.10153877
